date_obj,Bones price
2015-03-26,89
2015-03-27,91
2015-03-28,92
2015-03-29,91
2015-03-30,89
2015-03-31,88
2015-04-01,84
2015-04-02,85
2015-04-03,88
2015-04-04,92
2015-04-05,90
2015-04-06,88
2015-04-07,86
2015-04-08,90
2015-04-09,89
2015-04-10,89
2015-04-11,93
2015-04-12,94
2015-04-13,92
2015-04-14,91
2015-04-15,88
2015-04-16,84
2015-04-17,80
2015-04-18,79
2015-04-19,77
2015-04-20,76
2015-04-21,78
2015-04-22,80
2015-04-23,83
2015-04-24,87
2015-04-25,87
2015-04-26,87
2015-04-27,84
2015-04-28,80
2015-04-29,77
2015-04-30,75
2015-05-01,73
2015-05-02,71
2015-05-03,73
2015-05-04,72
2015-05-05,70
2015-05-06,69
2015-05-07,71
2015-05-08,72
2015-05-09,74
2015-05-10,74
2015-05-11,72
2015-05-12,71
2015-05-13,69
2015-05-14,69
2015-05-15,71
2015-05-16,71
2015-05-17,68
2015-05-18,65
2015-05-19,66
2015-05-20,68
2015-05-21,70
2015-05-22,73
2015-05-23,75
2015-05-24,76
2015-05-25,75
2015-05-26,72
2015-05-27,70
2015-05-28,69
2015-05-29,68
2015-05-30,67
2015-05-31,69
2015-06-01,71
2015-06-02,72
2015-06-03,73
2015-06-04,73
2015-06-05,73
2015-06-06,75
2015-06-07,73
2015-06-08,73
2015-06-09,72
2015-06-10,68
2015-06-11,65
2015-06-12,64
2015-06-13,63
2015-06-14,60
2015-06-15,58
2015-06-16,59
2015-06-17,59
2015-06-18,60
2015-06-19,63
2015-06-20,67
2015-06-21,70
2015-06-22,72
2015-06-23,74
2015-06-24,73
2015-06-25,71
2015-06-26,67
2015-06-27,67
2015-06-28,67
2015-06-29,68
2015-06-30,68
2015-07-01,68
2015-07-02,69
2015-07-03,69
2015-07-04,66
2015-07-05,63
2015-07-06,62
2015-07-07,63
2015-07-08,64
2015-07-09,62
2015-07-10,61
2015-07-11,62
2015-07-12,62
2015-07-13,62
2015-07-14,61
2015-07-15,59
2015-07-16,60
2015-07-17,60
2015-07-18,59
2015-07-19,58
2015-07-20,57
2015-07-21,56
2015-07-22,56
2015-07-23,57
2015-07-24,57
2015-07-25,59
2015-07-26,59
2015-07-27,59
2015-07-28,60
2015-07-29,63
2015-07-30,67
2015-07-31,70
2015-08-01,73
2015-08-02,76
2015-08-03,78
2015-08-04,82
2015-08-05,85
2015-08-06,85
2015-08-07,86
2015-08-08,85
2015-08-09,85
2015-08-10,82
2015-08-11,80
2015-08-12,77
2015-08-13,75
2015-08-14,72
2015-08-15,69
2015-08-16,69
2015-08-17,68
2015-08-18,69
2015-08-19,71
2015-08-20,73
2015-08-21,74
2015-08-22,73
2015-08-23,72
2015-08-24,70
2015-08-25,69
2015-08-26,69
2015-08-27,71
2015-08-28,72
2015-08-29,75
2015-08-30,78
2015-08-31,77
2015-09-01,77
2015-09-02,77
2015-09-03,77
2015-09-04,77
2015-09-05,79
2015-09-06,78
2015-09-07,75
2015-09-08,72
2015-09-09,69
2015-09-10,65
2015-09-11,61
2015-09-12,57
2015-09-13,54
2015-09-14,52
2015-09-15,52
2015-09-16,55
2015-09-17,55
2015-09-18,57
2015-09-19,55
