date_obj,Iron%20spit price
2015-03-26,340
2015-03-27,340
2015-03-28,332
2015-03-29,332
2015-03-30,333
2015-03-31,333
2015-04-01,336
2015-04-02,336
2015-04-03,329
2015-04-04,329
2015-04-05,317
2015-04-06,317
2015-04-07,308
2015-04-08,308
2015-04-09,308
2015-04-10,298
2015-04-11,298
2015-04-12,285
2015-04-13,285
2015-04-14,276
2015-04-15,276
2015-04-16,275
2015-04-17,275
2015-04-18,267
2015-04-19,267
2015-04-20,267
2015-04-21,256
2015-04-22,256
2015-04-23,246
2015-04-24,246
2015-04-25,241
2015-04-26,241
2015-04-27,237
2015-04-28,237
2015-04-29,237
2015-04-30,230
2015-05-01,230
2015-05-02,218
2015-05-03,218
2015-05-04,218
2015-05-05,207
2015-05-06,207
2015-05-07,201
2015-05-08,201
2015-05-09,199
2015-05-10,199
2015-05-11,199
2015-05-12,206
2015-05-13,206
2015-05-14,209
2015-05-15,209
2015-05-16,209
2015-05-17,205
2015-05-18,205
2015-05-19,205
2015-05-20,205
2015-05-21,205
2015-05-22,204
2015-05-23,204
2015-05-24,204
2015-05-25,204
2015-05-26,201
2015-05-27,201
2015-05-28,200
2015-05-29,200
2015-05-30,197
2015-05-31,197
2015-06-01,189
2015-06-02,189
2015-06-03,179
2015-06-04,179
2015-06-05,170
2015-06-06,162
2015-06-07,162
2015-06-08,154
2015-06-09,154
2015-06-10,148
2015-06-11,148
2015-06-12,149
2015-06-13,153
2015-06-14,153
2015-06-15,153
2015-06-16,153
2015-06-17,155
2015-06-18,162
2015-06-19,162
2015-06-20,166
2015-06-21,166
2015-06-22,170
2015-06-23,170
2015-06-24,171
2015-06-25,171
2015-06-26,163
2015-06-27,163
2015-06-28,155
2015-06-29,155
2015-06-30,149
2015-07-01,149
2015-07-02,148
2015-07-03,147
2015-07-04,147
2015-07-05,149
2015-07-06,149
2015-07-07,141
2015-07-08,141
2015-07-09,141
2015-07-10,136
2015-07-11,136
2015-07-12,139
2015-07-13,134
2015-07-14,134
2015-07-15,138
2015-07-16,138
2015-07-17,141
2015-07-18,141
2015-07-19,140
2015-07-20,140
2015-07-21,137
2015-07-22,134
2015-07-23,134
2015-07-24,130
2015-07-25,130
2015-07-26,125
2015-07-27,125
2015-07-28,123
2015-07-29,120
2015-07-30,120
2015-07-31,115
2015-08-01,115
2015-08-02,114
2015-08-03,114
2015-08-04,111
2015-08-05,110
2015-08-06,110
2015-08-07,106
2015-08-08,103
2015-08-09,103
2015-08-10,100
2015-08-11,99
2015-08-12,99
2015-08-13,98
2015-08-14,96
2015-08-15,96
2015-08-16,95
2015-08-17,95
2015-08-18,96
2015-08-19,96
2015-08-20,93
2015-08-21,92
2015-08-22,92
2015-08-23,91
2015-08-24,91
2015-08-25,89
2015-08-26,89
