date_obj,Needle price
2015-03-26,100
2015-03-27,100
2015-03-28,97
2015-03-29,93
2015-03-30,89
2015-03-31,88
2015-04-01,86
2015-04-02,81
2015-04-03,76
2015-04-04,75
2015-04-05,79
2015-04-06,75
2015-04-07,71
2015-04-08,67
2015-04-09,63
2015-04-10,59
2015-04-11,56
2015-04-12,53
2015-04-13,53
2015-04-14,54
2015-04-15,52
2015-04-16,49
2015-04-17,50
2015-04-18,50
2015-04-19,50
2015-04-20,52
2015-04-21,53
2015-04-22,50
2015-04-23,47
2015-04-24,44
2015-04-25,47
2015-04-26,50
2015-04-27,50
2015-04-28,50
2015-04-29,50
2015-04-30,50
2015-05-01,47
2015-05-02,44
2015-05-03,43
2015-05-04,44
2015-05-05,47
2015-05-06,50
2015-05-07,53
2015-05-08,56
2015-05-09,59
2015-05-10,62
2015-05-11,63
2015-05-12,66
2015-05-13,69
2015-05-14,70
2015-05-15,70
2015-05-16,70
2015-05-17,70
2015-05-18,68
2015-05-19,65
2015-05-20,65
2015-05-21,62
2015-05-22,63
2015-05-23,66
2015-05-24,64
2015-05-25,61
2015-05-26,60
2015-05-27,63
2015-05-28,67
2015-05-29,69
2015-05-30,72
2015-05-31,75
2015-06-01,75
2015-06-02,79
2015-06-03,83
2015-06-04,88
2015-06-05,93
2015-06-06,98
2015-06-07,102
2015-06-08,107
2015-06-09,112
2015-06-10,117
2015-06-11,122
2015-06-12,124
2015-06-13,128
2015-06-14,130
2015-06-15,135
2015-06-16,140
2015-06-17,144
2015-06-18,148
2015-06-19,152
2015-06-20,155
2015-06-21,147
2015-06-22,142
2015-06-23,147
2015-06-24,154
2015-06-25,160
2015-06-26,167
2015-06-27,170
2015-06-28,170
2015-06-29,173
2015-06-30,178
2015-07-01,180
2015-07-02,179
2015-07-03,175
2015-07-04,166
2015-07-05,157
2015-07-06,157
2015-07-07,161
2015-07-08,161
2015-07-09,165
2015-07-10,169
2015-07-11,167
2015-07-12,165
2015-07-13,162
2015-07-14,153
2015-07-15,145
2015-07-16,137
2015-07-17,132
2015-07-18,125
2015-07-19,119
2015-07-20,117
2015-07-21,115
2015-07-22,112
2015-07-23,115
2015-07-24,117
2015-07-25,116
2015-07-26,118
2015-07-27,118
2015-07-28,118
2015-07-29,115
2015-07-30,115
2015-07-31,115
2015-08-01,118
2015-08-02,123
2015-08-03,128
2015-08-04,134
2015-08-05,129
2015-08-06,129
2015-08-07,132
2015-08-08,132
2015-08-09,132
2015-08-10,136
2015-08-11,140
2015-08-12,142
2015-08-13,148
2015-08-14,154
2015-08-15,158
2015-08-16,150
2015-08-17,144
2015-08-18,148
2015-08-19,154
2015-08-20,149
2015-08-21,145
2015-08-22,145
2015-08-23,140
2015-08-24,142
2015-08-25,142
2015-08-26,143
2015-08-27,145
2015-08-28,145
2015-08-29,143
2015-08-30,146
2015-08-31,147
2015-09-01,150
2015-09-02,147
2015-09-03,143
2015-09-04,136
2015-09-05,129
2015-09-06,122
2015-09-07,115
2015-09-08,109
2015-09-09,105
2015-09-10,109
2015-09-11,106
2015-09-12,102
2015-09-13,106
2015-09-14,108
2015-09-15,103
2015-09-16,97
2015-09-17,92
2015-09-18,94
2015-09-19,97
2015-09-20,99
2015-09-21,95
2015-09-22,96
2015-09-23,99
2015-09-24,99
2015-09-25,99
2015-09-27,98
2015-09-28,99
2015-09-29,99
2015-09-30,99
2015-10-05,98
2015-10-06,99
2015-10-07,97
2015-10-08,99
2015-10-09,95
2015-10-10,95
2015-10-11,90
2015-10-12,85
2015-10-13,86
2015-10-14,91
2015-10-15,92
2015-10-16,95
2015-10-17,95
2015-10-18,99
2015-10-19,100
2015-10-20,104
2015-10-22,114
2015-10-23,120
2015-10-24,125
2015-10-25,131
2015-10-26,134
2015-10-27,141
2015-10-29,156
2015-10-30,160
2015-10-31,160
2015-11-01,160
2015-11-02,160
2015-11-03,159
2015-11-04,158
2015-11-05,153
2015-11-06,146
2015-11-07,141
2015-11-08,141
2015-11-09,140
2015-11-10,139
2015-11-11,139
2015-11-12,138
2015-11-13,138
2015-11-14,136
2015-11-15,132
2015-11-16,125
2015-11-17,118
2015-11-18,112
2015-11-19,106
2015-11-20,100
2015-11-21,95
2015-11-22,90
2015-11-23,90
2015-11-24,85
2015-11-25,80
2015-11-26,76
2015-11-27,72
2015-11-28,68
2015-11-29,68
2015-11-30,68
2015-12-01,68
2015-12-02,69
2015-12-03,68
2015-12-04,69
2015-12-05,69
2015-12-06,68
2015-12-07,70
2015-12-08,70
2015-12-09,69
2015-12-10,72
2015-12-11,75
2015-12-12,78
2015-12-13,81
2015-12-14,85
2015-12-15,86
2015-12-16,91
2015-12-17,96
2015-12-18,100
2015-12-19,101
2015-12-20,100
2015-12-21,102
2015-12-22,101
2015-12-23,104
2015-12-24,109
2015-12-25,112
2015-12-26,108
2015-12-27,107
2015-12-28,113
2015-12-29,114
2015-12-30,118
2015-12-31,122
2016-01-01,128
2016-01-02,126
2016-01-03,128
2016-01-04,129
2016-01-05,126
2016-01-06,119
2016-01-07,118
2016-01-08,115
2016-01-09,110
2016-01-10,115
2016-01-11,114
2016-01-12,113
2016-01-13,112
2016-01-14,114
2016-01-15,114
2016-01-16,114
2016-01-17,114
2016-01-18,111
2016-01-19,107
2016-01-20,106
2016-01-21,100
2016-01-22,99
2016-01-23,94
2016-01-24,91
2016-01-25,87
2016-01-26,82
2016-01-27,82
2016-01-28,77
2016-01-29,76
2016-01-30,78
2016-01-31,80
2016-02-01,82
2016-02-02,77
2016-02-03,79
2016-02-04,82
2016-02-05,85
2016-02-06,89
2016-02-07,94
2016-02-08,99
2016-02-09,103
2016-02-10,107
2016-02-11,113
2016-02-12,119
2016-02-13,123
2016-02-14,130
2016-02-15,127
2016-02-16,120
2016-02-17,119
2016-02-18,119
2016-02-19,117
2016-02-20,116
2016-02-21,110
2016-02-22,109
2016-02-23,107
2016-02-24,108
2016-02-25,108
2016-02-26,107
2016-02-27,102
2016-02-28,96
2016-02-29,91
2016-03-01,86
2016-03-02,81
2016-03-03,79
2016-03-04,79
2016-03-05,80
2016-03-06,79
2016-03-07,78
2016-03-08,77
2016-03-09,77
2016-03-10,79
2016-03-11,79
2016-03-12,79
2016-03-13,79
2016-03-14,79
2016-03-15,79
2016-03-16,77
2016-03-17,79
2016-03-18,79
2016-03-19,79
2016-03-20,79
2016-03-21,77
2016-03-22,78
2016-03-23,79
2016-03-24,79
2016-03-25,78
2016-03-26,76
2016-03-27,74
2016-03-28,76
2016-03-29,76
2016-03-30,77
2016-03-31,77
2016-04-01,78
2016-04-02,77
2016-04-03,77
2016-04-04,77
2016-04-05,78
2016-04-06,78
2016-04-07,77
2016-04-08,78
2016-04-09,78
2016-04-10,78
2016-04-11,78
2016-04-12,78
2016-04-13,77
2016-04-14,77
2016-04-15,78
2016-04-16,78
2016-04-17,78
2016-04-18,78
2016-04-19,77
2016-04-20,78
2016-04-21,79
2016-04-22,80
2016-04-23,84
2016-04-24,88
2016-04-25,93
2016-04-26,94
2016-04-27,96
2016-04-28,101
2016-04-29,105
2016-04-30,108
2016-05-01,114
2016-05-02,120
2016-05-03,123
2016-05-04,121
2016-05-05,124
2016-05-06,129
2016-05-07,134
2016-05-08,140
2016-05-09,133
2016-05-10,126
2016-05-11,119
2016-05-12,113
2016-05-13,107
2016-05-14,101
2016-05-15,95
2016-05-16,90
2016-05-17,86
2016-05-18,81
2016-05-19,76
2016-05-22,72
2016-05-23,75
2016-05-24,77
2016-05-25,77
2016-05-26,79
2016-05-27,83
2016-05-28,82
2016-05-29,85
2016-05-30,89
2016-05-31,90
2016-06-01,90
2016-06-02,92
2016-06-03,93
2016-06-04,96
2016-06-05,94
2016-06-06,92
2016-06-07,88
2016-06-08,88
2016-06-09,90
2016-06-10,86
2016-06-11,84
2016-06-12,84
2016-06-13,82
2016-06-14,78
2016-06-15,77
2016-06-16,75
2016-06-17,78
2016-06-18,80
2016-06-19,83
2016-06-20,86
2016-06-21,87
2016-06-22,90
2016-06-23,92
2016-06-24,94
2016-06-25,95
2016-06-26,98
2016-06-27,98
2016-06-28,97
2016-06-29,97
2016-06-30,99
2016-07-01,102
2016-07-02,104
2016-07-03,105
2016-07-04,105
2016-07-05,107
2016-07-06,112
2016-07-07,115
2016-07-08,114
2016-07-09,112
2016-07-10,117
2016-07-11,120
2016-07-12,121
2016-07-13,122
2016-07-14,121
2016-07-15,122
2016-07-16,126
2016-07-17,129
2016-07-18,132
2016-07-23,149
2016-07-24,145
2016-07-25,149
2016-07-26,145
2016-07-27,141
2016-07-28,142
2016-07-29,147
2016-07-30,144
2016-07-31,145
2016-08-01,137
2016-08-02,130
2016-08-03,124
2016-08-04,129
2016-08-05,127
2016-08-06,133
2016-08-07,137
2016-08-08,139
2016-08-09,140
2016-08-10,145
2016-08-11,150
2016-08-12,155
2016-08-13,155
2016-08-14,148
2016-08-15,145
2016-08-16,141
2016-08-17,133
2016-08-18,126
2016-08-19,123
2016-08-20,124
2016-08-21,124
2016-08-22,124
2016-08-23,122
2016-08-24,125
2016-08-25,122
2016-08-26,122
2016-08-28,114
