date_obj,Redberries price
2015-03-26,354
2015-03-27,354
2015-03-28,342
2015-03-29,326
2015-03-30,310
2015-03-31,301
2015-04-01,301
2015-04-02,296
2015-04-03,288
2015-04-04,288
2015-04-05,286
2015-04-06,283
2015-04-07,274
2015-04-08,274
2015-04-09,262
2015-04-10,256
2015-04-11,257
2015-04-12,261
2015-04-13,270
2015-04-14,270
2015-04-15,280
2015-04-16,276
2015-04-17,275
2015-04-18,274
2015-04-19,277
2015-04-20,277
2015-04-21,277
2015-04-22,280
2015-04-23,287
2015-04-24,294
2015-04-25,282
2015-04-26,267
2015-04-27,253
2015-04-28,243
2015-04-29,243
2015-04-30,238
2015-05-01,232
2015-05-02,220
2015-05-03,220
2015-05-04,214
2015-05-05,212
2015-05-06,208
2015-05-07,208
2015-05-08,211
2015-05-09,213
2015-05-10,216
2015-05-11,216
2015-05-12,213
2015-05-13,213
2015-05-14,212
2015-05-15,213
2015-05-16,217
2015-05-17,226
2015-05-18,224
2015-05-19,224
2015-05-20,224
2015-05-21,223
2015-05-22,233
2015-05-23,241
2015-05-24,254
2015-05-25,267
2015-05-26,281
2015-05-27,296
2015-05-28,300
2015-05-29,285
2015-05-30,272
2015-05-31,263
2015-06-01,250
2015-06-02,250
2015-06-03,238
2015-06-04,230
2015-06-05,218
2015-06-06,207
2015-06-07,202
2015-06-08,191
2015-06-09,189
2015-06-10,186
2015-06-11,181
2015-06-12,183
2015-06-13,187
2015-06-14,189
2015-06-15,189
2015-06-16,182
2015-06-17,176
2015-06-18,172
2015-06-19,174
2015-06-20,177
2015-06-21,181
2015-06-22,179
2015-06-23,182
2015-06-24,175
2015-06-25,175
2015-06-26,169
2015-06-27,169
2015-06-28,173
2015-06-29,182
2015-06-30,190
2015-07-01,200
2015-07-02,200
2015-07-03,205
2015-07-04,205
2015-07-05,209
2015-07-06,209
2015-07-07,204
2015-07-08,204
2015-07-09,204
2015-07-10,195
2015-07-11,191
2015-07-12,200
2015-07-13,208
2015-07-14,214
2015-07-15,216
2015-07-16,218
2015-07-17,207
2015-07-18,196
2015-07-19,187
2015-07-20,177
2015-07-21,181
2015-07-22,182
2015-07-23,182
2015-07-24,173
2015-07-25,178
2015-07-26,169
2015-07-27,162
2015-07-28,165
2015-07-29,167
2015-07-30,172
2015-07-31,175
2015-08-01,180
2015-08-02,181
2015-08-03,191
2015-08-04,200
2015-08-05,204
2015-08-06,200
2015-08-07,202
2015-08-08,202
2015-08-09,196
2015-08-10,200
2015-08-11,202
2015-08-12,202
2015-08-13,208
2015-08-14,201
2015-08-15,201
2015-08-16,198
2015-08-17,195
2015-08-18,191
2015-08-19,195
2015-08-20,193
2015-08-21,198
2015-08-22,206
2015-08-23,206
2015-08-24,204
2015-08-25,204
2015-08-26,198
2015-08-27,196
2015-08-28,201
2015-08-29,206
2015-08-30,206
2015-08-31,207
2015-09-01,202
2015-09-02,202
2015-09-03,197
2015-09-04,197
2015-09-05,197
2015-09-06,197
2015-09-07,201
2015-09-08,212
2015-09-09,208
2015-09-10,197
2015-09-11,187
2015-09-12,177
2015-09-13,173
2015-09-14,172
2015-09-15,165
2015-09-16,165
2015-09-17,166
2015-09-18,166
2015-09-19,169
2015-09-20,177
2015-09-21,184
2015-09-22,188
2015-09-23,188
2015-09-24,188
2015-09-25,196
2015-09-27,191
2015-09-28,195
2015-09-29,204
2015-09-30,206
2015-10-05,240
2015-10-06,247
2015-10-07,252
2015-10-08,264
2015-10-09,270
2015-10-10,270
2015-10-11,262
2015-10-12,249
2015-10-13,249
2015-10-14,236
2015-10-15,224
2015-10-16,221
2015-10-17,221
2015-10-18,219
2015-10-19,216
2015-10-20,223
2015-10-22,223
2015-10-23,220
2015-10-24,209
2015-10-25,203
2015-10-26,198
2015-10-27,198
2015-10-29,202
2015-10-30,204
2015-10-31,211
2015-11-01,211
2015-11-02,207
2015-11-03,207
2015-11-04,215
2015-11-05,205
2015-11-06,205
2015-11-07,201
2015-11-08,201
2015-11-09,202
2015-11-10,195
2015-11-11,194
2015-11-12,194
2015-11-13,194
2015-11-14,192
2015-11-15,198
2015-11-16,201
2015-11-17,202
2015-11-18,210
2015-11-19,211
2015-11-20,207
2015-11-21,207
2015-11-22,202
2015-11-23,202
2015-11-24,201
2015-11-25,207
2015-11-26,207
2015-11-27,201
2015-11-28,195
2015-11-29,187
2015-11-30,187
2015-12-01,186
2015-12-02,185
2015-12-03,191
2015-12-04,191
2015-12-05,193
2015-12-06,195
2015-12-07,193
2015-12-08,195
2015-12-09,197
2015-12-10,200
2015-12-11,199
2015-12-12,198
2015-12-13,196
2015-12-14,196
2015-12-15,194
2015-12-16,204
2015-12-17,204
2015-12-18,213
2015-12-19,202
2015-12-20,193
2015-12-21,189
2015-12-22,181
2015-12-23,174
