date_obj,Ruby%20bolt%20tips price
2015-03-26,115
2015-03-27,115
2015-03-28,115
2015-03-29,113
2015-03-30,113
2015-03-31,113
2015-04-01,113
2015-04-02,111
2015-04-03,111
2015-04-04,111
2015-04-05,111
2015-04-06,112
2015-04-07,112
2015-04-08,112
2015-04-09,112
2015-04-10,112
2015-04-11,110
2015-04-12,110
2015-04-13,110
2015-04-14,110
2015-04-15,106
2015-04-16,106
2015-04-17,106
2015-04-18,106
2015-04-19,106
2015-04-20,101
2015-04-21,101
2015-04-22,101
2015-04-23,101
2015-04-24,101
2015-04-25,100
2015-04-26,100
2015-04-27,100
2015-04-28,100
2015-04-29,100
2015-04-30,103
2015-05-01,103
2015-05-02,103
2015-05-03,103
2015-05-04,103
2015-05-05,103
2015-05-06,103
2015-05-07,103
2015-05-08,103
2015-05-09,103
2015-05-10,103
2015-05-11,103
2015-05-12,103
2015-05-13,103
2015-05-14,101
2015-05-15,101
2015-05-16,101
2015-05-17,101
2015-05-18,101
2015-05-19,101
2015-05-20,101
2015-05-21,101
2015-05-22,101
2015-05-23,101
2015-05-24,101
2015-05-25,101
2015-05-26,101
2015-05-27,101
2015-05-28,99
2015-05-29,99
2015-05-30,99
2015-05-31,98
2015-06-01,98
2015-06-02,98
2015-06-03,98
2015-06-04,98
2015-06-05,98
2015-06-06,98
2015-06-07,98
2015-06-08,98
2015-06-09,98
2015-06-10,98
2015-06-11,98
2015-06-12,98
2015-06-13,98
2015-06-14,101
2015-06-15,101
2015-06-16,101
2015-06-17,101
2015-06-18,101
2015-06-19,103
2015-06-20,103
2015-06-21,103
2015-06-22,103
2015-06-23,103
2015-06-24,107
2015-06-25,107
2015-06-26,107
2015-06-27,107
2015-06-28,107
2015-06-29,107
2015-06-30,107
2015-07-01,107
2015-07-02,107
2015-07-03,105
2015-07-04,105
2015-07-05,105
2015-07-06,105
2015-07-07,105
2015-07-08,106
2015-07-09,106
2015-07-10,106
2015-07-11,106
2015-07-12,106
2015-07-13,101
2015-07-14,101
2015-07-15,101
2015-07-16,101
2015-07-17,101
2015-07-18,97
2015-07-19,97
2015-07-20,97
2015-07-21,97
2015-07-22,97
2015-07-23,97
2015-07-24,98
2015-07-25,98
2015-07-26,98
2015-07-27,98
2015-07-28,98
2015-07-29,98
2015-07-30,98
2015-07-31,98
2015-08-01,98
2015-08-02,98
2015-08-03,97
2015-08-04,97
2015-08-05,97
2015-08-06,97
2015-08-07,97
2015-08-08,98
2015-08-09,98
2015-08-10,98
2015-08-11,98
2015-08-12,98
2015-08-13,98
2015-08-14,98
2015-08-15,98
2015-08-16,98
2015-08-17,98
2015-08-18,98
2015-08-19,100
2015-08-20,100
2015-08-21,100
2015-08-22,100
2015-08-23,100
2015-08-24,99
2015-08-25,99
2015-08-26,99
2015-08-27,99
2015-08-28,99
2015-08-29,99
2015-08-30,102
2015-08-31,102
2015-09-01,102
2015-09-02,102
2015-09-03,102
2015-09-04,102
2015-09-05,103
2015-09-06,103
2015-09-07,103
2015-09-08,103
2015-09-09,103
2015-09-10,103
2015-09-11,103
2015-09-12,103
2015-09-13,103
2015-09-14,103
2015-09-15,103
2015-09-16,103
2015-09-17,103
2015-09-18,103
2015-09-19,103
2015-09-20,103
2015-09-21,102
2015-09-22,102
2015-09-23,102
2015-09-24,102
2015-09-25,102
2015-09-27,99
2015-09-28,99
2015-09-29,99
2015-09-30,99
2015-10-05,98
2015-10-06,98
2015-10-07,98
2015-10-08,98
2015-10-09,101
2015-10-10,101
2015-10-11,101
2015-10-12,101
2015-10-13,101
2015-10-14,101
2015-10-15,101
2015-10-16,103
2015-10-17,103
2015-10-18,103
2015-10-19,103
2015-10-20,103
2015-10-22,103
2015-10-23,103
2015-10-24,103
2015-10-25,103
2015-10-26,103
2015-10-27,103
2015-10-29,101
2015-10-30,101
2015-10-31,101
2015-11-01,101
2015-11-02,101
2015-11-03,101
2015-11-04,101
2015-11-05,102
2015-11-06,102
2015-11-07,102
2015-11-08,102
2015-11-09,102
2015-11-10,102
2015-11-11,102
2015-11-12,102
2015-11-13,104
2015-11-14,104
2015-11-15,104
2015-11-16,104
2015-11-17,104
2015-11-18,104
2015-11-19,104
2015-11-20,106
2015-11-21,106
2015-11-22,106
2015-11-23,106
2015-11-24,106
2015-11-25,106
2015-11-26,106
2015-11-27,102
2015-11-28,102
2015-11-29,102
2015-11-30,102
2015-12-01,102
2015-12-02,102
2015-12-03,102
2015-12-04,102
2015-12-05,102
2015-12-06,102
2015-12-07,102
2015-12-08,102
2015-12-09,104
2015-12-10,104
2015-12-11,104
2015-12-12,104
2015-12-13,104
2015-12-14,104
2015-12-15,104
2015-12-16,106
2015-12-17,106
2015-12-18,106
2015-12-19,106
2015-12-20,106
2015-12-21,106
2015-12-22,105
2015-12-23,105
2015-12-24,105
2015-12-25,105
2015-12-26,105
2015-12-27,105
2015-12-28,105
2015-12-29,105
2015-12-30,105
2015-12-31,102
2016-01-01,102
2016-01-02,102
2016-01-03,102
2016-01-04,98
2016-01-05,98
2016-01-06,98
2016-01-07,98
2016-01-08,98
