date_obj,Fried%20mushrooms price
2015-03-26,35
2015-03-27,35
2015-03-28,35
2015-03-29,35
2015-03-30,35
2015-03-31,35
2015-04-01,35
2015-04-02,35
2015-04-03,35
2015-04-04,35
2015-04-05,35
2015-04-06,36
2015-04-07,36
2015-04-08,36
2015-04-09,36
2015-04-10,36
2015-04-11,36
2015-04-12,36
2015-04-13,36
2015-04-14,36
2015-04-15,36
2015-04-16,36
2015-04-17,36
2015-04-18,36
2015-04-19,36
2015-04-20,36
2015-04-21,36
2015-04-22,36
2015-04-23,36
2015-04-24,36
2015-04-25,36
2015-04-26,36
2015-04-27,36
2015-04-28,36
2015-04-29,36
2015-04-30,36
2015-05-01,36
2015-05-02,36
2015-05-03,36
2015-05-04,36
2015-05-05,36
2015-05-06,36
2015-05-07,36
2015-05-08,36
2015-05-09,36
2015-05-10,36
2015-05-11,36
2015-05-12,36
2015-05-13,36
2015-05-14,36
2015-05-15,36
2015-05-16,36
2015-05-17,38
2015-05-18,38
2015-05-19,38
2015-05-20,38
2015-05-21,38
2015-05-22,38
2015-05-23,38
2015-05-24,38
2015-05-25,38
2015-05-26,38
2015-05-27,38
2015-05-28,38
2015-05-29,38
2015-05-30,38
2015-05-31,38
2015-06-01,38
2015-06-02,38
2015-06-03,38
2015-06-04,38
2015-06-05,38
2015-06-06,38
2015-06-07,38
2015-06-08,38
2015-06-09,38
2015-06-10,38
2015-06-11,38
2015-06-12,38
2015-06-13,40
2015-06-14,40
2015-06-15,40
2015-06-16,40
2015-06-17,40
2015-06-18,40
2015-06-19,40
2015-06-20,40
2015-06-21,40
2015-06-22,40
2015-06-23,40
2015-06-24,40
2015-06-25,40
2015-06-26,40
2015-06-27,40
2015-06-28,40
2015-06-29,40
2015-06-30,40
2015-07-01,40
2015-07-02,40
2015-07-03,40
2015-07-04,40
2015-07-05,40
2015-07-06,40
2015-07-07,40
2015-07-08,40
2015-07-09,40
2015-07-10,40
2015-07-11,40
2015-07-12,40
2015-07-13,41
2015-07-14,41
2015-07-15,41
2015-07-16,41
2015-07-17,41
2015-07-18,41
2015-07-19,41
2015-07-20,41
2015-07-21,41
2015-07-22,41
2015-07-23,41
2015-07-24,41
2015-07-25,41
2015-07-26,41
2015-07-27,41
2015-07-28,41
2015-07-29,41
2015-07-30,41
2015-07-31,41
2015-08-01,41
2015-08-02,41
