date_obj,Steel%20scimitar price
2015-03-26,489
2015-03-27,465
2015-03-28,441
2015-03-29,418
2015-03-30,397
2015-03-31,377
2015-04-01,359
2015-04-02,341
2015-04-03,323
2015-04-04,306
2015-04-05,290
2015-04-06,275
2015-04-07,261
2015-04-08,248
2015-04-09,235
2015-04-10,223
2015-04-11,211
2015-04-12,200
2015-04-13,190
2015-04-14,181
2015-04-15,171
2015-04-16,162
2015-04-17,153
2015-04-18,145
2015-04-19,137
2015-04-20,130
2015-04-21,124
2015-04-22,119
2015-04-23,115
2015-04-24,110
2015-04-25,105
2015-04-26,99
2015-04-27,94
2015-04-28,89
2015-04-29,86
2015-04-30,84
2015-05-01,82
2015-05-02,79
2015-05-03,76
2015-05-04,75
2015-05-05,73
2015-05-06,71
2015-05-07,72
2015-05-08,72
2015-05-09,72
2015-05-10,71
2015-05-11,68
2015-05-12,65
2015-05-13,64
2015-05-14,62
2015-05-15,61
2015-05-16,61
2015-05-17,62
2015-05-18,62
2015-05-19,62
2015-05-20,63
2015-05-21,64
2015-05-22,65
2015-05-23,65
2015-05-24,63
2015-05-25,65
2015-05-26,67
2015-05-27,68
2015-05-28,70
2015-05-29,72
2015-05-30,73
2015-05-31,74
2015-06-01,76
2015-06-02,76
2015-06-03,77
2015-06-04,77
2015-06-05,78
2015-06-06,81
2015-06-07,84
2015-06-08,89
2015-06-09,91
2015-06-10,90
2015-06-11,85
2015-06-12,83
2015-06-13,81
2015-06-14,80
2015-06-15,78
2015-06-16,77
2015-06-17,76
2015-06-18,79
2015-06-19,83
2015-06-20,86
2015-06-21,85
2015-06-22,86
2015-06-23,84
2015-06-24,82
2015-06-25,80
2015-06-26,79
2015-06-27,76
2015-06-28,77
2015-06-29,74
2015-06-30,70
2015-07-01,68
2015-07-02,68
2015-07-03,69
2015-07-04,70
2015-07-05,73
2015-07-06,71
2015-07-07,72
2015-07-08,75
2015-07-09,76
2015-07-10,79
2015-07-11,79
2015-07-12,79
2015-07-13,79
2015-07-14,78
2015-07-15,80
2015-07-16,80
2015-07-17,79
2015-07-18,79
2015-07-19,81
2015-07-20,81
2015-07-21,82
2015-07-22,84
2015-07-23,84
2015-07-24,83
2015-07-25,83
2015-07-26,79
2015-07-27,78
2015-07-28,78
2015-07-29,78
2015-07-30,77
2015-07-31,76
2015-08-01,75
2015-08-02,76
2015-08-03,75
2015-08-04,76
2015-08-05,79
2015-08-06,81
2015-08-07,84
2015-08-08,85
2015-08-09,85
2015-08-10,87
2015-08-11,88
2015-08-12,88
2015-08-13,90
2015-08-14,92
2015-08-15,91
2015-08-16,93
2015-08-17,92
2015-08-18,96
2015-08-19,99
2015-08-20,101
2015-08-21,102
2015-08-22,103
2015-08-23,102
2015-08-24,97
2015-08-25,95
2015-08-26,96
2015-08-27,99
2015-08-28,97
2015-08-29,98
2015-08-30,97
2015-08-31,101
2015-09-01,100
2015-09-02,100
2015-09-03,100
2015-09-04,100
2015-09-05,100
2015-09-06,99
2015-09-07,96
2015-09-08,97
2015-09-09,99
2015-09-10,102
2015-09-11,105
2015-09-12,108
2015-09-13,109
2015-09-14,109
2015-09-15,110
2015-09-16,113
2015-09-17,109
2015-09-18,104
2015-09-19,98
2015-09-20,93
2015-09-21,88
2015-09-22,89
2015-09-23,90
2015-09-24,90
2015-09-25,93
2015-09-27,94
2015-09-28,94
2015-09-29,93
2015-09-30,95
2015-10-05,97
2015-10-06,97
2015-10-07,97
2015-10-08,100
2015-10-09,97
2015-10-10,97
2015-10-11,97
2015-10-12,97
2015-10-13,95
2015-10-14,95
2015-10-15,95
2015-10-16,96
2015-10-17,96
2015-10-18,100
2015-10-19,103
2015-10-20,100
2015-10-22,99
2015-10-23,99
2015-10-24,101
2015-10-25,102
2015-10-26,105
2015-10-27,106
2015-10-29,107
2015-10-30,105
2015-10-31,106
2015-11-01,108
2015-11-02,107
2015-11-03,108
2015-11-04,108
2015-11-05,109
2015-11-06,111
2015-11-07,113
2015-11-08,115
2015-11-09,119
2015-11-10,122
2015-11-11,119
2015-11-12,122
2015-11-13,122
2015-11-14,121
2015-11-15,125
2015-11-16,123
2015-11-17,127
2015-11-18,133
2015-11-19,133
2015-11-20,133
2015-11-21,131
2015-11-22,129
2015-11-23,129
2015-11-24,125
2015-11-25,122
2015-11-26,120
2015-11-27,116
2015-11-28,111
2015-11-29,110
2015-11-30,115
2015-12-01,111
2015-12-02,107
2015-12-03,104
2015-12-04,103
2015-12-05,104
2015-12-06,105
2015-12-07,104
2015-12-08,107
2015-12-09,110
2015-12-10,108
2015-12-11,109
2015-12-13,109
2015-12-14,109
2015-12-15,108
2015-12-16,112
2015-12-17,116
2015-12-18,115
2015-12-19,117
2015-12-20,120
2015-12-21,120
2015-12-22,120
2015-12-23,119
2015-12-24,118
2015-12-25,116
2015-12-26,114
2015-12-27,115
2015-12-28,114
2015-12-29,114
2015-12-30,117
2015-12-31,119
2016-01-01,114
2016-01-02,112
2016-01-03,108
2016-01-04,107
2016-01-05,103
2016-01-06,106
2016-01-07,109
2016-01-08,113
2016-01-09,114
2016-01-10,114
2016-01-11,115
2016-01-12,119
2016-01-13,117
2016-01-14,117
2016-01-15,120
2016-01-16,123
2016-01-17,122
2016-01-18,125
2016-01-19,122
2016-01-20,123
2016-01-21,121
2016-01-22,125
2016-01-23,124
2016-01-24,123
2016-01-25,124
2016-01-26,120
2016-01-27,118
2016-01-28,118
2016-01-29,117
2016-01-30,117
2016-01-31,120
2016-02-01,123
2016-02-02,126
2016-02-03,129
2016-02-04,131
2016-02-05,128
2016-02-06,127
2016-02-07,125
2016-02-08,127
2016-02-09,129
2016-02-10,131
2016-02-11,136
2016-02-12,139
2016-02-13,142
2016-02-14,144
2016-02-15,143
2016-02-16,139
2016-02-17,134
2016-02-18,130
2016-02-19,128
2016-02-20,127
2016-02-21,127
2016-02-22,124
2016-02-23,123
2016-02-24,118
2016-02-25,116
2016-02-26,113
2016-02-27,113
2016-02-28,111
2016-02-29,107
2016-03-01,103
2016-03-02,102
2016-03-03,103
2016-03-04,104
2016-03-05,107
2016-03-06,105
2016-03-07,107
2016-03-08,107
2016-03-09,104
2016-03-10,103
2016-03-11,102
2016-03-12,100
2016-03-13,98
2016-03-14,100
2016-03-15,104
2016-03-16,103
2016-03-17,101
2016-03-18,103
2016-03-19,105
2016-03-20,106
2016-03-21,102
2016-03-22,100
2016-03-23,99
2016-03-24,98
2016-03-25,98
2016-03-26,100
2016-03-27,101
2016-03-28,99
2016-03-29,95
2016-03-30,93
2016-03-31,89
2016-04-01,88
2016-04-02,90
2016-04-03,92
2016-04-04,91
2016-04-05,91
2016-04-06,92
2016-04-07,96
2016-04-08,100
2016-04-09,97
2016-04-10,96
2016-04-11,96
2016-04-12,96
2016-04-13,100
2016-04-14,104
2016-04-15,108
2016-04-16,106
2016-04-17,104
2016-04-18,104
2016-04-19,104
2016-04-20,103
2016-04-21,99
2016-04-22,96
2016-04-23,94
2016-04-24,90
2016-04-25,90
2016-04-26,89
2016-04-27,87
2016-04-28,89
2016-04-29,92
2016-04-30,94
2016-05-01,94
2016-05-02,91
2016-05-03,87
2016-05-04,87
2016-05-05,89
2016-05-06,93
2016-05-07,97
2016-05-08,94
2016-05-09,92
2016-05-10,88
2016-05-11,84
2016-05-12,87
2016-05-13,91
2016-05-14,92
2016-05-15,94
2016-05-16,95
2016-05-17,94
2016-05-18,98
2016-05-19,95
2016-05-22,82
2016-05-23,79
2016-05-24,79
2016-05-25,81
2016-05-26,84
2016-05-27,86
2016-05-28,86
2016-05-29,84
2016-05-30,84
2016-05-31,80
2016-06-01,79
2016-06-02,78
2016-06-03,81
2016-06-04,84
2016-06-05,85
2016-06-06,84
2016-06-07,83
2016-06-08,81
2016-06-09,78
2016-06-10,75
2016-06-11,76
2016-06-12,77
2016-06-13,77
2016-06-14,80
2016-06-15,82
2016-06-16,87
2016-06-17,90
2016-06-18,91
2016-06-19,90
2016-06-20,90
2016-06-21,93
2016-06-22,97
2016-06-23,95
2016-06-24,93
2016-06-25,94
2016-06-26,93
2016-06-27,92
2016-06-28,92
2016-06-29,90
2016-06-30,91
2016-07-01,92
2016-07-02,92
2016-07-03,93
2016-07-04,93
2016-07-05,89
2016-07-06,88
2016-07-07,86
2016-07-08,85
2016-07-09,84
2016-07-10,85
2016-07-11,84
2016-07-12,85
2016-07-13,89
2016-07-14,91
2016-07-15,91
2016-07-16,92
2016-07-17,96
2016-07-18,99
2016-07-24,108
2016-07-25,102
2016-07-26,97
2016-07-27,96
2016-07-28,93
2016-07-29,90
2016-07-30,87
2016-07-31,90
2016-08-01,90
2016-08-02,90
2016-08-03,93
2016-08-04,95
2016-08-05,94
2016-08-06,97
2016-08-07,101
2016-08-08,103
2016-08-09,106
2016-08-10,104
2016-08-11,98
2016-08-12,95
2016-08-13,96
2016-08-14,99
2016-08-15,101
2016-08-16,105
2016-08-17,109
2016-08-18,113
2016-08-19,115
2016-08-20,111
2016-08-21,108
2016-08-22,110
2016-08-23,112
2016-08-24,110
2016-08-25,105
2016-08-26,105
2016-08-28,97
2016-08-31,98
2016-09-01,95
2016-09-02,95
2016-09-03,90
2016-09-04,87
2016-09-05,83
2016-09-06,82
2016-09-07,85
2016-09-08,86
2016-09-09,86
2016-09-10,86
2016-09-11,88
2016-09-12,90
2016-09-13,89
2016-09-14,88
2016-09-15,89
2016-09-16,92
2016-09-17,93
2016-09-18,92
2016-09-19,90
2016-09-20,90
2016-09-21,91
2016-09-22,93
2016-09-23,94
2016-09-24,94
2016-09-25,91
2016-09-26,90
2016-09-27,87
2016-09-28,86
2016-09-29,86
2016-09-30,85
2016-10-01,83
2016-10-02,79
2016-10-03,75
2016-10-04,73
2016-10-05,70
2016-10-06,70
2016-10-07,69
2016-10-08,70
2016-10-09,67
2016-10-10,68
2016-10-11,68
2016-10-12,66
2016-10-13,65
2016-10-14,63
2016-10-15,63
2016-10-16,64
2016-10-17,66
2016-10-18,63
2016-10-19,65
2016-10-20,66
2016-10-21,69
2016-10-22,73
2016-10-23,73
2016-10-24,71
2016-10-25,70
2016-10-26,69
2016-10-27,68
2016-10-28,69
2016-10-29,67
2016-10-30,64
2016-10-31,62
2016-11-01,62
2016-11-02,62
2016-11-03,60
2016-11-04,60
