date_obj,Black%20knife price
2015-03-26,95
2015-03-27,95
2015-03-28,95
2015-03-29,97
2015-03-30,97
2015-03-31,97
2015-04-01,98
2015-04-02,98
2015-04-03,99
2015-04-04,100
2015-04-05,100
2015-04-06,101
2015-04-07,100
2015-04-08,99
2015-04-09,98
2015-04-10,95
2015-04-11,95
2015-04-12,94
2015-04-13,93
2015-04-14,91
2015-04-15,89
2015-04-16,87
2015-04-17,86
2015-04-18,86
2015-04-19,85
2015-04-20,85
2015-04-21,86
2015-04-22,88
2015-04-23,91
2015-04-24,93
2015-04-25,96
2015-04-26,99
2015-04-27,101
2015-04-28,99
2015-04-29,99
2015-04-30,99
2015-05-01,100
2015-05-02,101
2015-05-03,102
2015-05-04,104
2015-05-05,106
2015-05-06,107
2015-05-07,107
2015-05-08,107
2015-05-09,106
2015-05-10,107
2015-05-11,107
2015-05-12,108
2015-05-13,106
2015-05-14,103
2015-05-15,99
2015-05-16,97
2015-05-17,97
2015-05-18,97
2015-05-19,96
2015-05-20,96
2015-05-21,96
2015-05-22,95
2015-05-23,94
2015-05-24,93
2015-05-25,94
2015-05-26,93
2015-05-27,91
2015-05-28,90
2015-05-29,90
2015-05-30,90
2015-05-31,91
2015-06-01,91
2015-06-02,92
2015-06-03,92
2015-06-04,93
2015-06-05,94
2015-06-06,96
2015-06-07,97
2015-06-08,99
2015-06-09,99
2015-06-10,100
2015-06-11,101
2015-06-12,103
2015-06-13,105
2015-06-14,106
2015-06-15,106
2015-06-16,107
2015-06-17,107
2015-06-18,106
2015-06-19,104
2015-06-20,105
2015-06-21,104
2015-06-22,104
2015-06-23,104
2015-06-24,104
2015-06-25,104
2015-06-26,103
2015-06-27,102
2015-06-28,104
2015-06-29,105
2015-06-30,105
2015-07-01,105
2015-07-02,103
2015-07-03,104
2015-07-04,106
2015-07-05,107
2015-07-06,105
2015-07-07,106
2015-07-08,106
2015-07-09,105
2015-07-10,105
2015-07-11,104
2015-07-12,103
2015-07-13,103
2015-07-14,103
2015-07-15,104
2015-07-16,103
2015-07-17,103
2015-07-18,103
2015-07-19,103
2015-07-20,102
2015-07-21,102
2015-07-22,102
2015-07-23,102
2015-07-24,102
2015-07-25,102
2015-07-26,101
2015-07-27,102
2015-07-28,103
2015-07-29,103
2015-07-30,102
2015-07-31,103
2015-08-01,104
2015-08-02,102
2015-08-03,102
2015-08-04,103
2015-08-05,103
2015-08-06,104
2015-08-07,103
2015-08-08,103
2015-08-09,103
2015-08-10,103
2015-08-11,103
2015-08-12,104
2015-08-13,105
2015-08-14,106
2015-08-15,105
2015-08-16,104
2015-08-17,103
2015-08-18,103
2015-08-19,103
2015-08-20,104
2015-08-21,105
2015-08-22,105
2015-08-23,105
2015-08-24,104
2015-08-25,104
2015-08-26,102
2015-08-27,101
2015-08-28,101
2015-08-29,100
2015-08-30,102
2015-08-31,103
2015-09-01,102
2015-09-02,101
2015-09-03,102
2015-09-04,102
2015-09-05,102
2015-09-06,102
2015-09-07,101
2015-09-08,102
2015-09-09,102
2015-09-10,102
2015-09-11,102
2015-09-12,102
2015-09-13,103
2015-09-14,103
2015-09-15,103
2015-09-16,103
2015-09-17,103
2015-09-18,101
2015-09-19,101
2015-09-20,102
2015-09-21,103
2015-09-22,104
2015-09-23,102
2015-09-24,104
2015-09-25,105
2015-09-27,105
2015-09-28,102
2015-09-29,102
2015-09-30,103
2015-10-05,103
2015-10-06,104
2015-10-07,105
2015-10-08,105
2015-10-09,105
2015-10-10,105
2015-10-11,105
2015-10-12,105
