date_obj,Tuna price
2015-03-26,108
2015-03-27,112
2015-03-28,110
2015-03-29,106
2015-03-30,102
2015-03-31,99
2015-04-01,98
2015-04-02,96
2015-04-03,95
2015-04-04,93
2015-04-05,92
2015-04-06,93
2015-04-07,90
2015-04-08,89
2015-04-09,89
2015-04-10,91
2015-04-11,94
2015-04-12,96
2015-04-13,94
2015-04-14,93
2015-04-15,93
2015-04-16,92
2015-04-17,91
2015-04-18,90
2015-04-19,90
2015-04-20,90
2015-04-21,93
2015-04-22,92
2015-04-23,91
2015-04-24,90
2015-04-25,91
2015-04-26,90
2015-04-27,91
2015-04-28,89
2015-04-29,90
2015-04-30,88
2015-05-01,88
2015-05-02,86
2015-05-03,86
2015-05-04,86
2015-05-05,86
2015-05-06,86
2015-05-07,88
2015-05-08,90
2015-05-09,91
2015-05-10,90
2015-05-11,90
2015-05-12,90
2015-05-13,88
2015-05-14,88
2015-05-15,88
2015-05-16,89
2015-05-17,89
2015-05-18,89
2015-05-19,88
2015-05-20,87
2015-05-21,87
2015-05-22,85
2015-05-23,82
2015-05-24,81
2015-05-25,81
2015-05-26,80
2015-05-27,80
2015-05-28,80
2015-05-29,80
2015-05-30,79
2015-05-31,79
2015-06-01,78
2015-06-02,77
2015-06-03,77
2015-06-04,78
2015-06-05,78
2015-06-06,77
2015-06-07,77
2015-06-08,76
2015-06-09,77
2015-06-10,78
2015-06-11,77
2015-06-12,76
2015-06-13,75
2015-06-14,75
2015-06-15,75
2015-06-16,75
2015-06-17,75
2015-06-18,75
2015-06-19,76
2015-06-20,77
2015-06-21,78
2015-06-22,78
2015-06-23,78
2015-06-24,78
2015-06-25,79
2015-06-26,78
2015-06-27,78
2015-06-28,77
2015-06-29,77
2015-06-30,76
2015-07-01,75
2015-07-02,75
2015-07-03,76
2015-07-04,78
2015-07-05,79
2015-07-06,80
2015-07-07,81
2015-07-08,81
2015-07-09,82
2015-07-10,83
2015-07-11,84
2015-07-12,85
2015-07-13,88
2015-07-14,92
2015-07-15,93
2015-07-16,94
2015-07-17,94
2015-07-18,92
2015-07-19,90
2015-07-20,87
2015-07-21,84
2015-07-22,80
2015-07-23,78
2015-07-24,77
2015-07-25,76
2015-07-26,77
2015-07-27,77
2015-07-28,77
2015-07-29,77
2015-07-30,77
2015-07-31,78
2015-08-01,79
2015-08-02,81
2015-08-03,81
