date_obj,Loar%20remains price
2015-03-26,1183
2015-03-27,1183
2015-03-28,1124
2015-03-29,1124
2015-03-30,1124
2015-03-31,1068
2015-04-01,1068
2015-04-02,1068
2015-04-03,1015
2015-04-04,1015
2015-04-05,1015
2015-04-06,968
2015-04-07,968
2015-04-08,968
2015-04-09,968
2015-04-10,920
2015-04-11,920
2015-04-12,920
2015-04-13,920
2015-04-14,875
2015-04-15,875
2015-04-16,875
2015-04-17,832
2015-04-18,832
2015-04-19,832
2015-04-20,791
2015-04-21,791
2015-04-22,791
2015-04-23,753
2015-04-24,753
2015-04-25,753
2015-04-26,753
2015-04-27,717
2015-04-28,717
2015-04-29,717
2015-04-30,682
2015-05-01,682
2015-05-02,682
2015-05-03,648
2015-05-04,648
2015-05-05,648
2015-05-06,616
2015-05-07,616
2015-05-08,616
2015-05-09,586
2015-05-10,586
2015-05-11,586
2015-05-12,586
2015-05-13,557
2015-05-14,557
2015-05-15,557
2015-05-16,557
2015-05-17,530
2015-05-18,530
2015-05-19,530
2015-05-20,530
2015-05-21,507
2015-05-22,507
2015-05-23,507
2015-05-24,482
2015-05-25,482
2015-05-26,482
2015-05-27,482
2015-05-28,462
2015-05-29,462
2015-05-30,439
2015-05-31,439
2015-06-01,419
2015-06-02,419
2015-06-03,419
2015-06-04,398
2015-06-05,398
2015-06-06,398
2015-06-07,378
2015-06-08,378
2015-06-09,378
2015-06-10,359
2015-06-11,359
2015-06-12,359
2015-06-13,342
2015-06-14,342
2015-06-15,342
2015-06-16,325
2015-06-17,325
2015-06-18,325
2015-06-19,310
2015-06-20,310
2015-06-21,310
2015-06-22,294
2015-06-23,294
2015-06-24,294
2015-06-25,294
2015-06-26,280
2015-06-27,280
2015-06-28,280
2015-06-29,280
2015-06-30,266
2015-07-01,266
2015-07-02,266
2015-07-03,253
2015-07-04,253
2015-07-05,253
2015-07-06,253
2015-07-07,245
2015-07-08,245
2015-07-09,245
2015-07-10,233
2015-07-11,233
2015-07-12,233
2015-07-13,222
2015-07-14,222
2015-07-15,222
2015-07-16,211
2015-07-17,211
2015-07-18,211
2015-07-19,201
2015-07-20,201
2015-07-21,201
2015-07-22,191
2015-07-23,191
2015-07-24,191
2015-07-25,191
2015-07-26,182
2015-07-27,182
2015-07-28,182
2015-07-29,173
2015-07-30,173
2015-07-31,173
2015-08-01,173
2015-08-02,173
2015-08-03,165
2015-08-04,165
2015-08-05,165
2015-08-06,165
2015-08-07,156
2015-08-08,156
2015-08-09,156
2015-08-10,156
2015-08-11,148
2015-08-12,148
2015-08-13,148
2015-08-14,148
2015-08-15,148
2015-08-16,140
2015-08-17,140
2015-08-18,140
2015-08-19,140
2015-08-20,140
2015-08-21,133
2015-08-22,133
2015-08-23,133
2015-08-24,133
2015-08-25,133
2015-08-26,128
2015-08-27,128
2015-08-28,128
2015-08-29,128
2015-08-30,128
2015-08-31,121
2015-09-01,121
2015-09-02,121
2015-09-03,121
2015-09-04,121
2015-09-05,114
2015-09-06,114
2015-09-07,114
2015-09-08,114
2015-09-09,114
2015-09-10,114
2015-09-11,108
2015-09-12,108
2015-09-13,108
2015-09-14,108
2015-09-15,108
2015-09-16,108
2015-09-17,102
2015-09-18,102
2015-09-19,102
2015-09-20,102
2015-09-21,102
2015-09-22,98
2015-09-23,98
2015-09-24,98
2015-09-25,98
2015-09-27,98
2015-09-28,98
2015-09-29,98
2015-09-30,98
2015-10-05,93
2015-10-06,93
2015-10-07,93
2015-10-08,88
2015-10-09,88
2015-10-10,88
2015-10-11,88
2015-10-12,88
2015-10-13,88
2015-10-14,83
2015-10-15,83
2015-10-16,83
2015-10-17,83
2015-10-18,83
2015-10-19,83
2015-10-20,83
2015-10-22,83
2015-10-23,78
2015-10-24,78
2015-10-25,78
2015-10-26,78
2015-10-27,78
2015-10-29,78
2015-10-30,78
2015-10-31,75
2015-11-01,75
2015-11-02,75
2015-11-03,75
2015-11-04,75
2015-11-05,75
2015-11-06,75
2015-11-07,75
2015-11-08,75
2015-11-09,71
2015-11-10,71
2015-11-11,71
2015-11-12,71
2015-11-13,71
2015-11-14,71
2015-11-15,71
2015-11-16,71
2015-11-17,67
2015-11-18,67
2015-11-19,67
2015-11-20,67
2015-11-21,67
2015-11-22,67
2015-11-23,67
2015-11-24,67
2015-11-25,64
2015-11-26,64
2015-11-27,64
2015-11-28,64
2015-11-29,64
2015-11-30,64
2015-12-01,64
2015-12-02,63
2015-12-03,63
2015-12-04,63
2015-12-05,63
2015-12-06,63
2015-12-07,63
2015-12-08,63
2015-12-09,61
2015-12-10,61
2015-12-11,61
2015-12-12,61
2015-12-13,61
2015-12-14,61
2015-12-15,61
2015-12-16,61
2015-12-17,61
2015-12-18,64
2015-12-19,64
2015-12-20,64
2015-12-21,64
2015-12-22,64
2015-12-23,64
2015-12-24,64
2015-12-25,60
2015-12-26,60
2015-12-27,60
2015-12-28,60
2015-12-29,60
2015-12-30,60
2015-12-31,57
2016-01-01,57
2016-01-02,57
2016-01-03,57
2016-01-04,57
2016-01-05,57
2016-01-06,54
2016-01-07,54
2016-01-08,54
2016-01-09,54
2016-01-10,54
2016-01-11,54
2016-01-12,51
2016-01-13,51
2016-01-14,51
2016-01-15,51
2016-01-16,51
2016-01-17,49
2016-01-18,49
2016-01-19,49
2016-01-20,49
2016-01-21,49
2016-01-22,49
2016-01-23,49
2016-01-24,49
2016-01-25,49
2016-01-26,49
2016-01-27,49
2016-01-28,47
2016-01-29,47
2016-01-30,47
2016-01-31,47
2016-02-01,47
2016-02-02,45
2016-02-03,45
2016-02-04,45
2016-02-05,45
2016-02-06,45
2016-02-07,45
2016-02-08,44
2016-02-09,44
2016-02-10,44
2016-02-11,44
2016-02-12,44
2016-02-13,44
2016-02-14,41
2016-02-15,41
2016-02-16,41
2016-02-17,41
2016-02-18,41
2016-02-19,41
2016-02-20,38
2016-02-21,38
2016-02-22,38
2016-02-23,38
2016-02-24,38
2016-02-25,38
2016-02-26,37
2016-02-27,37
2016-02-28,37
2016-02-29,37
2016-03-01,37
2016-03-02,37
2016-03-03,35
2016-03-04,35
2016-03-05,35
2016-03-06,35
2016-03-07,35
2016-03-08,35
2016-03-09,35
2016-03-10,34
2016-03-11,34
2016-03-12,34
2016-03-13,34
2016-03-14,34
2016-03-15,34
2016-03-16,32
2016-03-17,32
2016-03-18,32
2016-03-19,32
2016-03-20,32
2016-03-21,30
2016-03-22,30
2016-03-23,30
2016-03-24,30
2016-03-25,30
2016-03-26,30
2016-03-27,30
2016-03-28,28
2016-03-29,28
2016-03-30,28
2016-03-31,28
2016-04-01,28
2016-04-02,28
2016-04-03,28
2016-04-04,27
2016-04-05,27
2016-04-06,27
2016-04-07,27
2016-04-08,27
2016-04-09,27
2016-04-10,25
2016-04-11,25
2016-04-12,25
2016-04-13,25
2016-04-14,25
2016-04-15,25
2016-04-16,25
2016-04-17,23
2016-04-18,23
2016-04-19,23
2016-04-20,23
2016-04-21,23
2016-04-22,23
2016-04-23,23
2016-04-24,21
2016-04-25,21
2016-04-26,21
2016-04-27,21
2016-04-28,21
2016-04-29,21
2016-04-30,20
2016-05-01,20
2016-05-02,20
2016-05-03,20
2016-05-04,20
2016-05-05,20
2016-05-06,19
2016-05-07,19
2016-05-08,19
2016-05-09,19
2016-05-10,19
2016-05-11,19
2016-05-12,19
2016-05-13,19
2016-05-14,19
2016-05-15,19
2016-05-16,19
2016-05-17,19
2016-05-18,20
2016-05-19,20
2016-05-22,20
2016-05-23,20
2016-05-24,21
2016-05-25,21
2016-05-26,21
2016-05-27,21
2016-05-28,21
2016-05-29,21
2016-05-30,22
2016-05-31,22
2016-06-01,22
2016-06-02,22
2016-06-03,22
2016-06-04,22
2016-06-05,20
2016-06-06,20
2016-06-07,20
2016-06-08,20
2016-06-09,20
2016-06-10,20
2016-06-11,20
2016-06-12,20
2016-06-13,20
2016-06-14,20
2016-06-15,20
2016-06-16,21
2016-06-17,21
2016-06-18,21
2016-06-19,21
2016-06-20,21
2016-06-21,21
2016-06-22,22
2016-06-23,22
2016-06-24,22
2016-06-25,22
2016-06-26,22
2016-06-27,22
2016-06-28,24
2016-06-29,24
2016-06-30,24
2016-07-01,24
2016-07-02,24
2016-07-03,24
2016-07-04,22
2016-07-05,22
2016-07-06,22
2016-07-07,22
2016-07-08,22
