date_obj,Silver%20ore price
2015-03-26,81
2015-03-27,81
2015-03-28,80
2015-03-29,80
2015-03-30,79
2015-03-31,78
2015-04-01,78
2015-04-02,78
2015-04-03,79
2015-04-04,79
2015-04-05,79
2015-04-06,79
2015-04-07,79
2015-04-08,79
2015-04-09,79
2015-04-10,80
2015-04-11,80
2015-04-12,80
2015-04-13,80
2015-04-14,80
2015-04-15,80
2015-04-16,80
2015-04-17,79
2015-04-18,76
2015-04-19,74
2015-04-20,74
2015-04-21,74
2015-04-22,74
2015-04-23,76
2015-04-24,76
2015-04-25,74
2015-04-26,74
2015-04-27,75
2015-04-28,76
2015-04-29,76
2015-04-30,77
2015-05-01,78
2015-05-02,77
2015-05-03,77
2015-05-04,76
2015-05-05,76
2015-05-06,77
2015-05-07,77
2015-05-08,77
2015-05-09,80
2015-05-10,81
2015-05-11,81
2015-05-12,84
2015-05-13,84
2015-05-14,87
2015-05-15,87
2015-05-16,90
2015-05-17,90
2015-05-18,89
2015-05-19,89
2015-05-20,88
2015-05-21,88
2015-05-22,88
2015-05-23,89
2015-05-24,93
2015-05-25,90
2015-05-26,89
2015-05-27,89
2015-05-28,88
2015-05-29,85
2015-05-30,83
2015-05-31,83
2015-06-01,85
2015-06-02,85
2015-06-03,83
2015-06-04,80
2015-06-05,80
2015-06-06,81
2015-06-07,80
2015-06-08,79
2015-06-09,79
2015-06-10,79
2015-06-11,79
2015-06-12,79
2015-06-13,78
2015-06-14,77
2015-06-15,80
2015-06-16,83
2015-06-17,85
2015-06-18,89
2015-06-19,93
2015-06-20,96
2015-06-21,99
2015-06-22,103
2015-06-23,109
2015-06-24,115
2015-06-25,115
2015-06-26,116
2015-06-27,116
2015-06-28,121
2015-06-29,123
2015-06-30,129
2015-07-01,128
2015-07-02,128
2015-07-03,132
2015-07-04,139
2015-07-05,145
2015-07-06,153
2015-07-07,155
2015-07-08,154
2015-07-09,154
2015-07-10,158
2015-07-11,153
2015-07-12,149
2015-07-13,144
2015-07-14,138
2015-07-15,140
2015-07-16,134
2015-07-17,127
2015-07-18,121
2015-07-19,116
2015-07-20,120
2015-07-21,120
2015-07-22,124
2015-07-23,124
2015-07-24,129
2015-07-25,133
2015-07-26,129
2015-07-27,129
2015-07-28,128
2015-07-29,132
2015-07-30,137
2015-07-31,144
2015-08-01,152
2015-08-02,160
2015-08-03,165
2015-08-04,168
2015-08-05,166
2015-08-06,172
2015-08-07,168
2015-08-08,164
2015-08-09,164
2015-08-10,162
2015-08-11,160
2015-08-12,160
2015-08-13,159
2015-08-14,163
2015-08-15,163
2015-08-16,170
2015-08-17,179
2015-08-18,188
2015-08-19,198
2015-08-20,204
2015-08-21,205
2015-08-22,209
2015-08-23,211
2015-08-24,207
2015-08-25,207
2015-08-26,205
2015-08-27,196
2015-08-28,188
2015-08-29,196
2015-08-30,196
2015-08-31,199
2015-09-01,190
2015-09-02,190
2015-09-03,182
2015-09-04,179
2015-09-05,179
2015-09-06,175
2015-09-07,169
2015-09-08,165
2015-09-09,165
2015-09-10,163
2015-09-11,166
2015-09-12,170
2015-09-13,166
2015-09-14,167
2015-09-15,170
2015-09-16,170
2015-09-17,178
2015-09-18,187
2015-09-19,197
2015-09-20,207
2015-09-21,218
2015-09-22,222
2015-09-23,221
2015-09-24,221
2015-09-25,221
2015-09-27,200
2015-09-28,193
2015-09-29,202
2015-09-30,198
2015-10-05,160
2015-10-06,153
2015-10-07,149
2015-10-08,143
2015-10-09,141
2015-10-10,141
2015-10-11,137
2015-10-12,135
2015-10-13,135
2015-10-14,133
2015-10-15,140
2015-10-16,147
2015-10-17,147
2015-10-18,153
