date_obj,Bucket price
2015-03-26,40
2015-03-27,40
2015-03-28,41
2015-03-29,43
2015-03-30,46
2015-03-31,48
2015-04-01,48
2015-04-02,48
2015-04-03,46
2015-04-04,43
2015-04-05,42
2015-04-06,39
2015-04-07,37
2015-04-08,36
2015-04-09,36
2015-04-10,36
2015-04-11,35
2015-04-12,33
2015-04-13,31
2015-04-14,30
2015-04-15,30
2015-04-16,31
2015-04-17,32
2015-04-18,32
2015-04-19,33
2015-04-20,32
2015-04-21,33
2015-04-22,35
2015-04-23,36
2015-04-24,38
2015-04-25,39
2015-04-26,38
2015-04-27,38
2015-04-28,38
2015-04-29,39
2015-04-30,39
2015-05-01,41
2015-05-02,43
2015-05-03,46
2015-05-04,46
2015-05-05,46
2015-05-06,48
2015-05-07,46
2015-05-08,44
2015-05-09,44
2015-05-10,43
2015-05-11,40
2015-05-12,39
2015-05-13,38
2015-05-14,37
2015-05-15,36
2015-05-16,36
2015-05-17,37
2015-05-18,38
2015-05-19,38
2015-05-20,37
2015-05-21,36
2015-05-22,35
2015-05-23,33
2015-05-24,32
2015-05-25,30
2015-05-26,30
2015-05-27,31
2015-05-28,31
2015-05-29,32
2015-05-30,31
2015-05-31,30
2015-06-01,30
2015-06-02,31
2015-06-03,31
2015-06-04,30
2015-06-05,29
2015-06-06,29
2015-06-07,29
2015-06-08,29
2015-06-09,29
2015-06-10,29
2015-06-11,28
2015-06-12,27
2015-06-13,26
2015-06-14,27
2015-06-15,27
2015-06-16,26
2015-06-17,25
2015-06-18,24
2015-06-19,22
2015-06-20,22
2015-06-21,23
2015-06-22,23
2015-06-23,22
2015-06-24,21
2015-06-25,20
2015-06-26,20
2015-06-27,20
2015-06-28,20
2015-06-29,21
2015-06-30,22
2015-07-01,23
2015-07-02,24
2015-07-03,23
2015-07-04,22
2015-07-05,22
2015-07-06,22
2015-07-07,21
2015-07-08,21
2015-07-09,21
2015-07-10,23
2015-07-11,23
2015-07-12,23
2015-07-13,23
2015-07-14,23
2015-07-15,23
2015-07-16,22
2015-07-17,22
2015-07-18,22
2015-07-19,22
2015-07-20,23
2015-07-21,24
2015-07-22,24
2015-07-23,25
2015-07-24,26
2015-07-25,25
2015-07-26,25
2015-07-27,25
2015-07-28,24
2015-07-29,24
2015-07-30,25
2015-07-31,23
2015-08-01,21
2015-08-02,21
2015-08-03,21
2015-08-04,21
2015-08-05,22
2015-08-06,20
2015-08-07,20
2015-08-08,20
2015-08-09,19
2015-08-10,19
2015-08-11,19
2015-08-12,19
2015-08-13,19
2015-08-14,19
2015-08-15,19
2015-08-16,19
2015-08-17,19
2015-08-18,19
2015-08-19,19
2015-08-20,19
2015-08-21,19
2015-08-22,19
2015-08-23,20
2015-08-24,21
2015-08-25,21
2015-08-26,22
2015-08-27,23
2015-08-28,23
2015-08-29,22
2015-08-30,23
2015-08-31,23
2015-09-01,23
2015-09-02,23
2015-09-03,24
2015-09-04,26
2015-09-05,27
2015-09-06,28
2015-09-07,29
2015-09-08,30
2015-09-09,29
2015-09-10,30
2015-09-11,30
2015-09-12,28
2015-09-13,26
2015-09-14,27
2015-09-15,27
2015-09-16,26
2015-09-17,27
2015-09-18,27
2015-09-19,26
2015-09-20,26
2015-09-21,26
2015-09-22,24
2015-09-23,23
2015-09-24,22
2015-09-25,23
2015-09-27,24
2015-09-28,24
2015-09-29,22
2015-09-30,21
2015-10-05,19
2015-10-06,20
2015-10-07,20
2015-10-08,20
2015-10-09,21
2015-10-10,21
2015-10-11,23
2015-10-12,25
2015-10-13,27
2015-10-14,29
2015-10-15,31
2015-10-16,33
2015-10-17,34
2015-10-18,36
2015-10-19,37
2015-10-20,37
2015-10-22,38
2015-10-23,36
2015-10-24,35
2015-10-25,35
2015-10-26,35
2015-10-27,36
2015-10-29,33
2015-10-30,33
2015-10-31,32
2015-11-01,32
2015-11-02,32
2015-11-03,32
2015-11-04,33
2015-11-05,34
2015-11-06,32
2015-11-07,30
2015-11-08,29
2015-11-09,28
2015-11-10,28
2015-11-11,28
2015-11-12,28
2015-11-13,30
2015-11-14,30
2015-11-15,30
2015-11-16,31
2015-11-17,31
2015-11-18,30
2015-11-19,29
2015-11-20,28
2015-11-21,26
2015-11-22,27
2015-11-23,27
2015-11-24,28
2015-11-25,28
2015-11-26,28
2015-11-27,28
2015-11-28,28
2015-11-29,29
2015-11-30,29
2015-12-01,30
2015-12-02,31
2015-12-03,33
2015-12-04,35
2015-12-05,37
2015-12-06,39
2015-12-07,38
2015-12-08,39
2015-12-09,38
2015-12-10,38
2015-12-11,38
2015-12-12,36
2015-12-13,34
2015-12-14,34
2015-12-15,33
2015-12-16,31
2015-12-17,30
2015-12-18,28
2015-12-19,29
2015-12-20,28
2015-12-21,29
2015-12-22,30
2015-12-23,31
2015-12-24,31
2015-12-25,32
2015-12-26,31
2015-12-27,30
2015-12-28,30
2015-12-29,31
2015-12-30,33
2015-12-31,35
2016-01-01,34
2016-01-02,33
2016-01-03,34
2016-01-04,34
2016-01-05,35
2016-01-06,37
2016-01-07,39
2016-01-08,40
2016-01-09,40
2016-01-10,39
2016-01-11,39
2016-01-12,39
2016-01-13,39
2016-01-14,39
2016-01-15,40
2016-01-16,42
2016-01-17,45
2016-01-18,48
2016-01-19,51
2016-01-20,52
2016-01-21,54
2016-01-22,57
2016-01-23,56
2016-01-24,55
2016-01-25,54
2016-01-26,55
2016-01-27,55
2016-01-28,53
2016-01-29,51
2016-01-30,48
2016-01-31,46
2016-02-01,43
2016-02-02,40
2016-02-03,40
2016-02-04,42
2016-02-05,45
2016-02-06,48
2016-02-07,50
2016-02-08,49
2016-02-09,49
2016-02-10,51
2016-02-11,50
2016-02-12,50
2016-02-13,48
2016-02-14,48
2016-02-15,46
2016-02-16,45
2016-02-17,44
2016-02-18,45
2016-02-19,46
2016-02-20,45
2016-02-21,47
2016-02-22,50
2016-02-23,53
2016-02-24,56
2016-02-25,57
2016-02-26,57
2016-02-27,59
2016-02-28,59
2016-02-29,57
2016-03-01,55
2016-03-02,54
2016-03-03,54
2016-03-04,57
2016-03-05,58
2016-03-06,59
2016-03-07,61
2016-03-08,64
2016-03-09,63
2016-03-10,61
2016-03-11,61
2016-03-12,64
2016-03-13,63
2016-03-14,59
2016-03-15,56
2016-03-16,54
2016-03-17,53
2016-03-18,52
2016-03-19,50
2016-03-20,47
2016-03-21,45
2016-03-22,42
2016-03-23,40
2016-03-24,41
2016-03-25,43
2016-03-26,40
2016-03-27,42
2016-03-28,41
2016-03-29,38
2016-03-30,36
2016-03-31,34
2016-04-01,34
2016-04-02,34
2016-04-03,32
2016-04-04,32
2016-04-05,32
2016-04-06,32
2016-04-07,32
2016-04-08,33
2016-04-09,33
2016-04-10,34
2016-04-11,35
2016-04-12,34
2016-04-13,34
2016-04-14,33
2016-04-15,32
2016-04-16,31
2016-04-17,30
