date_obj,Ring%20mould price
2015-03-26,505
2015-03-27,505
2015-03-28,482
2015-03-29,482
2015-03-30,484
2015-03-31,484
2015-04-01,459
2015-04-02,459
2015-04-03,436
2015-04-04,414
2015-04-05,414
2015-04-06,401
2015-04-07,401
2015-04-08,397
2015-04-09,397
2015-04-10,389
2015-04-11,389
2015-04-12,381
2015-04-13,381
2015-04-14,377
2015-04-15,377
2015-04-16,368
2015-04-17,368
2015-04-18,349
2015-04-19,349
2015-04-20,331
2015-04-21,331
2015-04-22,314
2015-04-23,314
2015-04-24,309
2015-04-25,309
2015-04-26,313
2015-04-27,313
2015-04-28,324
2015-04-29,324
2015-04-30,334
2015-05-01,334
2015-05-02,341
2015-05-03,341
2015-05-04,339
2015-05-05,339
2015-05-06,340
2015-05-07,340
2015-05-08,340
2015-05-09,340
2015-05-10,349
2015-05-11,349
2015-05-12,345
2015-05-13,345
2015-05-14,341
2015-05-15,341
2015-05-16,341
2015-05-17,332
2015-05-18,332
2015-05-19,327
2015-05-20,327
2015-05-21,327
2015-05-22,319
2015-05-23,319
2015-05-24,318
2015-05-25,305
2015-05-26,305
2015-05-27,304
2015-05-28,289
2015-05-29,289
2015-05-30,286
2015-05-31,286
2015-06-01,284
2015-06-02,284
2015-06-03,290
2015-06-04,290
2015-06-05,293
2015-06-06,295
2015-06-07,295
2015-06-08,303
2015-06-09,307
2015-06-10,313
2015-06-11,313
2015-06-12,313
2015-06-13,312
2015-06-14,312
2015-06-15,313
2015-06-16,298
2015-06-17,298
2015-06-18,283
2015-06-19,283
2015-06-20,272
2015-06-21,272
2015-06-22,275
2015-06-23,275
2015-06-24,265
2015-06-25,265
2015-06-26,269
2015-06-27,269
2015-06-28,271
2015-06-29,271
2015-06-30,280
2015-07-01,289
2015-07-02,289
2015-07-03,299
2015-07-04,310
2015-07-05,310
2015-07-06,317
2015-07-07,324
2015-07-08,329
2015-07-09,329
2015-07-10,331
2015-07-11,331
2015-07-12,328
2015-07-13,330
2015-07-14,324
2015-07-15,333
2015-07-16,333
2015-07-17,321
2015-07-18,321
2015-07-19,306
2015-07-20,304
2015-07-21,304
2015-07-22,301
2015-07-23,301
2015-07-24,285
2015-07-25,285
2015-07-26,270
2015-07-27,256
2015-07-28,243
2015-07-29,230
2015-07-30,230
2015-07-31,218
2015-08-01,218
2015-08-02,207
2015-08-03,207
2015-08-04,196
2015-08-05,186
2015-08-06,186
2015-08-07,176
2015-08-08,180
2015-08-09,183
2015-08-10,191
2015-08-11,188
2015-08-12,188
2015-08-13,188
2015-08-14,186
2015-08-15,186
