date_obj,Damaged%20monkey%20tail price
2016-05-26,541
2016-05-27,541
2016-05-28,541
2016-05-29,514
2016-05-30,514
2016-05-31,514
2016-06-01,514
2016-06-02,514
2016-06-03,514
2016-06-04,489
2016-06-05,489
2016-06-06,489
2016-06-07,489
2016-06-08,489
2016-06-09,489
2016-06-10,469
2016-06-11,469
2016-06-12,469
2016-06-13,469
2016-06-14,469
2016-06-15,469
2016-06-16,469
2016-06-17,469
2016-06-18,448
2016-06-19,448
2016-06-20,448
2016-06-21,448
2016-06-22,448
2016-06-23,448
2016-06-24,448
2016-06-25,448
2016-06-26,448
2016-06-27,448
2016-06-28,425
2016-06-29,425
2016-06-30,425
2016-07-01,425
2016-07-02,425
2016-07-03,425
2016-07-04,425
2016-07-05,425
2016-07-06,425
2016-07-07,425
2016-07-08,425
2016-07-09,425
2016-07-10,404
2016-07-11,404
2016-07-12,404
2016-07-13,404
2016-07-14,404
2016-07-15,404
2016-07-16,404
2016-07-17,404
2016-07-18,404
2016-07-23,404
2016-07-24,404
2016-07-25,385
2016-07-26,385
2016-07-27,385
2016-07-28,385
2016-07-29,385
2016-07-30,385
2016-07-31,385
2016-08-01,385
2016-08-02,385
2016-08-03,385
2016-08-04,385
2016-08-05,385
2016-08-06,385
2016-08-07,385
2016-08-08,385
2016-08-09,385
2016-08-10,385
2016-08-11,385
2016-08-12,385
2016-08-13,385
2016-08-14,385
2016-08-15,366
2016-08-16,366
2016-08-17,366
2016-08-18,366
2016-08-19,366
2016-08-20,366
2016-08-21,366
2016-08-22,366
2016-08-23,366
2016-08-24,366
2016-08-25,366
2016-08-26,366
2016-08-28,366
2016-08-31,366
2016-09-01,366
2016-09-02,366
2016-09-03,366
2016-09-04,366
2016-09-05,366
2016-09-06,366
2016-09-07,348
2016-09-08,348
2016-09-09,348
2016-09-10,348
2016-09-11,348
2016-09-12,348
2016-09-13,348
2016-09-14,348
2016-09-15,348
2016-09-16,348
2016-09-17,348
2016-09-18,348
2016-09-19,348
2016-09-20,348
2016-09-21,348
2016-09-22,348
2016-09-23,348
2016-09-24,348
2016-09-25,348
2016-09-26,348
2016-09-27,348
2016-09-28,348
2016-09-29,348
2016-09-30,348
2016-10-01,348
2016-10-02,348
2016-10-03,348
2016-10-04,348
2016-10-05,348
2016-10-06,336
2016-10-07,336
2016-10-08,336
2016-10-09,336
2016-10-10,336
2016-10-11,336
2016-10-12,336
2016-10-13,336
2016-10-14,336
2016-10-15,336
2016-10-16,336
2016-10-17,336
2016-10-18,336
2016-10-19,336
2016-10-20,336
2016-10-21,336
2016-10-22,336
2016-10-23,336
2016-10-24,321
2016-10-25,321
2016-10-26,321
2016-10-27,321
2016-10-28,321
2016-10-29,321
2016-10-30,321
2016-10-31,321
2016-11-01,321
2016-11-02,321
2016-11-03,321
2016-11-04,321
2016-11-05,321
2016-11-06,321
2016-11-07,321
2016-11-08,321
2016-11-09,321
2016-11-10,321
2016-11-11,321
2016-11-12,308
2016-11-13,308
2016-11-14,308
2016-11-15,308
2016-12-07,306
2016-12-08,306
2016-12-09,306
2016-12-10,306
2016-12-11,292
2016-12-12,292
2016-12-13,292
2016-12-14,292
2016-12-15,292
2016-12-16,292
2016-12-17,292
2016-12-18,292
2016-12-19,292
2016-12-20,292
2016-12-21,292
2016-12-22,292
2016-12-23,292
2016-12-24,292
2016-12-25,286
2016-12-26,286
2016-12-27,286
2016-12-28,286
2016-12-29,286
2016-12-30,286
2016-12-31,286
2017-01-01,286
2017-01-02,286
2017-01-03,286
2017-01-04,272
2017-01-05,272
2017-01-06,272
2017-01-07,272
2017-01-08,272
2017-01-09,272
2017-01-10,272
2017-01-11,272
2017-01-12,272
2017-01-13,272
2017-01-14,272
2017-01-15,272
2017-01-16,272
2017-01-17,272
2017-01-18,272
2017-01-19,259
2017-01-20,259
2017-01-21,259
2017-01-22,259
2017-01-23,259
2017-01-27,259
2017-01-28,259
2017-01-29,259
2017-01-30,259
2017-01-31,259
2017-02-01,259
2017-02-02,259
2017-02-03,259
2017-02-04,259
