date_obj,Broad%20bolts price
2015-03-26,60
2015-03-27,59
2015-03-28,58
2015-03-29,57
2015-03-30,57
2015-03-31,56
2015-04-01,56
2015-04-02,56
2015-04-03,57
2015-04-04,56
2015-04-05,56
2015-04-06,56
2015-04-07,58
2015-04-08,58
2015-04-09,59
2015-04-10,60
2015-04-11,59
2015-04-12,58
2015-04-13,57
2015-04-14,57
2015-04-15,57
2015-04-16,57
2015-04-17,57
2015-04-18,56
2015-04-19,56
2015-04-20,56
2015-04-21,56
2015-04-22,56
2015-04-23,58
2015-04-24,60
2015-04-25,60
2015-04-26,62
2015-04-27,63
2015-04-28,65
2015-04-29,65
2015-04-30,63
2015-05-01,62
2015-05-02,61
2015-05-03,60
2015-05-04,60
2015-05-05,62
2015-05-06,63
2015-05-07,65
2015-05-08,65
2015-05-09,63
2015-05-10,63
2015-05-11,64
2015-05-12,63
2015-05-13,62
2015-05-14,61
2015-05-15,60
2015-05-16,60
2015-05-17,60
2015-05-18,62
2015-05-19,64
2015-05-20,65
2015-05-21,66
2015-05-22,65
2015-05-23,63
2015-05-24,63
2015-05-25,62
2015-05-26,62
2015-05-27,62
2015-05-28,62
2015-05-29,63
2015-05-30,63
2015-05-31,65
2015-06-01,62
2015-06-02,61
2015-06-03,60
2015-06-04,59
2015-06-05,60
2015-06-06,62
2015-06-07,64
2015-06-08,64
2015-06-09,64
2015-06-10,62
2015-06-11,60
2015-06-12,60
2015-06-13,60
2015-06-14,59
2015-06-15,58
2015-06-16,59
2015-06-17,60
2015-06-18,61
2015-06-19,64
2015-06-20,62
2015-06-21,61
2015-06-22,60
2015-06-23,60
2015-06-24,61
2015-06-25,62
2015-06-26,62
2015-06-27,64
2015-06-28,64
2015-06-29,65
2015-06-30,65
2015-07-01,64
2015-07-02,66
2015-07-03,67
2015-07-04,65
2015-07-05,63
2015-07-06,64
2015-07-07,61
2015-07-08,62
2015-07-09,63
2015-07-10,64
2015-07-11,64
2015-07-12,64
2015-07-13,63
2015-07-14,62
2015-07-15,64
2015-07-16,63
2015-07-17,63
2015-07-18,63
2015-07-19,62
2015-07-20,62
2015-07-21,64
2015-07-22,62
2015-07-23,62
2015-07-24,62
2015-07-25,61
2015-07-26,61
2015-07-27,61
2015-07-28,60
2015-07-29,61
2015-07-30,61
2015-07-31,60
2015-08-01,61
2015-08-02,61
2015-08-03,61
2015-08-04,62
2015-08-05,62
2015-08-06,63
2015-08-07,64
2015-08-08,65
2015-08-09,64
2015-08-10,64
2015-08-11,63
2015-08-12,63
2015-08-13,64
2015-08-14,63
2015-08-15,62
2015-08-16,61
2015-08-17,62
2015-08-18,62
2015-08-19,63
2015-08-20,64
2015-08-21,63
2015-08-22,61
2015-08-23,60
2015-08-24,61
2015-08-25,63
2015-08-26,62
2015-08-27,62
2015-08-28,62
2015-08-29,62
2015-08-30,62
2015-08-31,62
2015-09-01,61
2015-09-02,62
2015-09-03,62
2015-09-04,62
2015-09-05,63
2015-09-06,63
2015-09-07,63
2015-09-08,63
