date_obj,Silver%20sickle price
2015-03-26,3675
2015-03-27,3675
2015-03-28,3491
2015-03-29,3316
2015-03-30,3150
2015-03-31,2992
2015-04-01,2842
2015-04-02,2699
2015-04-03,2564
2015-04-04,2435
2015-04-05,2313
2015-04-06,2197
2015-04-07,2087
2015-04-08,1982
2015-04-09,1882
2015-04-10,1787
2015-04-11,1697
2015-04-12,1612
2015-04-13,1531
2015-04-14,1456
2015-04-15,1383
2015-04-16,1313
2015-04-17,1247
2015-04-18,1184
2015-04-19,1124
2015-04-20,1124
2015-04-21,1067
2015-04-22,1013
2015-04-23,962
2015-04-24,913
2015-04-25,867
2015-04-26,823
2015-04-27,781
2015-04-28,741
2015-04-29,741
2015-04-30,703
2015-05-01,667
2015-05-02,633
2015-05-03,601
2015-05-04,570
2015-05-05,541
2015-05-06,513
2015-05-07,487
2015-05-08,462
2015-05-09,438
2015-05-10,416
2015-05-11,416
2015-05-12,395
2015-05-13,375
2015-05-14,356
2015-05-15,338
2015-05-16,321
2015-05-17,304
2015-05-18,288
2015-05-19,273
2015-05-20,273
2015-05-21,259
2015-05-22,246
2015-05-23,233
2015-05-24,221
2015-05-25,209
2015-05-26,198
2015-05-27,188
2015-05-28,178
2015-05-29,172
2015-05-30,163
2015-05-31,157
2015-06-01,149
2015-06-02,141
2015-06-03,138
2015-06-04,133
2015-06-05,126
2015-06-06,119
2015-06-07,113
2015-06-08,107
2015-06-09,101
2015-06-10,95
2015-06-11,90
2015-06-12,85
2015-06-13,80
2015-06-14,76
2015-06-15,72
2015-06-16,68
2015-06-17,64
2015-06-18,60
2015-06-19,57
2015-06-20,54
2015-06-21,51
2015-06-22,48
2015-06-23,45
2015-06-24,42
2015-06-25,42
2015-06-26,42
2015-06-27,44
2015-06-28,43
2015-06-29,42
2015-06-30,40
2015-07-01,40
2015-07-02,40
2015-07-03,41
2015-07-04,41
2015-07-05,40
2015-07-06,41
2015-07-07,42
2015-07-08,45
2015-07-09,45
2015-07-10,46
2015-07-11,45
2015-07-12,46
2015-07-13,44
2015-07-14,41
2015-07-15,39
2015-07-16,41
2015-07-17,43
2015-07-18,45
2015-07-19,44
2015-07-20,41
2015-07-21,38
2015-07-22,36
2015-07-23,36
2015-07-24,34
2015-07-25,32
2015-07-26,30
2015-07-27,29
2015-07-28,27
2015-07-29,27
2015-07-30,27
2015-07-31,28
2015-08-01,28
2015-08-02,28
2015-08-03,26
2015-08-04,25
2015-08-05,25
2015-08-06,26
2015-08-07,25
2015-08-08,27
2015-08-09,28
2015-08-10,29
2015-08-11,31
2015-08-12,31
2015-08-13,33
2015-08-14,31
2015-08-15,30
2015-08-16,32
2015-08-17,31
2015-08-18,31
2015-08-19,31
2015-08-20,30
2015-08-21,30
2015-08-22,31
2015-08-23,31
2015-08-24,31
2015-08-25,31
2015-08-26,29
2015-08-27,29
2015-08-28,28
2015-08-29,27
2015-08-30,27
2015-08-31,27
2015-09-01,27
2015-09-02,27
2015-09-03,28
2015-09-04,28
2015-09-05,28
2015-09-06,29
