date_obj,Orange%20flowers price
2015-03-04,3776
2015-03-05,3776
2015-03-06,3776
2015-03-07,3776
2015-03-08,3597
2015-03-09,3597
2015-03-10,3597
2015-03-11,3597
2015-03-12,3597
2015-03-13,3425
2015-03-14,3425
2015-03-15,3425
2015-03-16,3425
2015-03-17,3268
2015-03-18,3268
2015-03-19,3268
2015-03-20,3268
2015-03-21,3268
2015-03-22,3111
2015-03-23,3111
2015-03-24,3111
2015-03-25,3111
2015-03-26,3111
2015-03-27,2963
2015-03-28,2963
2015-03-29,2963
2015-03-30,2963
2015-03-31,2822
2015-04-01,2822
2015-04-02,2822
2015-04-03,2822
2015-04-04,2822
2015-04-05,2685
2015-04-06,2685
2015-04-07,2685
2015-04-08,2685
2015-04-09,2685
2015-04-10,2555
2015-04-11,2555
2015-04-12,2555
2015-04-13,2555
2015-04-14,2555
2015-04-15,2433
2015-04-16,2433
2015-04-17,2433
2015-04-18,2433
2015-04-19,2433
2015-04-20,2314
2015-04-21,2314
2015-04-22,2314
2015-04-23,2314
2015-04-24,2314
2015-04-25,2314
2015-04-26,2203
2015-04-27,2203
2015-04-28,2203
2015-04-29,2203
2015-04-30,2203
2015-05-01,2096
2015-05-02,2096
2015-05-03,2096
2015-05-04,2096
2015-05-05,2096
2015-05-06,2096
2015-05-07,1995
2015-05-08,1995
2015-05-09,1995
2015-05-10,1995
2015-05-11,1995
2015-05-12,1995
2015-05-13,1995
2015-05-14,1899
2015-05-15,1899
2015-05-16,1899
2015-05-17,1899
2015-05-18,1899
2015-05-19,1899
2015-05-20,1899
2015-05-21,1899
2015-05-22,1808
2015-05-23,1808
2015-05-24,1808
2015-05-25,1808
2015-05-26,1808
2015-05-27,1808
2015-05-28,1720
2015-05-29,1720
2015-05-30,1720
2015-05-31,1720
2015-06-01,1720
2015-06-02,1640
2015-06-03,1640
2015-06-04,1640
2015-06-05,1640
2015-06-06,1640
2015-06-07,1640
2015-06-08,1564
2015-06-09,1564
2015-06-10,1564
2015-06-11,1564
2015-06-12,1564
2015-06-13,1564
2015-06-14,1490
2015-06-15,1490
2015-06-16,1490
2015-06-17,1490
2015-06-18,1490
2015-06-19,1490
2015-06-20,1419
2015-06-21,1419
2015-06-22,1419
2015-06-23,1419
2015-06-24,1419
2015-06-25,1419
2015-06-26,1352
2015-06-27,1352
2015-06-28,1352
2015-06-29,1352
2015-06-30,1352
2015-07-01,1352
2015-07-02,1352
2015-07-03,1287
2015-07-04,1287
2015-07-05,1287
2015-07-06,1287
2015-07-07,1287
2015-07-08,1287
2015-07-09,1287
2015-07-10,1225
2015-07-11,1225
2015-07-12,1225
2015-07-13,1225
2015-07-14,1225
2015-07-15,1225
2015-07-16,1167
2015-07-17,1167
2015-07-18,1167
2015-07-19,1167
2015-07-20,1167
2015-07-21,1167
2015-07-22,1113
2015-07-23,1113
2015-07-24,1113
2015-07-25,1113
2015-07-26,1113
2015-07-27,1113
2015-07-28,1060
2015-07-29,1060
2015-07-30,1060
2015-07-31,1060
2015-08-01,1060
2015-08-02,1011
2015-08-03,1011
2015-08-04,1011
2015-08-05,1011
2015-08-06,1011
2015-08-07,1011
2015-08-08,965
2015-08-09,965
2015-08-10,965
2015-08-11,965
2015-08-12,965
2015-08-13,965
2015-08-14,965
2015-08-15,965
2015-08-16,965
2015-08-17,920
2015-08-18,920
2015-08-19,920
2015-08-20,920
2015-08-21,920
2015-08-22,920
2015-08-23,920
2015-08-24,920
2015-08-25,920
2015-08-26,877
2015-08-27,877
2015-08-28,877
2015-08-29,877
2015-08-30,877
2015-08-31,877
2015-09-02,877
2015-09-07,835
2015-09-08,835
2015-09-10,835
2015-09-14,795
2015-09-16,795
2015-09-22,795
2015-09-23,795
2015-09-24,795
2015-09-25,757
2015-09-27,757
2015-09-28,757
2015-09-29,757
2015-09-30,757
2015-10-05,757
2015-10-06,757
2015-10-07,757
2015-10-08,722
2015-10-09,722
2015-10-10,722
2015-10-11,722
2015-10-12,722
2015-10-13,722
2015-10-14,722
2015-10-15,722
2015-10-16,722
2015-10-17,722
2015-10-18,722
2015-10-19,722
2015-10-20,722
2015-10-22,688
2015-10-23,688
2015-10-24,688
2015-10-25,688
2015-10-26,688
2015-10-27,688
2015-10-29,688
2015-10-30,688
2015-10-31,688
2015-11-01,688
2015-11-02,688
2015-11-03,655
2015-11-04,655
2015-11-05,655
2015-11-06,655
2015-11-07,655
2015-11-08,655
2015-11-09,655
2015-11-10,655
2015-11-11,655
2015-11-12,655
2015-11-13,655
2015-11-14,655
2015-11-15,655
2015-11-16,655
2015-11-17,625
2015-11-18,625
2015-11-19,625
2015-11-20,625
2015-11-21,625
2015-11-22,625
2015-11-23,625
2015-11-24,625
2015-11-25,625
2015-11-26,625
2015-11-27,625
2015-11-28,625
2015-11-29,625
2015-11-30,596
2015-12-01,596
2015-12-02,596
2015-12-03,596
2015-12-04,596
2015-12-05,596
2015-12-06,596
2015-12-07,596
2015-12-08,596
2015-12-09,596
2015-12-10,596
2015-12-11,596
2015-12-12,568
2015-12-13,568
2015-12-14,568
