date_obj,Chaos%20rune price
2015-03-26,98
2015-03-27,97
2015-03-28,96
2015-03-29,94
2015-03-30,94
2015-03-31,96
2015-04-01,98
2015-04-02,99
2015-04-03,99
2015-04-04,100
2015-04-05,101
2015-04-06,102
2015-04-07,102
2015-04-08,102
2015-04-09,101
2015-04-10,100
2015-04-11,101
2015-04-12,100
2015-04-13,99
2015-04-14,98
2015-04-15,99
2015-04-16,100
2015-04-17,101
2015-04-18,101
2015-04-19,101
2015-04-20,101
2015-04-21,100
2015-04-22,99
2015-04-23,100
2015-04-24,102
2015-04-25,102
2015-04-26,100
2015-04-27,101
2015-04-28,101
2015-04-29,101
2015-04-30,102
2015-05-01,101
2015-05-02,100
2015-05-03,98
2015-05-04,100
2015-05-05,101
2015-05-06,102
2015-05-07,101
2015-05-08,101
2015-05-09,100
2015-05-10,100
2015-05-11,100
2015-05-12,100
2015-05-13,100
2015-05-14,100
2015-05-15,100
2015-05-16,100
2015-05-17,100
2015-05-18,100
2015-05-19,100
2015-05-20,100
2015-05-21,100
2015-05-22,101
2015-05-23,102
2015-05-24,100
2015-05-25,99
2015-05-26,100
2015-05-27,100
2015-05-28,101
2015-05-29,101
2015-05-30,100
2015-05-31,100
2015-06-01,100
2015-06-02,100
2015-06-03,100
2015-06-04,101
2015-06-05,103
2015-06-06,103
2015-06-07,102
2015-06-08,102
2015-06-09,102
2015-06-10,102
2015-06-11,103
2015-06-12,103
2015-06-13,103
2015-06-14,103
2015-06-15,103
2015-06-16,103
2015-06-17,103
2015-06-18,103
2015-06-19,103
2015-06-20,102
2015-06-21,102
2015-06-22,102
2015-06-23,101
2015-06-24,100
2015-06-25,99
2015-06-26,99
2015-06-27,100
2015-06-28,102
2015-06-29,103
2015-06-30,102
2015-07-01,102
2015-07-02,102
2015-07-03,102
2015-07-04,102
2015-07-05,102
2015-07-06,102
2015-07-07,102
2015-07-08,101
2015-07-09,101
2015-07-10,102
2015-07-11,102
2015-07-12,103
2015-07-13,103
2015-07-14,102
2015-07-15,102
2015-07-16,101
2015-07-17,102
2015-07-18,101
2015-07-19,101
2015-07-20,102
2015-07-21,102
2015-07-22,102
2015-07-23,102
2015-07-24,102
2015-07-25,102
2015-07-26,102
2015-07-27,102
2015-07-28,102
2015-07-29,103
2015-07-30,103
2015-07-31,103
2015-08-01,103
2015-08-02,103
2015-08-03,103
2015-08-04,103
2015-08-05,103
2015-08-06,102
2015-08-07,102
2015-08-08,102
2015-08-09,101
2015-08-10,102
2015-08-11,104
2015-08-12,104
2015-08-13,103
2015-08-14,102
2015-08-15,100
2015-08-16,98
2015-08-17,99
2015-08-18,100
2015-08-19,102
2015-08-20,102
2015-08-21,102
2015-08-22,101
2015-08-23,103
2015-08-24,103
2015-08-25,104
2015-08-26,103
2015-08-27,102
2015-08-28,102
2015-08-29,103
2015-08-30,102
2015-08-31,102
2015-09-01,102
2015-09-02,102
2015-09-03,102
2015-09-04,102
2015-09-05,100
2015-09-06,99
2015-09-07,100
2015-09-08,100
2015-09-09,101
2015-09-10,97
2015-09-11,96
2015-09-12,96
2015-09-13,96
2015-09-14,96
2015-09-15,96
2015-09-16,97
2015-09-17,97
2015-09-18,97
2015-09-19,95
2015-09-20,94
2015-09-21,94
2015-09-22,94
2015-09-23,95
2015-09-24,95
2015-09-25,92
2015-09-27,90
2015-09-28,90
2015-09-29,91
2015-09-30,91
2015-10-05,100
2015-10-06,100
2015-10-07,99
2015-10-08,99
2015-10-09,98
2015-10-10,97
2015-10-11,95
2015-10-12,93
2015-10-13,92
2015-10-14,93
2015-10-15,93
2015-10-16,94
2015-10-17,94
2015-10-18,95
2015-10-19,95
2015-10-20,96
2015-10-22,97
2015-10-23,97
2015-10-24,98
2015-10-25,100
2015-10-26,100
2015-10-27,99
2015-10-29,96
2015-10-30,96
2015-10-31,96
2015-11-01,97
2015-11-02,96
2015-11-03,97
2015-11-04,98
2015-11-05,100
2015-11-06,100
2015-11-07,102
2015-11-08,102
2015-11-09,101
2015-11-10,101
2015-11-11,101
2015-11-12,101
2015-11-13,101
2015-11-14,101
2015-11-15,100
2015-11-16,100
2015-11-17,101
2015-11-18,101
2015-11-19,101
2015-11-20,101
2015-11-21,102
2015-11-22,101
2015-11-23,102
2015-11-24,102
2015-11-25,102
2015-11-26,103
2015-11-27,102
2015-11-28,102
2015-11-29,102
2015-11-30,103
2015-12-01,103
2015-12-02,104
2015-12-03,104
2015-12-04,104
2015-12-05,104
