date_obj,Oyster%20pearl price
2015-03-26,164
2015-03-27,164
2015-03-28,156
2015-03-29,156
2015-03-30,149
2015-03-31,149
2015-04-01,149
2015-04-02,142
2015-04-03,142
2015-04-04,135
2015-04-05,135
2015-04-06,135
2015-04-07,129
2015-04-08,129
2015-04-09,129
2015-04-10,123
2015-04-11,123
2015-04-12,123
2015-04-13,117
2015-04-14,117
2015-04-15,117
2015-04-16,120
2015-04-17,120
2015-04-18,120
2015-04-19,120
2015-04-20,120
2015-04-21,120
2015-04-22,120
2015-04-23,115
2015-04-24,115
2015-04-25,115
2015-04-26,115
2015-04-27,110
2015-04-28,110
2015-04-29,110
2015-04-30,110
2015-05-01,105
2015-05-02,105
2015-05-03,105
2015-05-04,105
2015-05-05,101
2015-05-06,101
2015-05-07,101
2015-05-08,101
2015-05-09,96
2015-05-10,96
2015-05-11,96
2015-05-12,96
2015-05-13,92
2015-05-14,92
2015-05-15,92
2015-05-16,92
2015-05-17,88
2015-05-18,88
2015-05-19,88
2015-05-20,88
2015-05-21,85
2015-05-22,85
2015-05-23,85
2015-05-24,85
2015-05-25,80
2015-05-26,80
2015-05-27,80
2015-05-28,76
2015-05-29,76
2015-05-30,77
2015-05-31,77
2015-06-01,77
2015-06-02,74
2015-06-03,74
2015-06-04,74
2015-06-05,73
2015-06-06,73
2015-06-07,73
2015-06-08,71
2015-06-09,71
2015-06-10,71
2015-06-11,74
2015-06-12,74
2015-06-13,74
2015-06-14,74
2015-06-15,78
2015-06-16,78
2015-06-17,78
2015-06-18,76
2015-06-19,76
2015-06-20,76
2015-06-21,72
2015-06-22,72
2015-06-23,72
2015-06-24,71
2015-06-25,71
2015-06-26,71
2015-06-27,71
2015-06-28,68
2015-06-29,68
2015-06-30,68
2015-07-01,65
2015-07-02,65
2015-07-03,65
2015-07-04,66
2015-07-05,66
2015-07-06,66
2015-07-07,66
2015-07-08,63
2015-07-09,63
2015-07-10,63
2015-07-11,63
2015-07-12,65
2015-07-13,65
2015-07-14,65
2015-07-15,68
2015-07-16,68
2015-07-17,68
2015-07-18,68
2015-07-19,67
2015-07-20,67
2015-07-21,67
2015-07-22,70
2015-07-23,70
2015-07-24,70
2015-07-25,70
2015-07-26,74
2015-07-27,74
2015-07-28,74
2015-07-29,78
2015-07-30,78
2015-07-31,78
2015-08-01,78
2015-08-02,77
2015-08-03,77
2015-08-04,77
2015-08-05,75
2015-08-06,75
2015-08-07,75
2015-08-08,74
2015-08-09,74
2015-08-10,74
2015-08-11,72
2015-08-12,72
2015-08-13,72
2015-08-14,72
2015-08-15,72
2015-08-16,72
2015-08-17,72
2015-08-18,74
2015-08-19,74
2015-08-20,74
2015-08-21,78
2015-08-22,78
2015-08-23,78
2015-08-24,78
2015-08-25,78
2015-08-26,78
2015-08-27,78
2015-08-28,75
2015-08-29,75
2015-08-30,75
2015-08-31,75
2015-09-01,74
2015-09-02,74
2015-09-03,74
2015-09-04,74
2015-09-05,71
2015-09-06,71
2015-09-07,71
2015-09-08,68
2015-09-09,68
2015-09-10,68
2015-09-11,68
2015-09-12,72
2015-09-13,72
2015-09-14,72
2015-09-15,73
2015-09-16,73
2015-09-17,73
2015-09-18,70
2015-09-19,70
2015-09-20,70
2015-09-21,67
2015-09-22,67
2015-09-23,64
2015-09-24,64
2015-09-25,64
2015-09-27,64
2015-09-28,63
2015-09-29,63
2015-09-30,63
2015-10-05,58
2015-10-06,58
2015-10-07,58
2015-10-08,58
2015-10-09,56
2015-10-10,56
2015-10-11,56
2015-10-12,54
2015-10-13,54
2015-10-14,54
