date_obj,Dwellberries price
2015-03-26,2924
2015-03-27,2924
2015-03-28,2777
2015-03-29,2777
2015-03-30,2638
2015-03-31,2638
2015-04-01,2506
2015-04-02,2506
2015-04-03,2380
2015-04-04,2261
2015-04-05,2261
2015-04-06,2147
2015-04-07,2147
2015-04-08,2039
2015-04-09,2039
2015-04-10,1937
2015-04-11,1937
2015-04-12,1840
2015-04-13,1840
2015-04-14,1748
2015-04-15,1748
2015-04-16,1660
2015-04-17,1660
2015-04-18,1577
2015-04-19,1577
2015-04-20,1498
2015-04-21,1498
2015-04-22,1423
2015-04-23,1423
2015-04-24,1351
2015-04-25,1351
2015-04-26,1283
2015-04-27,1283
2015-04-28,1218
2015-04-29,1218
2015-04-30,1159
2015-05-01,1159
2015-05-02,1101
2015-05-03,1101
2015-05-04,1047
2015-05-05,1047
2015-05-06,994
2015-05-07,994
2015-05-08,944
2015-05-09,944
2015-05-10,896
2015-05-11,896
2015-05-12,851
2015-05-13,851
2015-05-14,808
2015-05-15,808
2015-05-16,808
2015-05-17,771
2015-05-18,771
2015-05-19,733
2015-05-20,733
2015-05-21,733
2015-05-22,696
2015-05-23,696
2015-05-24,661
2015-05-25,661
2015-05-26,640
2015-05-27,640
2015-05-28,623
2015-05-29,623
2015-05-30,604
2015-05-31,604
2015-06-01,580
2015-06-02,580
2015-06-03,580
2015-06-04,560
2015-06-05,560
2015-06-06,532
2015-06-07,532
2015-06-08,506
2015-06-09,506
2015-06-10,482
2015-06-11,482
2015-06-12,482
2015-06-13,488
2015-06-14,488
2015-06-15,474
2015-06-16,474
2015-06-17,450
2015-06-18,450
2015-06-19,427
2015-06-20,427
2015-06-21,405
2015-06-22,405
2015-06-23,384
2015-06-24,384
2015-06-25,365
2015-06-26,365
2015-06-27,346
2015-06-28,346
2015-06-29,328
2015-06-30,328
2015-07-01,311
2015-07-02,311
2015-07-03,295
2015-07-04,295
2015-07-05,280
2015-07-06,280
2015-07-07,266
2015-07-08,266
2015-07-09,252
2015-07-10,252
2015-07-11,239
2015-07-12,239
2015-07-13,227
2015-07-14,227
2015-07-15,215
2015-07-16,215
2015-07-17,204
2015-07-18,204
2015-07-19,193
2015-07-20,193
2015-07-21,183
2015-07-22,173
2015-07-23,173
2015-07-24,164
2015-07-25,164
2015-07-26,164
2015-07-27,155
2015-07-28,155
2015-07-29,147
2015-07-30,147
2015-07-31,147
2015-08-01,139
2015-08-02,139
2015-08-03,132
2015-08-04,132
2015-08-05,125
2015-08-06,125
2015-08-07,125
2015-08-08,118
2015-08-09,118
2015-08-10,112
2015-08-11,112
2015-08-12,112
2015-08-13,112
2015-08-14,106
2015-08-15,106
2015-08-16,106
2015-08-17,100
2015-08-18,100
2015-08-19,100
2015-08-20,100
2015-08-21,97
2015-08-22,97
2015-08-23,97
2015-08-24,97
2015-08-25,97
2015-08-26,97
2015-08-27,100
2015-08-28,100
2015-08-29,100
2015-08-30,100
2015-08-31,105
2015-09-01,105
2015-09-02,105
2015-09-03,105
2015-09-04,105
2015-09-05,105
2015-09-06,105
2015-09-07,105
2015-09-08,109
2015-09-09,109
2015-09-10,109
2015-09-11,109
2015-09-12,109
2015-09-13,109
2015-09-14,109
2015-09-15,112
2015-09-16,112
2015-09-17,112
2015-09-18,112
2015-09-19,113
2015-09-20,113
2015-09-21,113
2015-09-22,113
2015-09-23,119
2015-09-24,119
2015-09-25,119
2015-09-27,119
2015-09-28,125
2015-09-29,125
2015-09-30,125
2015-10-05,128
2015-10-06,134
2015-10-07,134
2015-10-08,134
2015-10-09,134
2015-10-10,139
2015-10-11,139
2015-10-12,139
2015-10-13,146
2015-10-14,146
2015-10-15,146
2015-10-16,146
2015-10-17,154
2015-10-18,154
2015-10-19,154
2015-10-20,161
2015-10-22,161
2015-10-23,161
2015-10-24,170
2015-10-25,170
2015-10-26,170
2015-10-27,179
2015-10-29,179
2015-10-30,179
2015-10-31,188
2015-11-01,188
2015-11-02,188
2015-11-03,188
2015-11-04,197
2015-11-05,197
2015-11-06,197
2015-11-07,207
2015-11-08,207
2015-11-09,207
