date_obj,Maple%20longbow%20(u) price
2015-03-04,57
2015-03-05,58
2015-03-06,59
2015-03-07,59
2015-03-08,58
2015-03-09,58
2015-03-10,58
2015-03-11,58
2015-03-12,59
2015-03-13,59
2015-03-14,58
2015-03-15,59
2015-03-16,59
2015-03-17,60
2015-03-18,62
2015-03-19,64
2015-03-20,64
2015-03-21,62
2015-03-22,60
2015-03-23,57
2015-03-24,55
2015-03-25,55
2015-03-26,56
2015-03-27,57
2015-03-28,58
2015-03-29,60
2015-03-30,62
2015-03-31,62
2015-04-01,62
2015-04-02,63
2015-04-03,64
2015-04-04,64
2015-04-05,64
2015-04-06,63
2015-04-07,63
2015-04-08,64
2015-04-09,65
2015-04-10,67
2015-04-11,70
2015-04-12,70
2015-04-13,71
2015-04-14,73
2015-04-15,76
2015-04-16,79
2015-04-17,81
2015-04-18,83
2015-04-19,83
2015-04-20,84
2015-04-21,84
2015-04-22,83
2015-04-23,83
2015-04-24,84
2015-04-25,85
2015-04-26,85
2015-04-27,86
2015-04-28,85
2015-04-29,85
2015-04-30,86
2015-05-01,86
2015-05-02,87
2015-05-03,88
2015-05-04,86
2015-05-05,84
2015-05-06,81
2015-05-07,79
2015-05-08,78
2015-05-09,76
2015-05-10,73
2015-05-11,71
2015-05-12,71
2015-05-13,72
2015-05-14,72
2015-05-15,76
2015-05-16,79
2015-05-17,82
2015-05-18,86
2015-05-19,89
2015-05-20,91
2015-05-21,91
2015-05-22,88
2015-05-23,83
2015-05-24,79
2015-05-25,79
2015-05-26,81
2015-05-27,83
2015-05-28,82
2015-05-29,84
2015-05-30,85
2015-05-31,89
2015-06-01,91
2015-06-02,95
2015-06-03,99
2015-06-04,98
2015-06-05,98
2015-06-06,100
2015-06-07,98
2015-06-08,100
2015-06-09,101
2015-06-10,105
2015-06-11,109
2015-06-12,111
2015-06-13,113
2015-06-14,113
2015-06-15,112
2015-06-16,108
2015-06-17,108
2015-06-18,107
2015-06-19,107
2015-06-20,108
2015-06-21,108
2015-06-22,106
2015-06-23,105
2015-06-24,105
2015-06-25,105
2015-06-26,108
2015-06-27,108
2015-06-28,105
2015-06-29,105
2015-06-30,107
2015-07-01,107
2015-07-02,107
2015-07-03,105
2015-07-04,100
2015-07-05,99
2015-07-06,98
2015-07-07,97
2015-07-08,94
2015-07-09,91
2015-07-10,88
2015-07-11,85
2015-07-12,83
2015-07-13,79
2015-07-14,77
2015-07-15,75
2015-07-16,76
2015-07-17,78
2015-07-18,81
2015-07-19,84
2015-07-20,88
2015-07-21,91
2015-07-22,94
2015-07-23,98
2015-07-24,101
2015-07-25,103
2015-07-26,105
2015-07-27,104
2015-07-28,99
2015-07-29,96
2015-07-30,99
2015-07-31,100
2015-08-01,99
2015-08-02,98
2015-08-03,99
2015-08-04,101
2015-08-05,105
2015-08-06,111
2015-08-07,112
2015-08-08,107
2015-08-09,105
2015-08-10,104
2015-08-11,102
2015-08-12,100
2015-08-13,96
2015-08-14,96
2015-08-15,97
2015-08-16,94
2015-08-17,93
2015-08-18,91
2015-08-19,92
2015-08-20,96
2015-08-21,99
2015-08-22,101
2015-08-23,104
2015-08-24,105
2015-08-25,107
2015-08-26,107
2015-08-27,108
2015-08-28,104
2015-08-29,106
2015-08-30,108
2015-08-31,106
2015-09-01,94
2015-09-02,110
2015-09-07,95
2015-09-08,99
2015-09-10,106
2015-09-14,110
2015-09-16,110
2015-09-22,109
2015-09-23,109
2015-09-24,113
2015-09-25,116
2015-09-27,111
2015-09-28,113
2015-09-29,112
2015-09-30,114
2015-10-05,104
2015-10-06,106
2015-10-07,108
2015-10-08,110
2015-10-09,107
2015-10-10,105
2015-10-11,104
2015-10-12,104
2015-10-13,106
2015-10-14,110
2015-10-15,114
2015-10-16,115
2015-10-17,111
2015-10-18,106
2015-10-19,103
2015-10-20,104
2015-10-22,109
2015-10-23,110
2015-10-24,109
2015-10-25,106
2015-10-26,104
2015-10-27,105
2015-10-29,110
2015-10-30,113
2015-10-31,113
2015-11-01,110
2015-11-02,112
2015-11-03,117
2015-11-04,122
2015-11-05,127
2015-11-06,128
2015-11-07,127
2015-11-08,126
2015-11-09,127
2015-11-10,127
2015-11-11,130
2015-11-12,131
2015-11-13,132
2015-11-14,134
2015-11-15,134
2015-11-16,134
2015-11-17,137
2015-11-18,141
2015-11-19,148
2015-11-20,150
2015-11-21,149
2015-11-22,148
2015-11-23,145
2015-11-24,145
2015-11-25,146
2015-11-26,143
2015-11-27,140
2015-11-28,134
2015-11-29,129
2015-11-30,126
2015-12-01,128
2015-12-02,131
2015-12-03,134
2015-12-04,135
2015-12-05,133
2015-12-06,130
2015-12-07,126
2015-12-08,124
2015-12-09,125
2015-12-10,129
2015-12-11,128
2015-12-12,125
2015-12-13,125
2015-12-14,125
2015-12-15,128
2015-12-16,128
2015-12-17,125
2015-12-18,122
2015-12-19,118
2015-12-20,115
2015-12-21,115
2015-12-22,118
2015-12-23,121
2015-12-24,121
2015-12-25,116
