date_obj,Fire%20tiara price
2015-03-26,15108
2015-03-27,15108
2015-03-28,14352
2015-03-29,13634
2015-03-30,12970
2015-03-31,12322
2015-04-01,12322
2015-04-02,11705
2015-04-03,11122
2015-04-04,10565
2015-04-05,10565
2015-04-06,10036
2015-04-07,9550
2015-04-08,9550
2015-04-09,9072
2015-04-10,8618
2015-04-11,8207
2015-04-12,7806
2015-04-13,7415
2015-04-14,7415
2015-04-15,7044
2015-04-16,7044
2015-04-17,6691
2015-04-18,6377
2015-04-19,6066
2015-04-20,6066
2015-04-21,5762
2015-04-22,5762
2015-04-23,5473
2015-04-24,5473
2015-04-25,5199
2015-04-26,5199
2015-04-27,4939
2015-04-28,4692
2015-04-29,4692
2015-04-30,4457
2015-05-01,4234
2015-05-02,4028
2015-05-03,4028
2015-05-04,3826
2015-05-05,3826
2015-05-06,3634
2015-05-07,3634
2015-05-08,3452
2015-05-09,3283
2015-05-10,3121
2015-05-11,3121
2015-05-12,2964
2015-05-13,2964
2015-05-14,2815
2015-05-15,2815
2015-05-16,2674
2015-05-17,2540
2015-05-18,2540
2015-05-19,2413
2015-05-20,2413
2015-05-21,2413
2015-05-22,2297
2015-05-23,2297
2015-05-24,2193
2015-05-25,2092
2015-05-26,2092
2015-05-27,1987
2015-05-28,1887
2015-05-29,1792
2015-05-30,1702
2015-05-31,1702
2015-06-01,1616
2015-06-02,1616
2015-06-03,1535
2015-06-04,1535
2015-06-05,1458
2015-06-06,1385
2015-06-07,1315
2015-06-08,1315
2015-06-09,1249
2015-06-10,1186
2015-06-11,1186
2015-06-12,1126
2015-06-13,1069
2015-06-14,1016
2015-06-15,966
2015-06-16,917
2015-06-17,917
2015-06-18,871
2015-06-19,871
2015-06-20,827
2015-06-21,827
2015-06-22,798
2015-06-23,798
2015-06-24,797
2015-06-25,797
2015-06-26,761
2015-06-27,761
2015-06-28,730
2015-06-29,730
2015-06-30,716
2015-07-01,680
2015-07-02,680
2015-07-03,679
2015-07-04,679
2015-07-05,659
2015-07-06,659
2015-07-07,643
2015-07-08,610
2015-07-09,610
2015-07-10,591
2015-07-11,591
2015-07-12,609
2015-07-13,585
2015-07-14,585
2015-07-15,600
2015-07-16,600
2015-07-17,617
2015-07-18,617
2015-07-19,617
2015-07-20,628
2015-07-21,628
2015-07-22,657
2015-07-23,657
2015-07-24,651
2015-07-25,651
2015-07-26,657
2015-07-27,638
2015-07-28,638
2015-07-29,656
2015-07-30,656
2015-07-31,657
2015-08-01,657
2015-08-02,644
2015-08-03,644
2015-08-04,637
2015-08-05,620
2015-08-06,620
2015-08-07,599
2015-08-08,569
2015-08-09,549
2015-08-10,527
2015-08-11,508
2015-08-12,508
2015-08-13,497
2015-08-14,509
2015-08-15,509
2015-08-16,499
2015-08-17,492
2015-08-18,492
2015-08-19,502
2015-08-20,502
2015-08-21,483
2015-08-22,495
2015-08-23,495
2015-08-24,494
2015-08-25,494
2015-08-26,505
2015-08-27,527
2015-08-28,527
2015-08-29,546
2015-08-30,546
2015-08-31,527
2015-09-01,521
2015-09-02,521
2015-09-03,509
2015-09-04,497
2015-09-05,497
2015-09-06,481
2015-09-07,481
2015-09-08,476
2015-09-09,476
2015-09-10,458
2015-09-11,458
2015-09-12,448
2015-09-13,448
2015-09-14,442
2015-09-15,456
2015-09-16,456
2015-09-17,469
2015-09-18,469
2015-09-19,474
2015-09-20,474
2015-09-21,473
2015-09-22,473
2015-09-23,474
2015-09-24,474
2015-09-25,496
2015-09-27,521
2015-09-28,536
2015-09-29,536
2015-09-30,553
2015-10-05,598
2015-10-06,628
2015-10-07,628
2015-10-08,629
2015-10-09,629
2015-10-10,617
2015-10-11,623
2015-10-12,623
2015-10-13,636
2015-10-14,636
2015-10-15,655
2015-10-16,655
2015-10-17,660
2015-10-18,660
2015-10-19,653
2015-10-20,653
2015-10-22,626
2015-10-23,637
2015-10-24,637
2015-10-25,663
2015-10-26,663
2015-10-27,656
2015-10-29,636
2015-10-30,636
2015-10-31,638
2015-11-01,638
2015-11-02,608
2015-11-03,608
2015-11-04,595
2015-11-05,595
2015-11-06,577
2015-11-07,573
2015-11-08,573
2015-11-09,573
2015-11-10,589
2015-11-11,589
2015-11-12,586
2015-11-13,586
2015-11-14,574
2015-11-15,573
2015-11-16,573
2015-11-17,556
2015-11-18,556
2015-11-19,542
2015-11-20,542
2015-11-21,539
2015-11-22,537
2015-11-23,537
2015-11-24,537
2015-11-25,560
2015-11-26,560
2015-11-27,588
2015-11-28,588
2015-11-29,578
2015-11-30,578
2015-12-01,580
2015-12-02,580
2015-12-03,585
2015-12-04,585
2015-12-05,587
2015-12-06,587
2015-12-07,561
2015-12-08,561
2015-12-09,532
2015-12-10,532
2015-12-11,505
2015-12-12,505
2015-12-13,479
2015-12-14,479
2015-12-15,455
2015-12-16,455
2015-12-17,441
2015-12-18,431
2015-12-19,431
2015-12-20,420
2015-12-21,420
2015-12-22,430
2015-12-23,423
2015-12-24,423
2015-12-25,422
2015-12-26,422
2015-12-27,423
2015-12-28,423
2015-12-29,430
2015-12-30,431
2015-12-31,431
2016-01-01,420
2016-01-02,420
2016-01-03,424
2016-01-04,417
2016-01-05,417
2016-01-06,396
2016-01-07,396
2016-01-08,376
2016-01-09,376
2016-01-10,367
2016-01-11,367
2016-01-12,384
2016-01-13,384
2016-01-14,404
2016-01-15,425
2016-01-16,425
2016-01-17,447
2016-01-18,456
2016-01-19,456
2016-01-20,472
2016-01-21,472
2016-01-22,496
2016-01-23,496
2016-01-24,520
2016-01-25,543
2016-01-26,543
2016-01-27,571
2016-01-28,571
2016-01-29,600
2016-01-30,600
2016-01-31,574
2016-02-01,579
2016-02-02,579
2016-02-03,591
2016-02-04,591
2016-02-05,595
2016-02-06,612
2016-02-07,612
2016-02-08,591
2016-02-09,591
2016-02-10,583
2016-02-11,583
2016-02-12,604
2016-02-13,613
2016-02-14,613
2016-02-15,603
2016-02-16,603
2016-02-17,621
2016-02-18,621
2016-02-19,629
2016-02-20,652
2016-02-21,680
2016-02-22,680
2016-02-23,664
2016-02-24,664
2016-02-25,673
2016-02-26,673
2016-02-27,676
2016-02-28,676
2016-02-29,710
2016-03-01,744
2016-03-02,744
2016-03-03,781
2016-03-04,816
2016-03-05,849
2016-03-06,852
2016-03-07,852
2016-03-08,845
2016-03-09,863
2016-03-10,871
2016-03-11,871
2016-03-12,877
2016-03-13,877
2016-03-14,893
2016-03-15,929
2016-03-16,934
2016-03-17,934
2016-03-18,952
2016-03-19,952
2016-03-20,965
2016-03-21,965
2016-03-22,992
2016-03-23,1042
2016-03-24,1042
2016-03-25,1068
2016-03-26,1095
2016-03-27,1095
2016-03-28,1110
2016-03-29,1082
2016-03-30,1082
2016-03-31,1083
2016-04-01,1083
2016-04-02,1136
2016-04-03,1184
2016-04-04,1166
2016-04-05,1166
2016-04-06,1107
2016-04-07,1107
2016-04-08,1056
2016-04-09,1022
2016-04-10,1014
2016-04-11,1014
2016-04-12,985
2016-04-13,992
2016-04-14,1024
2016-04-15,1074
2016-04-16,1026
2016-04-17,974
2016-04-18,962
2016-04-19,962
2016-04-20,985
2016-04-21,985
2016-04-22,1009
2016-04-23,1000
2016-04-24,1031
2016-04-25,1025
2016-04-26,1025
2016-04-27,1047
2016-04-28,1047
2016-04-29,1015
2016-04-30,964
2016-05-01,964
2016-05-02,919
2016-05-03,884
2016-05-04,884
2016-05-05,843
2016-05-06,843
2016-05-07,800
2016-05-08,800
2016-05-09,760
2016-05-10,732
2016-05-11,732
2016-05-12,719
2016-05-13,737
2016-05-14,745
2016-05-15,709
2016-05-16,709
2016-05-17,695
2016-05-18,666
2016-05-19,666
2016-05-22,700
2016-05-23,718
2016-05-24,742
2016-05-25,724
2016-05-26,688
2016-05-27,663
2016-05-28,663
2016-05-29,639
2016-05-30,639
2016-05-31,607
2016-06-01,576
2016-06-02,567
2016-06-03,567
2016-06-04,567
2016-06-05,556
2016-06-06,528
2016-06-07,528
2016-06-08,501
2016-06-09,475
2016-06-10,463
2016-06-11,440
2016-06-12,443
2016-06-13,443
2016-06-14,428
2016-06-15,406
2016-06-16,406
2016-06-17,393
2016-06-18,393
2016-06-19,407
2016-06-20,415
2016-06-21,395
2016-06-22,375
2016-06-23,358
2016-06-24,358
2016-06-25,371
2016-06-26,371
2016-06-27,379
2016-06-28,395
2016-06-29,395
2016-06-30,412
2016-07-01,431
2016-07-02,431
2016-07-03,425
2016-07-04,407
2016-07-05,407
2016-07-06,418
2016-07-07,418
2016-07-08,423
2016-07-09,431
2016-07-10,449
2016-07-11,456
2016-07-12,462
2016-07-13,486
2016-07-14,509
2016-07-15,509
2016-07-16,499
2016-07-17,474
2016-07-18,450
2016-07-23,433
2016-07-24,437
2016-07-25,443
2016-07-26,443
