date_obj,Woad%20leaf price
2015-03-26,1357
2015-03-27,1357
2015-03-28,1289
2015-03-29,1289
2015-03-30,1289
2015-03-31,1224
2015-04-01,1224
2015-04-02,1224
2015-04-03,1166
2015-04-04,1166
2015-04-05,1166
2015-04-06,1111
2015-04-07,1111
2015-04-08,1111
2015-04-09,1111
2015-04-10,1057
2015-04-11,1057
2015-04-12,1057
2015-04-13,1004
2015-04-14,1004
2015-04-15,1004
2015-04-16,1004
2015-04-17,954
2015-04-18,954
2015-04-19,954
2015-04-20,908
2015-04-21,908
2015-04-22,908
2015-04-23,864
2015-04-24,864
2015-04-25,864
2015-04-26,822
2015-04-27,822
2015-04-28,822
2015-04-29,781
2015-04-30,781
2015-05-01,781
2015-05-02,742
2015-05-03,742
2015-05-04,742
2015-05-05,705
2015-05-06,705
2015-05-07,705
2015-05-08,670
2015-05-09,670
2015-05-10,670
2015-05-11,637
2015-05-12,637
2015-05-13,637
2015-05-14,606
2015-05-15,606
2015-05-16,606
2015-05-17,576
2015-05-18,576
2015-05-19,576
2015-05-20,576
2015-05-21,547
2015-05-22,547
2015-05-23,547
2015-05-24,519
2015-05-25,519
2015-05-26,519
2015-05-27,493
2015-05-28,493
2015-05-29,493
2015-05-30,468
2015-05-31,468
2015-06-01,444
2015-06-02,444
2015-06-03,444
2015-06-04,421
2015-06-05,421
2015-06-06,399
2015-06-07,399
2015-06-08,399
2015-06-09,379
2015-06-10,379
2015-06-11,379
2015-06-12,361
2015-06-13,361
2015-06-14,361
2015-06-15,343
2015-06-16,343
2015-06-17,343
2015-06-18,325
2015-06-19,325
2015-06-20,325
2015-06-21,309
2015-06-22,309
2015-06-23,295
2015-06-24,295
2015-06-25,295
2015-06-26,281
2015-06-27,281
2015-06-28,281
2015-06-29,266
2015-06-30,266
2015-07-01,266
2015-07-02,252
2015-07-03,252
2015-07-04,240
2015-07-05,240
2015-07-06,240
2015-07-07,230
2015-07-08,230
2015-07-09,230
2015-07-10,218
2015-07-11,218
2015-07-12,218
2015-07-13,207
2015-07-14,207
2015-07-15,207
2015-07-16,196
2015-07-17,196
2015-07-18,196
2015-07-19,190
2015-07-20,190
2015-07-21,190
2015-07-22,181
2015-07-23,181
2015-07-24,181
2015-07-25,181
2015-07-26,181
2015-07-27,181
2015-07-28,186
2015-07-29,186
2015-07-30,186
2015-07-31,176
2015-08-01,176
2015-08-02,173
2015-08-03,173
2015-08-04,173
2015-08-05,165
2015-08-06,165
2015-08-07,165
2015-08-08,156
2015-08-09,156
2015-08-10,156
2015-08-11,149
2015-08-12,149
2015-08-13,149
2015-08-14,141
2015-08-15,141
2015-08-16,141
2015-08-17,137
2015-08-18,137
2015-08-19,137
2015-08-20,130
2015-08-21,130
2015-08-22,123
2015-08-23,123
2015-08-24,123
2015-08-25,123
2015-08-26,116
2015-08-27,116
2015-08-28,116
2015-08-29,110
