date_obj,Sapphire%20bolt%20tips price
2015-03-26,32
2015-03-27,32
2015-03-28,32
2015-03-29,32
2015-03-30,32
2015-03-31,30
2015-04-01,30
2015-04-02,30
2015-04-03,30
2015-04-04,30
2015-04-05,30
2015-04-06,30
2015-04-07,30
2015-04-08,30
2015-04-09,30
2015-04-10,28
2015-04-11,28
2015-04-12,28
2015-04-13,28
2015-04-14,28
2015-04-15,28
2015-04-16,28
2015-04-17,28
2015-04-18,26
2015-04-19,26
2015-04-20,26
2015-04-21,26
2015-04-22,26
2015-04-23,26
2015-04-24,26
2015-04-25,26
2015-04-26,26
2015-04-27,26
2015-04-28,26
2015-04-29,26
2015-04-30,24
2015-05-01,24
2015-05-02,24
2015-05-03,24
2015-05-04,24
2015-05-05,24
2015-05-06,24
2015-05-07,24
2015-05-08,24
2015-05-09,24
2015-05-10,24
2015-05-11,24
2015-05-12,22
2015-05-13,22
2015-05-14,22
2015-05-15,22
2015-05-16,22
2015-05-17,22
2015-05-18,22
2015-05-19,22
2015-05-20,22
2015-05-21,22
2015-05-22,22
2015-05-23,22
2015-05-24,22
2015-05-25,20
2015-05-26,20
2015-05-27,20
2015-05-28,20
2015-05-29,20
2015-05-30,20
2015-05-31,20
2015-06-01,20
2015-06-02,20
2015-06-03,20
2015-06-04,20
2015-06-05,20
2015-06-06,20
2015-06-07,20
2015-06-08,20
2015-06-09,20
2015-06-10,20
2015-06-11,19
2015-06-12,19
2015-06-13,19
2015-06-14,19
2015-06-15,19
2015-06-16,19
2015-06-17,19
2015-06-18,19
2015-06-19,19
2015-06-20,19
2015-06-21,19
2015-06-22,18
2015-06-23,18
2015-06-24,18
2015-06-25,18
2015-06-26,18
2015-06-27,18
2015-06-28,18
2015-06-29,18
2015-06-30,18
2015-07-01,18
2015-07-02,18
2015-07-03,18
2015-07-04,18
2015-07-05,18
2015-07-06,18
2015-07-07,18
2015-07-08,18
2015-07-09,18
2015-07-10,18
2015-07-11,18
2015-07-12,18
2015-07-13,18
2015-07-14,18
2015-07-15,18
2015-07-16,18
2015-07-17,18
2015-07-18,18
2015-07-19,18
2015-07-20,18
2015-07-21,18
2015-07-22,18
2015-07-23,18
2015-07-24,18
2015-07-25,19
2015-07-26,19
2015-07-27,19
2015-07-28,19
2015-07-29,19
2015-07-30,19
2015-07-31,19
2015-08-01,19
2015-08-02,19
2015-08-03,19
2015-08-04,19
2015-08-05,19
2015-08-06,20
2015-08-07,20
2015-08-08,20
2015-08-09,20
2015-08-10,20
2015-08-11,20
2015-08-12,20
2015-08-13,20
2015-08-14,20
2015-08-15,20
2015-08-16,20
2015-08-17,20
2015-08-18,21
2015-08-19,21
2015-08-20,21
2015-08-21,21
2015-08-22,21
2015-08-23,21
