date_obj,Timber%20beam price
2015-03-26,2
2015-03-27,2
2015-03-28,2
2015-03-29,2
2015-03-30,2
2015-03-31,2
2015-04-01,2
2015-04-02,2
2015-04-03,2
2015-04-04,2
2015-04-05,2
2015-04-06,2
2015-04-07,2
2015-04-08,2
2015-04-09,2
2015-04-10,2
2015-04-11,2
2015-04-12,2
2015-04-13,2
2015-04-14,2
2015-04-15,2
2015-04-16,2
2015-04-17,2
2015-04-18,2
2015-04-19,2
2015-04-20,2
2015-04-21,2
2015-04-22,2
2015-04-23,2
2015-04-24,2
2015-04-25,2
2015-04-26,2
2015-04-27,2
2015-04-28,2
2015-04-29,2
2015-04-30,2
2015-05-01,2
2015-05-02,2
2015-05-03,2
2015-05-04,2
2015-05-05,2
2015-05-06,2
2015-05-07,2
2015-05-08,2
2015-05-09,2
2015-05-10,2
2015-05-11,2
2015-05-12,2
2015-05-13,2
2015-05-14,2
2015-05-15,2
2015-05-16,2
2015-05-17,2
2015-05-18,2
2015-05-19,2
2015-05-20,2
2015-05-21,2
2015-05-22,2
2015-05-23,3
2015-05-24,3
2015-05-25,3
2015-05-26,3
2015-05-27,3
2015-05-28,3
2015-05-29,3
2015-05-30,3
2015-05-31,3
2015-06-01,3
2015-06-02,3
2015-06-03,3
2015-06-04,3
2015-06-05,3
2015-06-06,3
2015-06-07,3
2015-06-08,3
2015-06-09,3
2015-06-10,3
2015-06-11,3
2015-06-12,3
2015-06-13,3
2015-06-14,3
2015-06-15,3
2015-06-16,3
2015-06-17,3
2015-06-18,3
2015-06-19,3
2015-06-20,4
2015-06-21,4
2015-06-22,4
2015-06-23,4
2015-06-24,4
2015-06-25,4
2015-06-26,4
2015-06-27,4
2015-06-28,4
2015-06-29,4
2015-06-30,4
2015-07-01,4
2015-07-02,4
2015-07-03,4
2015-07-04,4
2015-07-05,4
2015-07-06,4
2015-07-07,4
2015-07-08,4
2015-07-09,4
2015-07-10,4
2015-07-11,4
2015-07-12,4
2015-07-13,4
2015-07-14,4
2015-07-15,4
2015-07-16,4
2015-07-17,4
2015-07-18,4
2015-07-19,5
2015-07-20,5
2015-07-21,5
2015-07-22,5
2015-07-23,5
2015-07-24,5
2015-07-25,5
2015-07-26,5
2015-07-27,5
2015-07-28,5
2015-07-29,5
2015-07-30,5
2015-07-31,5
2015-08-01,5
2015-08-02,5
2015-08-03,5
2015-08-04,5
2015-08-05,5
2015-08-06,5
2015-08-07,5
2015-08-08,5
2015-08-09,5
2015-08-10,5
2015-08-11,5
2015-08-12,5
2015-08-13,6
2015-08-14,6
2015-08-15,6
2015-08-16,6
2015-08-17,6
2015-08-18,6
2015-08-19,6
2015-08-20,6
2015-08-21,6
2015-08-22,6
2015-08-23,6
2015-08-24,6
2015-08-25,6
2015-08-26,6
2015-08-27,6
2015-08-28,6
2015-08-29,6
2015-08-30,6
2015-08-31,6
2015-09-01,6
2015-09-02,6
2015-09-03,6
2015-09-04,6
2015-09-05,6
2015-09-06,6
2015-09-07,6
2015-09-08,6
2015-09-09,6
2015-09-10,6
2015-09-11,6
2015-09-12,6
2015-09-13,6
2015-09-14,7
2015-09-15,7
2015-09-16,7
2015-09-17,7
2015-09-18,7
2015-09-19,7
2015-09-20,7
2015-09-21,7
2015-09-22,7
2015-09-23,7
2015-09-24,7
2015-09-25,7
2015-09-27,7
2015-09-28,7
2015-09-29,7
2015-09-30,7
2015-10-05,7
2015-10-06,7
2015-10-07,7
2015-10-08,7
2015-10-09,7
2015-10-10,7
2015-10-11,7
2015-10-12,7
2015-10-13,7
2015-10-14,7
2015-10-15,7
2015-10-16,7
2015-10-17,7
2015-10-18,7
2015-10-19,7
2015-10-20,7
2015-10-22,7
2015-10-23,7
2015-10-24,7
2015-10-25,7
2015-10-26,7
2015-10-27,7
2015-10-29,7
2015-10-30,7
2015-10-31,7
2015-11-01,7
2015-11-02,7
2015-11-03,7
2015-11-04,7
2015-11-05,7
2015-11-06,7
2015-11-07,7
2015-11-08,7
2015-11-09,7
2015-11-10,7
2015-11-11,7
2015-11-12,7
2015-11-13,7
2015-11-14,7
2015-11-15,7
2015-11-16,7
2015-11-17,7
2015-11-18,7
2015-11-19,7
2015-11-20,7
2015-11-21,7
2015-11-22,7
2015-11-23,7
2015-11-24,7
2015-11-25,7
2015-11-26,7
2015-11-27,7
2015-11-28,7
2015-11-29,7
2015-11-30,7
2015-12-01,7
2015-12-02,7
2015-12-03,7
2015-12-04,7
2015-12-05,7
2015-12-06,7
2015-12-07,7
2015-12-08,7
2015-12-09,7
2015-12-10,7
2015-12-11,7
2015-12-13,8
2015-12-14,8
2015-12-15,8
2015-12-16,8
2015-12-17,8
2015-12-18,8
2015-12-19,8
2015-12-20,8
2015-12-21,8
2015-12-22,8
2015-12-23,8
2015-12-24,8
2015-12-25,8
2015-12-26,8
2015-12-27,8
2015-12-28,8
2015-12-29,8
2015-12-30,8
2015-12-31,8
2016-01-01,8
2016-01-02,8
2016-01-03,8
2016-01-04,9
2016-01-05,9
2016-01-06,9
2016-01-07,9
2016-01-08,9
2016-01-09,9
2016-01-10,9
2016-01-11,9
2016-01-12,9
2016-01-13,9
2016-01-14,9
2016-01-15,9
2016-01-16,9
2016-01-17,9
2016-01-18,9
2016-01-19,9
