date_obj,Bronze%20full%20helm price
2015-03-26,68
2015-03-27,68
2015-03-28,64
2015-03-29,60
2015-03-30,57
2015-03-31,54
2015-04-01,54
2015-04-02,51
2015-04-03,48
2015-04-04,45
2015-04-05,45
2015-04-06,42
2015-04-07,39
2015-04-08,39
2015-04-09,37
2015-04-10,35
2015-04-11,34
2015-04-12,33
2015-04-13,33
2015-04-14,32
2015-04-15,32
2015-04-16,31
2015-04-17,29
2015-04-18,27
2015-04-19,25
2015-04-20,25
2015-04-21,23
2015-04-22,23
2015-04-23,21
2015-04-24,20
2015-04-25,19
2015-04-26,18
2015-04-27,17
2015-04-28,16
2015-04-29,16
2015-04-30,15
2015-05-01,14
2015-05-02,13
2015-05-03,13
2015-05-04,12
2015-05-05,11
2015-05-06,10
2015-05-07,10
2015-05-08,10
2015-05-09,9
2015-05-10,8
2015-05-11,8
2015-05-12,8
2015-05-13,8
2015-05-14,8
2015-05-15,8
2015-05-16,8
2015-05-17,8
2015-05-18,7
2015-05-19,7
2015-05-20,7
2015-05-21,7
2015-05-22,7
2015-05-23,6
2015-05-24,5
2015-05-25,5
2015-05-26,4
2015-05-27,4
2015-05-28,4
2015-05-29,4
2015-05-30,4
2015-05-31,4
2015-06-01,4
2015-06-02,4
2015-06-03,4
2015-06-04,5
2015-06-05,5
2015-06-06,6
2015-06-07,7
2015-06-08,7
2015-06-09,7
2015-06-10,7
2015-06-11,7
2015-06-12,7
2015-06-13,7
2015-06-14,7
2015-06-15,7
2015-06-16,7
2015-06-17,7
2015-06-18,8
2015-06-19,7
2015-06-20,7
2015-06-21,7
2015-06-22,7
2015-06-23,6
2015-06-24,6
2015-06-25,6
2015-06-26,7
2015-06-27,7
2015-06-28,7
2015-06-29,8
2015-06-30,8
2015-07-01,8
2015-07-02,8
2015-07-03,8
2015-07-04,8
2015-07-05,8
2015-07-06,7
2015-07-07,7
2015-07-08,7
2015-07-09,7
2015-07-10,7
2015-07-11,7
2015-07-12,7
2015-07-13,7
2015-07-14,6
2015-07-15,6
2015-07-16,6
2015-07-17,6
2015-07-18,6
2015-07-19,6
2015-07-20,5
2015-07-21,5
2015-07-22,5
2015-07-23,5
2015-07-24,5
2015-07-25,5
2015-07-26,6
2015-07-27,7
2015-07-28,8
2015-07-29,9
2015-07-30,10
2015-07-31,10
2015-08-01,10
2015-08-02,10
2015-08-03,10
2015-08-04,10
2015-08-05,10
2015-08-06,10
2015-08-07,10
2015-08-08,10
2015-08-09,10
2015-08-10,9
2015-08-11,8
2015-08-12,8
2015-08-13,7
2015-08-14,7
2015-08-15,7
2015-08-16,8
2015-08-17,8
2015-08-18,8
2015-08-19,9
2015-08-20,9
2015-08-21,10
2015-08-22,11
2015-08-23,12
2015-08-24,13
2015-08-25,13
2015-08-26,14
2015-08-27,15
2015-08-28,14
2015-08-29,15
2015-08-30,15
2015-08-31,16
2015-09-01,16
2015-09-02,16
2015-09-03,16
2015-09-04,16
2015-09-05,16
2015-09-06,16
2015-09-07,16
2015-09-08,16
2015-09-09,16
2015-09-10,15
2015-09-11,14
2015-09-12,13
2015-09-13,12
2015-09-14,12
2015-09-15,12
2015-09-16,12
2015-09-17,12
2015-09-18,12
2015-09-19,12
2015-09-20,12
2015-09-21,12
2015-09-22,13
2015-09-23,13
2015-09-24,13
2015-09-25,13
2015-09-27,13
2015-09-28,13
2015-09-29,12
2015-09-30,11
2015-10-05,8
2015-10-06,7
2015-10-07,7
2015-10-08,6
2015-10-09,6
2015-10-10,6
2015-10-11,6
2015-10-12,6
2015-10-13,6
2015-10-14,6
2015-10-15,6
2015-10-16,6
2015-10-17,6
2015-10-18,6
2015-10-19,7
2015-10-20,7
2015-10-22,7
2015-10-23,7
2015-10-24,7
2015-10-25,6
2015-10-26,5
2015-10-27,5
2015-10-29,5
2015-10-30,5
2015-10-31,5
2015-11-01,5
2015-11-02,5
2015-11-03,5
2015-11-04,5
2015-11-05,5
2015-11-06,5
2015-11-07,5
2015-11-08,5
2015-11-09,5
2015-11-10,5
2015-11-11,5
2015-11-12,5
2015-11-13,5
2015-11-14,5
2015-11-15,6
2015-11-16,6
2015-11-17,7
2015-11-18,7
2015-11-19,8
2015-11-20,9
2015-11-21,9
2015-11-22,10
2015-11-23,10
2015-11-24,11
2015-11-25,11
2015-11-26,11
2015-11-27,11
2015-11-28,11
2015-11-29,11
2015-11-30,11
2015-12-01,11
2015-12-02,12
2015-12-03,13
2015-12-04,13
2015-12-05,14
2015-12-06,15
2015-12-07,15
2015-12-08,16
2015-12-09,16
2015-12-10,17
2015-12-11,17
2015-12-12,17
2015-12-13,17
2015-12-14,17
2015-12-15,17
2015-12-16,18
2015-12-17,18
2015-12-18,18
2015-12-19,18
2015-12-20,18
2015-12-21,18
2015-12-22,18
2015-12-23,18
2015-12-24,18
2015-12-25,19
2015-12-26,20
2015-12-27,20
2015-12-28,20
2015-12-29,20
2015-12-30,20
2015-12-31,21
2016-01-01,21
2016-01-02,22
2016-01-03,23
2016-01-04,24
2016-01-05,26
2016-01-06,27
2016-01-07,28
2016-01-08,29
2016-01-09,29
2016-01-10,29
2016-01-11,28
2016-01-12,29
2016-01-13,29
2016-01-14,30
2016-01-15,31
2016-01-16,31
2016-01-17,33
2016-01-18,35
2016-01-19,35
2016-01-20,35
2016-01-21,35
2016-01-22,36
2016-01-23,36
2016-01-24,35
2016-01-25,35
2016-01-26,35
2016-01-27,37
2016-01-28,37
2016-01-29,39
2016-01-30,39
2016-01-31,39
2016-02-01,39
2016-02-02,39
2016-02-03,38
2016-02-04,37
2016-02-05,37
2016-02-06,37
2016-02-07,37
2016-02-08,37
2016-02-09,38
2016-02-10,38
2016-02-11,38
2016-02-12,39
2016-02-13,39
2016-02-14,39
2016-02-15,40
2016-02-16,41
2016-02-17,43
2016-02-18,43
2016-02-19,43
2016-02-20,41
2016-02-21,40
2016-02-22,40
2016-02-23,41
2016-02-24,41
2016-02-25,40
2016-02-26,40
2016-02-27,40
2016-02-28,40
2016-02-29,40
2016-03-01,41
2016-03-02,42
2016-03-03,43
2016-03-04,41
2016-03-05,42
2016-03-06,43
2016-03-07,43
2016-03-08,40
2016-03-09,39
2016-03-10,37
2016-03-11,35
2016-03-12,34
2016-03-13,32
2016-03-14,30
2016-03-15,28
2016-03-16,26
2016-03-17,24
2016-03-18,23
2016-03-19,21
2016-03-20,19
2016-03-21,18
2016-03-22,18
2016-03-23,18
2016-03-24,18
2016-03-25,18
2016-03-26,18
2016-03-27,18
2016-03-28,18
2016-03-29,17
2016-03-30,17
2016-03-31,17
2016-04-01,18
2016-04-02,18
2016-04-03,18
2016-04-04,17
2016-04-05,16
2016-04-06,15
2016-04-07,15
2016-04-08,15
2016-04-09,15
2016-04-10,15
2016-04-11,15
2016-04-12,15
2016-04-13,15
2016-04-14,15
2016-04-15,15
2016-04-16,15
2016-04-17,15
2016-04-18,15
2016-04-19,14
2016-04-20,14
2016-04-21,14
2016-04-22,14
2016-04-23,14
2016-04-24,14
2016-04-25,14
2016-04-26,14
2016-04-27,14
2016-04-28,14
2016-04-29,14
2016-04-30,14
2016-05-01,14
2016-05-02,14
2016-05-03,15
2016-05-04,15
2016-05-05,16
2016-05-06,16
2016-05-07,15
2016-05-08,15
2016-05-09,16
2016-05-10,16
2016-05-11,17
2016-05-12,18
2016-05-13,19
2016-05-14,20
2016-05-15,21
2016-05-16,21
2016-05-17,21
2016-05-18,22
2016-05-19,22
2016-05-22,21
2016-05-23,20
2016-05-24,20
2016-05-25,20
2016-05-26,21
2016-05-27,23
2016-05-28,23
2016-05-29,24
2016-05-30,24
2016-05-31,25
2016-06-01,26
2016-06-02,25
2016-06-03,25
2016-06-04,25
2016-06-05,25
2016-06-06,25
2016-06-07,25
2016-06-08,25
2016-06-09,26
2016-06-10,26
2016-06-11,25
2016-06-12,25
2016-06-13,25
2016-06-14,26
2016-06-15,27
2016-06-16,27
2016-06-17,27
2016-06-18,28
2016-06-19,27
2016-06-20,27
2016-06-21,28
2016-06-22,28
2016-06-23,28
2016-06-24,28
2016-06-25,27
2016-06-26,26
2016-06-27,24
2016-06-28,23
2016-06-29,22
2016-06-30,22
2016-07-01,23
2016-07-02,24
2016-07-03,24
2016-07-04,25
2016-07-05,25
2016-07-06,25
2016-07-07,25
2016-07-08,26
2016-07-09,26
2016-07-10,25
2016-07-11,24
2016-07-12,25
2016-07-13,26
2016-07-14,26
2016-07-15,25
2016-07-16,25
2016-07-17,25
2016-07-18,25
2016-07-23,25
2016-07-24,26
2016-07-25,26
2016-07-26,26
2016-07-27,26
2016-07-28,26
2016-07-29,25
2016-07-30,25
2016-07-31,25
2016-08-01,26
2016-08-02,27
2016-08-03,25
2016-08-04,25
2016-08-05,25
2016-08-06,26
2016-08-07,26
2016-08-08,26
2016-08-09,26
2016-08-10,26
2016-08-11,26
2016-08-12,26
2016-08-13,26
2016-08-14,25
2016-08-15,25
2016-08-16,23
2016-08-17,21
2016-08-18,21
2016-08-19,22
2016-08-20,24
2016-08-21,24
2016-08-22,24
2016-08-23,25
