date_obj,Cooked%20chicken price
2015-03-26,36
2015-03-27,36
2015-03-28,36
2015-03-29,36
2015-03-30,36
2015-03-31,36
2015-04-01,36
2015-04-02,36
2015-04-03,36
2015-04-04,36
2015-04-05,36
2015-04-06,36
2015-04-07,36
2015-04-08,36
2015-04-09,36
2015-04-10,36
2015-04-11,36
2015-04-12,36
2015-04-13,37
2015-04-14,37
2015-04-15,37
2015-04-16,37
2015-04-17,37
2015-04-18,37
2015-04-19,37
2015-04-20,37
2015-04-21,37
2015-04-22,37
2015-04-23,37
2015-04-24,37
2015-04-25,37
2015-04-26,37
2015-04-27,37
2015-04-28,37
2015-04-29,37
2015-04-30,37
2015-05-01,37
2015-05-02,37
2015-05-03,37
2015-05-04,37
2015-05-05,37
2015-05-06,37
2015-05-07,37
2015-05-08,37
2015-05-09,37
2015-05-10,37
2015-05-11,37
2015-05-12,36
2015-05-13,36
2015-05-14,36
2015-05-15,36
2015-05-16,36
2015-05-17,37
2015-05-18,37
2015-05-19,37
2015-05-20,37
2015-05-21,37
2015-05-22,38
2015-05-23,38
2015-05-24,38
2015-05-25,38
2015-05-26,38
2015-05-27,38
2015-05-28,38
2015-05-29,38
2015-05-30,38
2015-05-31,38
2015-06-01,38
2015-06-02,38
2015-06-03,40
2015-06-04,40
2015-06-05,40
2015-06-06,41
2015-06-07,41
2015-06-08,41
2015-06-09,42
2015-06-10,42
2015-06-11,42
2015-06-12,42
2015-06-13,44
2015-06-14,44
2015-06-15,44
2015-06-16,44
2015-06-17,46
2015-06-18,46
2015-06-19,46
2015-06-20,48
2015-06-21,48
2015-06-22,48
2015-06-23,48
2015-06-24,47
2015-06-25,47
2015-06-26,47
2015-06-27,47
2015-06-28,48
2015-06-29,48
2015-06-30,48
2015-07-01,48
2015-07-02,48
2015-07-03,48
2015-07-04,48
2015-07-05,47
2015-07-06,47
2015-07-07,47
2015-07-08,47
2015-07-09,47
2015-07-10,47
2015-07-11,47
2015-07-12,50
2015-07-13,50
2015-07-14,50
2015-07-15,51
2015-07-16,51
2015-07-17,51
2015-07-18,51
2015-07-19,51
2015-07-20,51
2015-07-21,51
2015-07-22,52
2015-07-23,52
2015-07-24,52
2015-07-25,52
2015-07-26,53
2015-07-27,53
2015-07-28,53
2015-07-29,53
2015-07-30,53
2015-07-31,53
2015-08-01,53
2015-08-02,53
2015-08-03,55
2015-08-04,55
2015-08-05,55
2015-08-06,55
2015-08-07,56
2015-08-08,56
2015-08-09,56
2015-08-10,55
2015-08-11,55
2015-08-12,55
2015-08-13,55
2015-08-14,54
2015-08-15,54
2015-08-16,54
2015-08-17,54
2015-08-18,55
2015-08-19,55
2015-08-20,55
2015-08-21,53
2015-08-22,53
2015-08-23,53
2015-08-24,52
2015-08-25,52
2015-08-26,52
2015-08-27,52
2015-08-28,52
2015-08-29,53
2015-08-30,53
2015-08-31,53
2015-09-01,53
2015-09-02,53
2015-09-03,55
2015-09-04,55
2015-09-05,55
2015-09-06,55
2015-09-07,55
2015-09-08,57
2015-09-09,57
2015-09-10,57
2015-09-11,57
2015-09-12,57
2015-09-13,57
2015-09-14,57
2015-09-15,57
2015-09-16,57
2015-09-17,56
2015-09-18,56
2015-09-19,56
2015-09-20,56
2015-09-21,56
2015-09-22,57
2015-09-23,57
2015-09-24,57
2015-09-25,57
2015-09-27,56
2015-09-28,56
2015-09-29,56
2015-09-30,56
2015-10-05,55
2015-10-06,54
2015-10-07,54
2015-10-08,54
2015-10-09,54
2015-10-10,54
2015-10-11,55
2015-10-12,55
2015-10-13,55
2015-10-14,55
2015-10-15,55
2015-10-16,56
2015-10-17,56
2015-10-18,56
2015-10-19,56
2015-10-20,56
2015-10-22,56
2015-10-23,56
2015-10-24,56
2015-10-25,58
2015-10-26,58
2015-10-27,58
