date_obj,Gold%20bar price
2015-03-26,110
2015-03-27,107
2015-03-28,105
2015-03-29,104
2015-03-30,100
2015-03-31,99
2015-04-01,100
2015-04-02,101
2015-04-03,103
2015-04-04,106
2015-04-05,106
2015-04-06,105
2015-04-07,108
2015-04-08,107
2015-04-09,110
2015-04-10,112
2015-04-11,111
2015-04-12,114
2015-04-13,113
2015-04-14,115
2015-04-15,113
2015-04-16,114
2015-04-17,114
2015-04-18,117
2015-04-19,117
2015-04-20,120
2015-04-21,120
2015-04-22,120
2015-04-23,117
2015-04-24,115
2015-04-25,113
2015-04-26,113
2015-04-27,119
2015-04-28,123
2015-04-29,127
2015-04-30,125
2015-05-01,126
2015-05-02,131
2015-05-03,133
2015-05-04,130
2015-05-05,130
2015-05-06,131
2015-05-07,128
2015-05-08,123
2015-05-09,122
2015-05-10,119
2015-05-11,116
2015-05-12,114
2015-05-13,112
2015-05-14,113
2015-05-15,116
2015-05-16,114
2015-05-17,117
2015-05-18,120
2015-05-19,122
2015-05-20,126
2015-05-21,128
2015-05-22,125
2015-05-23,125
2015-05-24,126
2015-05-25,131
2015-05-26,133
2015-05-27,133
2015-05-28,133
2015-05-29,131
2015-05-30,133
2015-05-31,128
2015-06-01,126
2015-06-02,121
2015-06-03,118
2015-06-04,116
2015-06-05,115
2015-06-06,118
2015-06-07,119
2015-06-08,119
2015-06-09,122
2015-06-10,125
2015-06-11,128
2015-06-12,126
2015-06-13,127
2015-06-14,133
2015-06-15,140
2015-06-16,142
2015-06-17,138
2015-06-18,135
2015-06-19,131
2015-06-20,131
2015-06-21,129
2015-06-22,128
2015-06-23,133
2015-06-24,135
2015-06-25,136
2015-06-26,133
2015-06-27,131
2015-06-28,130
2015-06-29,128
2015-06-30,126
2015-07-01,123
2015-07-02,119
2015-07-03,118
2015-07-04,119
2015-07-05,119
2015-07-06,117
2015-07-07,117
2015-07-08,118
2015-07-09,120
2015-07-10,122
2015-07-11,128
2015-07-12,129
2015-07-13,133
2015-07-14,131
2015-07-15,132
2015-07-16,138
2015-07-17,143
2015-07-18,149
2015-07-19,148
2015-07-20,145
2015-07-21,146
2015-07-22,150
2015-07-23,145
2015-07-24,148
2015-07-25,152
2015-07-26,159
2015-07-27,161
2015-07-28,158
2015-07-29,154
2015-07-30,154
2015-07-31,149
2015-08-01,147
2015-08-02,144
2015-08-03,142
2015-08-04,140
2015-08-05,140
2015-08-06,140
2015-08-07,144
2015-08-08,147
2015-08-09,150
2015-08-10,150
2015-08-11,149
2015-08-12,152
2015-08-13,149
2015-08-14,149
2015-08-15,152
2015-08-16,156
2015-08-17,159
2015-08-18,159
2015-08-19,154
2015-08-20,152
2015-08-21,150
2015-08-22,146
2015-08-23,142
2015-08-24,138
2015-08-25,138
2015-08-26,140
2015-08-27,142
2015-08-28,140
2015-08-29,139
2015-08-30,139
2015-08-31,141
2015-09-01,140
2015-09-02,139
2015-09-03,137
2015-09-04,135
2015-09-05,136
2015-09-06,139
2015-09-07,140
2015-09-08,139
2015-09-09,142
2015-09-10,139
2015-09-11,139
2015-09-12,140
2015-09-13,143
2015-09-14,143
2015-09-15,146
2015-09-16,144
2015-09-17,148
2015-09-18,153
2015-09-19,159
2015-09-20,156
2015-09-21,160
2015-09-22,162
2015-09-23,169
2015-09-24,168
2015-09-25,169
2015-09-27,161
2015-09-28,159
2015-09-29,161
2015-09-30,163
2015-10-05,182
2015-10-06,185
2015-10-07,180
2015-10-08,176
2015-10-09,182
2015-10-10,187
2015-10-11,183
2015-10-12,179
2015-10-13,182
2015-10-14,185
2015-10-15,183
2015-10-16,188
2015-10-17,189
2015-10-18,185
2015-10-19,185
2015-10-20,179
2015-10-22,179
2015-10-23,179
2015-10-24,176
2015-10-25,170
2015-10-26,164
2015-10-27,162
2015-10-29,160
2015-10-30,165
2015-10-31,168
2015-11-01,161
2015-11-02,154
2015-11-03,152
2015-11-04,152
2015-11-05,151
2015-11-06,155
2015-11-07,160
2015-11-08,165
2015-11-09,170
2015-11-10,174
2015-11-11,175
2015-11-12,176
2015-11-13,175
2015-11-14,176
2015-11-15,176
2015-11-16,176
2015-11-17,177
2015-11-18,178
2015-11-19,181
2015-11-20,187
2015-11-21,192
2015-11-22,194
2015-11-23,197
2015-11-24,200
2015-11-25,202
2015-11-26,202
2015-11-27,203
2015-11-28,206
2015-11-29,207
2015-11-30,204
2015-12-01,207
2015-12-02,205
2015-12-03,204
2015-12-04,205
2015-12-05,211
2015-12-06,215
2015-12-07,213
2015-12-08,217
2015-12-09,213
2015-12-10,221
2015-12-11,221
2015-12-12,219
2015-12-13,219
2015-12-14,215
2015-12-15,207
2015-12-16,206
2015-12-17,201
2015-12-18,198
2015-12-19,193
2015-12-20,186
2015-12-21,180
2015-12-22,182
2015-12-23,180
2015-12-24,183
2015-12-25,191
2015-12-26,195
2015-12-27,193
2015-12-28,184
2015-12-29,180
2015-12-30,179
2015-12-31,180
2016-01-01,187
2016-01-02,195
2016-01-03,200
2016-01-04,203
2016-01-05,198
2016-01-06,190
2016-01-07,186
2016-01-08,182
2016-01-09,184
2016-01-10,187
2016-01-11,190
2016-01-12,186
2016-01-13,191
2016-01-14,192
2016-01-15,198
2016-01-16,203
2016-01-17,203
2016-01-18,207
2016-01-19,202
2016-01-20,202
2016-01-21,198
2016-01-22,201
2016-01-23,202
2016-01-24,196
2016-01-25,197
2016-01-26,204
2016-01-27,207
2016-01-28,207
2016-01-29,212
2016-01-30,214
2016-01-31,210
2016-02-01,206
2016-02-02,204
2016-02-03,199
2016-02-04,201
2016-02-05,200
2016-02-06,197
