date_obj,Teak%20logs price
2015-03-26,45
2015-03-27,45
2015-03-28,42
2015-03-29,42
2015-03-30,39
2015-03-31,39
2015-04-01,37
2015-04-02,37
2015-04-03,35
2015-04-04,35
2015-04-05,33
2015-04-06,33
2015-04-07,31
2015-04-08,31
2015-04-09,31
2015-04-10,29
2015-04-11,29
2015-04-12,27
2015-04-13,27
2015-04-14,26
2015-04-15,26
2015-04-16,26
2015-04-17,26
2015-04-18,26
2015-04-19,26
2015-04-20,26
2015-04-21,25
2015-04-22,25
2015-04-23,25
2015-04-24,23
2015-04-25,23
2015-04-26,22
2015-04-27,22
2015-04-28,21
2015-04-29,21
2015-04-30,21
2015-05-01,21
2015-05-02,21
2015-05-03,21
2015-05-04,19
2015-05-05,19
2015-05-06,19
2015-05-07,19
2015-05-08,19
2015-05-09,19
2015-05-10,20
2015-05-11,20
2015-05-12,20
2015-05-13,21
2015-05-14,21
2015-05-15,21
2015-05-16,23
2015-05-17,23
2015-05-18,25
2015-05-19,25
2015-05-20,25
2015-05-21,25
2015-05-22,26
2015-05-23,26
2015-05-24,26
2015-05-25,28
2015-05-26,28
2015-05-27,28
2015-05-28,30
2015-05-29,30
2015-05-30,32
2015-05-31,32
2015-06-01,33
2015-06-02,33
2015-06-03,33
2015-06-04,33
2015-06-05,33
2015-06-06,35
2015-06-07,35
2015-06-08,37
2015-06-09,37
2015-06-10,39
2015-06-11,39
2015-06-12,39
2015-06-13,41
2015-06-14,41
2015-06-15,43
2015-06-16,43
2015-06-17,44
2015-06-18,44
2015-06-19,45
2015-06-20,45
2015-06-21,46
2015-06-22,46
2015-06-23,45
2015-06-24,45
2015-06-25,45
2015-06-26,45
2015-06-27,43
2015-06-28,43
2015-06-29,42
2015-06-30,42
2015-07-01,39
2015-07-02,39
2015-07-03,37
2015-07-04,37
2015-07-05,37
2015-07-06,37
2015-07-07,37
2015-07-08,37
2015-07-09,37
2015-07-10,36
2015-07-11,36
2015-07-12,36
2015-07-13,35
2015-07-14,35
2015-07-15,36
2015-07-16,36
2015-07-17,37
2015-07-18,37
2015-07-19,37
2015-07-20,36
2015-07-21,36
2015-07-22,36
2015-07-23,36
2015-07-24,36
2015-07-25,38
2015-07-26,38
2015-07-27,38
2015-07-28,40
2015-07-29,40
2015-07-30,41
2015-07-31,41
2015-08-01,41
2015-08-02,42
2015-08-03,42
2015-08-04,42
2015-08-05,45
2015-08-06,45
2015-08-07,45
2015-08-08,46
2015-08-09,46
2015-08-10,47
2015-08-11,47
2015-08-12,47
2015-08-13,50
2015-08-14,50
2015-08-15,53
2015-08-16,53
2015-08-17,56
2015-08-18,56
2015-08-19,59
2015-08-20,59
2015-08-21,61
2015-08-22,61
2015-08-23,65
2015-08-24,65
2015-08-25,65
2015-08-26,66
2015-08-27,66
2015-08-28,66
2015-08-29,66
2015-08-30,66
2015-08-31,66
2015-09-01,66
2015-09-02,66
2015-09-03,70
2015-09-04,70
2015-09-05,70
2015-09-06,74
2015-09-07,74
2015-09-08,77
2015-09-09,77
2015-09-10,81
2015-09-11,81
2015-09-12,82
2015-09-13,82
2015-09-14,80
2015-09-15,80
2015-09-16,82
2015-09-17,82
2015-09-18,83
2015-09-19,83
2015-09-20,80
2015-09-21,80
2015-09-22,80
2015-09-23,80
2015-09-24,82
2015-09-25,82
2015-09-27,84
2015-09-28,83
2015-09-29,83
2015-09-30,80
2015-10-05,75
2015-10-06,76
2015-10-07,76
2015-10-08,78
2015-10-09,78
2015-10-10,76
2015-10-11,76
2015-10-12,75
2015-10-13,75
2015-10-14,75
2015-10-15,74
2015-10-16,74
2015-10-17,74
2015-10-18,78
2015-10-19,78
2015-10-20,82
2015-10-22,82
2015-10-23,85
2015-10-24,85
2015-10-25,88
2015-10-26,88
2015-10-27,91
2015-10-29,96
2015-10-30,96
2015-10-31,98
2015-11-01,98
2015-11-02,100
2015-11-03,100
2015-11-04,100
2015-11-05,98
2015-11-06,98
2015-11-07,96
2015-11-08,96
2015-11-09,96
2015-11-10,93
2015-11-11,93
2015-11-12,94
2015-11-13,94
2015-11-14,94
2015-11-15,92
2015-11-16,92
2015-11-17,92
2015-11-18,91
2015-11-19,91
2015-11-20,89
2015-11-21,89
2015-11-22,86
2015-11-23,86
2015-11-24,86
2015-11-25,88
2015-11-26,88
2015-11-27,92
2015-11-28,92
2015-11-29,96
2015-11-30,96
2015-12-01,101
2015-12-02,101
2015-12-03,104
2015-12-04,104
2015-12-05,103
2015-12-06,103
2015-12-07,106
2015-12-08,106
2015-12-09,110
2015-12-10,110
2015-12-11,116
2015-12-13,120
2015-12-14,120
2015-12-15,119
2015-12-16,119
2015-12-17,115
2015-12-18,115
2015-12-19,111
2015-12-20,106
2015-12-21,106
2015-12-22,104
2015-12-23,104
2015-12-24,101
2015-12-25,101
2015-12-26,106
2015-12-27,111
2015-12-28,111
2015-12-29,113
2015-12-30,117
2015-12-31,117
2016-01-01,116
2016-01-02,116
2016-01-03,115
2016-01-04,114
2016-01-05,114
2016-01-06,115
2016-01-07,115
2016-01-08,111
2016-01-09,111
2016-01-10,110
2016-01-11,110
2016-01-12,107
2016-01-13,107
2016-01-14,106
2016-01-15,106
2016-01-16,106
2016-01-17,106
2016-01-18,104
2016-01-19,104
2016-01-20,105
2016-01-21,105
2016-01-22,101
