date_obj,Fremennik%20gloves price
2015-03-04,19053
2015-03-05,19053
2015-03-06,19053
2015-03-07,19053
2015-03-08,18133
2015-03-09,18133
2015-03-10,18133
2015-03-11,18133
2015-03-12,18133
2015-03-13,18133
2015-03-14,18133
2015-03-15,17265
2015-03-16,17265
2015-03-17,17265
2015-03-18,17265
2015-03-19,17265
2015-03-20,17265
2015-03-21,17265
2015-03-22,16434
2015-03-23,16434
2015-03-24,16434
2015-03-25,16434
2015-03-26,16434
2015-03-27,16434
2015-03-28,16434
2015-03-29,15612
2015-03-30,15612
2015-03-31,15612
2015-04-01,15612
2015-04-02,15612
2015-04-03,15612
2015-04-04,14831
2015-04-05,14831
2015-04-06,14831
2015-04-07,14831
2015-04-08,14831
2015-04-09,14831
2015-04-10,14089
2015-04-11,14089
2015-04-12,14089
2015-04-13,14089
2015-04-14,14089
2015-04-15,13394
2015-04-16,13394
2015-04-17,13394
2015-04-18,13394
2015-04-19,13394
2015-04-20,12744
2015-04-21,12744
2015-04-22,12744
2015-04-23,12744
2015-04-24,12744
2015-04-25,12117
2015-04-26,12117
2015-04-27,12117
2015-04-28,12117
2015-04-29,12117
2015-04-30,11528
2015-05-01,11528
2015-05-02,11528
2015-05-03,11528
2015-05-04,10962
2015-05-05,10962
2015-05-06,10962
2015-05-07,10962
2015-05-08,10962
2015-05-09,10422
2015-05-10,10422
2015-05-11,10422
2015-05-12,10422
2015-05-13,10422
2015-05-14,9951
2015-05-15,9951
2015-05-16,9951
2015-05-17,9951
2015-05-18,9471
2015-05-19,9471
2015-05-20,9471
2015-05-21,9471
2015-05-22,9471
2015-05-23,9471
2015-05-24,9010
2015-05-25,9010
2015-05-26,9010
2015-05-27,9010
2015-05-28,8559
2015-05-29,8559
2015-05-30,8137
2015-05-31,8137
2015-06-01,8137
2015-06-02,7741
2015-06-03,7741
2015-06-04,7741
2015-06-05,7361
2015-06-06,7361
2015-06-07,6999
2015-06-08,6999
2015-06-09,6999
2015-06-10,6719
2015-06-11,6719
2015-06-12,6719
2015-06-13,6428
2015-06-14,6428
2015-06-15,6428
2015-06-16,6114
2015-06-17,6114
2015-06-18,6114
2015-06-19,5857
2015-06-20,5857
2015-06-21,5857
2015-06-22,5589
2015-06-23,5589
2015-06-24,5589
2015-06-25,5316
2015-06-26,5316
2015-06-27,5316
2015-06-28,5064
2015-06-29,5064
2015-06-30,5064
2015-07-01,4817
2015-07-02,4817
2015-07-03,4817
2015-07-04,4581
2015-07-05,4581
2015-07-06,4581
2015-07-07,4359
2015-07-08,4359
2015-07-09,4359
2015-07-10,4159
2015-07-11,4159
2015-07-12,4159
2015-07-13,3956
2015-07-14,3956
2015-07-15,3956
2015-07-16,3806
2015-07-17,3806
2015-07-18,3806
2015-07-19,3619
2015-07-20,3619
2015-07-21,3619
2015-07-22,3438
2015-07-23,3438
2015-07-24,3438
2015-07-25,3273
2015-07-26,3273
2015-07-27,3273
2015-07-28,3273
2015-07-29,3109
2015-07-30,3109
2015-07-31,3109
2015-08-01,3109
2015-08-02,2953
2015-08-03,2953
2015-08-04,2953
2015-08-05,2810
2015-08-06,2810
2015-08-07,2810
2015-08-08,2679
2015-08-09,2679
2015-08-10,2564
2015-08-11,2564
2015-08-12,2564
2015-08-13,2442
2015-08-14,2442
2015-08-15,2442
2015-08-16,2330
2015-08-17,2330
2015-08-18,2330
2015-08-19,2232
2015-08-20,2232
2015-08-21,2232
2015-08-22,2136
2015-08-23,2136
2015-08-24,2136
2015-08-25,2136
2015-08-26,2035
2015-08-27,2035
2015-08-28,1939
2015-08-29,1939
2015-08-30,1939
2015-08-31,1852
2015-09-02,1852
2015-09-07,1676
2015-09-08,1676
2015-09-10,1602
2015-09-14,1456
2015-09-16,1456
2015-09-22,1317
2015-09-23,1251
2015-09-24,1251
2015-09-25,1251
2015-09-27,1195
2015-09-28,1195
2015-09-29,1195
2015-09-30,1138
2015-10-05,1081
2015-10-06,1081
2015-10-07,1081
2015-10-08,1029
2015-10-09,1029
2015-10-10,1029
2015-10-11,989
2015-10-12,989
2015-10-13,989
2015-10-14,989
2015-10-15,953
2015-10-16,953
2015-10-17,953
2015-10-18,953
2015-10-19,916
2015-10-20,916
2015-10-22,916
2015-10-23,895
2015-10-24,895
2015-10-25,895
2015-10-26,858
2015-10-27,858
2015-10-29,858
2015-10-30,823
2015-10-31,823
2015-11-01,823
2015-11-02,823
2015-11-03,809
2015-11-04,809
2015-11-05,809
2015-11-06,809
2015-11-07,785
2015-11-08,785
2015-11-09,785
2015-11-10,785
2015-11-11,773
2015-11-12,773
2015-11-13,773
2015-11-14,773
2015-11-15,739
2015-11-16,739
2015-11-17,739
2015-11-18,739
2015-11-19,719
2015-11-20,719
2015-11-21,719
2015-11-22,719
2015-11-23,687
2015-11-24,687
2015-11-25,687
2015-11-26,687
2015-11-27,652
2015-11-28,652
2015-11-29,652
2015-11-30,621
2015-12-01,621
2015-12-02,621
2015-12-03,591
2015-12-04,591
2015-12-05,591
2015-12-06,565
2015-12-07,565
2015-12-08,565
2015-12-09,540
2015-12-10,540
2015-12-11,540
2015-12-12,540
2015-12-13,518
2015-12-14,518
2015-12-15,518
2015-12-16,518
2015-12-17,493
2015-12-18,493
2015-12-19,493
2015-12-20,471
2015-12-21,471
2015-12-22,471
2015-12-23,454
2015-12-24,454
2015-12-25,454
2015-12-26,454
2015-12-27,439
2015-12-28,439
2015-12-29,439
2015-12-30,429
2015-12-31,429
2016-01-01,429
2016-01-02,429
2016-01-03,415
2016-01-04,415
2016-01-05,415
2016-01-06,415
2016-01-07,395
2016-01-08,395
2016-01-09,395
2016-01-10,387
2016-01-11,387
2016-01-12,387
2016-01-13,381
2016-01-14,381
2016-01-15,381
2016-01-16,366
2016-01-17,366
2016-01-18,366
2016-01-19,355
2016-01-20,355
2016-01-21,355
2016-01-22,343
2016-01-23,343
2016-01-24,343
2016-01-25,330
2016-01-26,330
2016-01-27,330
2016-01-28,330
2016-01-29,323
2016-01-30,323
2016-01-31,323
2016-02-01,321
2016-02-02,321
2016-02-03,321
2016-02-04,305
2016-02-05,305
2016-02-06,305
2016-02-07,295
2016-02-08,295
2016-02-09,295
2016-02-10,284
2016-02-11,284
2016-02-12,284
2016-02-13,269
2016-02-14,269
2016-02-15,269
2016-02-16,263
2016-02-17,263
2016-02-18,263
2016-02-19,262
2016-02-20,262
2016-02-21,250
2016-02-22,250
2016-02-23,250
2016-02-24,250
2016-02-25,245
2016-02-26,245
2016-02-27,245
2016-02-28,240
2016-02-29,240
2016-03-01,240
2016-03-02,234
2016-03-03,234
2016-03-04,234
2016-03-05,228
2016-03-06,228
2016-03-07,228
2016-03-08,221
2016-03-09,221
2016-03-10,221
2016-03-11,223
2016-03-12,223
2016-03-13,223
2016-03-14,214
2016-03-15,214
2016-03-16,214
2016-03-17,211
2016-03-18,211
2016-03-19,211
2016-03-20,214
2016-03-21,214
2016-03-22,214
2016-03-23,211
2016-03-24,211
2016-03-25,219
2016-03-26,219
2016-03-27,219
2016-03-28,212
2016-03-29,212
2016-03-30,212
2016-03-31,222
2016-04-01,234
2016-04-02,234
2016-04-03,246
2016-04-04,246
2016-04-05,259
2016-04-06,259
2016-04-07,272
2016-04-08,272
2016-04-09,286
2016-04-10,286
2016-04-11,286
2016-04-12,301
2016-04-13,301
2016-04-14,308
2016-04-15,308
2016-04-16,307
2016-04-17,307
2016-04-18,300
2016-04-19,300
2016-04-20,299
2016-04-21,299
2016-04-22,299
2016-04-23,292
2016-04-24,292
2016-04-25,286
2016-04-26,286
2016-04-27,274
2016-04-28,274
2016-04-29,274
2016-04-30,264
2016-05-01,264
2016-05-02,264
2016-05-03,256
2016-05-04,256
2016-05-05,252
2016-05-06,252
2016-05-07,252
2016-05-08,252
2016-05-09,252
2016-05-10,251
2016-05-11,251
2016-05-12,251
2016-05-13,251
2016-05-14,251
2016-05-15,254
2016-05-16,254
2016-05-17,254
2016-05-18,250
2016-05-19,250
2016-05-22,246
2016-05-23,249
2016-05-24,249
2016-05-25,249
2016-05-26,245
2016-05-27,245
2016-05-28,245
2016-05-29,243
2016-05-30,243
2016-05-31,243
2016-06-01,238
2016-06-02,238
2016-06-03,238
2016-06-04,234
2016-06-05,234
2016-06-06,234
2016-06-07,225
2016-06-08,225
2016-06-09,225
2016-06-10,227
2016-06-11,227
2016-06-12,227
2016-06-13,219
2016-06-14,219
2016-06-15,219
2016-06-16,210
2016-06-17,210
2016-06-18,203
2016-06-19,203
2016-06-20,203
2016-06-21,197
2016-06-22,197
2016-06-23,197
2016-06-24,190
2016-06-25,190
2016-06-26,190
2016-06-27,184
2016-06-28,184
2016-06-29,184
2016-06-30,179
2016-07-01,179
2016-07-02,179
2016-07-03,181
2016-07-04,181
2016-07-05,181
2016-07-06,184
2016-07-07,184
2016-07-08,184
2016-07-09,186
2016-07-10,186
2016-07-11,186
2016-07-12,188
2016-07-13,188
2016-07-14,188
2016-07-15,197
2016-07-16,197
2016-07-17,197
2016-07-18,200
2016-07-23,195
2016-07-24,195
2016-07-25,187
2016-07-26,187
2016-07-27,187
2016-07-28,187
2016-07-29,187
2016-07-30,187
2016-07-31,187
2016-08-01,187
2016-08-02,185
2016-08-03,185
2016-08-04,185
2016-08-05,185
2016-08-06,177
2016-08-07,177
2016-08-08,177
2016-08-09,169
2016-08-10,169
2016-08-11,169
2016-08-12,169
2016-08-13,163
2016-08-14,163
2016-08-15,163
2016-08-16,163
2016-08-17,162
2016-08-18,162
2016-08-19,162
2016-08-20,162
2016-08-21,166
2016-08-22,166
2016-08-23,166
2016-08-24,166
2016-08-25,164
2016-08-26,164
2016-08-28,164
2016-08-31,158
2016-09-01,158
2016-09-02,157
2016-09-03,157
2016-09-04,157
2016-09-05,155
2016-09-06,155
2016-09-07,155
2016-09-08,155
2016-09-09,158
2016-09-10,158
2016-09-11,158
2016-09-12,155
