date_obj,Mithril%20dagger price
2015-03-26,207
2015-03-27,207
2015-03-28,207
2015-03-29,207
2015-03-30,197
2015-03-31,197
2015-04-01,197
2015-04-02,197
2015-04-03,197
2015-04-04,197
2015-04-05,197
2015-04-06,190
2015-04-07,190
2015-04-08,190
2015-04-09,190
2015-04-10,190
2015-04-11,190
2015-04-12,190
2015-04-13,181
2015-04-14,181
2015-04-15,181
2015-04-16,181
2015-04-17,181
2015-04-18,181
2015-04-19,171
2015-04-20,171
2015-04-21,171
2015-04-22,171
2015-04-23,171
2015-04-24,171
2015-04-25,171
2015-04-26,163
2015-04-27,163
2015-04-28,163
2015-04-29,163
2015-04-30,163
2015-05-01,163
2015-05-02,155
2015-05-03,155
2015-05-04,155
2015-05-05,155
2015-05-06,155
2015-05-07,155
2015-05-08,155
2015-05-09,148
2015-05-10,148
2015-05-11,148
2015-05-12,148
2015-05-13,148
2015-05-14,148
2015-05-15,148
2015-05-16,141
2015-05-17,141
2015-05-18,141
2015-05-19,141
2015-05-20,141
2015-05-21,141
2015-05-22,141
2015-05-23,134
2015-05-24,134
2015-05-25,134
2015-05-26,134
2015-05-27,134
2015-05-28,128
2015-05-29,128
2015-05-30,128
2015-05-31,128
2015-06-01,121
2015-06-02,121
2015-06-03,121
2015-06-04,121
2015-06-05,121
2015-06-06,114
2015-06-07,114
2015-06-08,114
2015-06-09,114
2015-06-10,114
2015-06-11,114
2015-06-12,109
2015-06-13,109
2015-06-14,109
2015-06-15,109
2015-06-16,109
2015-06-17,103
2015-06-18,103
2015-06-19,103
2015-06-20,103
2015-06-21,103
2015-06-22,99
2015-06-23,99
2015-06-24,99
2015-06-25,99
2015-06-26,99
2015-06-27,99
2015-06-28,95
2015-06-29,95
2015-06-30,95
2015-07-01,95
2015-07-02,95
2015-07-03,95
2015-07-04,95
2015-07-05,95
2015-07-06,95
2015-07-07,95
2015-07-08,95
2015-07-09,95
2015-07-10,91
2015-07-11,91
2015-07-12,91
2015-07-13,91
2015-07-14,91
2015-07-15,86
2015-07-16,86
2015-07-17,86
2015-07-18,86
2015-07-19,86
2015-07-20,86
2015-07-21,85
2015-07-22,85
2015-07-23,85
2015-07-24,85
2015-07-25,85
2015-07-26,83
2015-07-27,83
2015-07-28,83
2015-07-29,83
2015-07-30,83
2015-07-31,80
2015-08-01,80
2015-08-02,80
2015-08-03,80
2015-08-04,80
2015-08-05,76
2015-08-06,76
2015-08-07,76
2015-08-08,76
2015-08-09,76
2015-08-10,72
2015-08-11,72
2015-08-12,72
2015-08-13,72
