date_obj,Steel%20sword price
2015-03-26,177
2015-03-27,177
2015-03-28,168
2015-03-29,168
2015-03-30,159
2015-03-31,159
2015-04-01,159
2015-04-02,154
2015-04-03,154
2015-04-04,147
2015-04-05,147
2015-04-06,147
2015-04-07,139
2015-04-08,139
2015-04-09,139
2015-04-10,136
2015-04-11,136
2015-04-12,133
2015-04-13,133
2015-04-14,133
2015-04-15,128
2015-04-16,128
2015-04-17,128
2015-04-18,125
2015-04-19,125
2015-04-20,125
2015-04-21,118
2015-04-22,118
2015-04-23,116
2015-04-24,116
2015-04-25,116
2015-04-26,112
2015-04-27,112
2015-04-28,106
2015-04-29,106
2015-04-30,106
2015-05-01,100
2015-05-02,100
2015-05-03,100
2015-05-04,96
2015-05-05,96
2015-05-06,93
2015-05-07,93
2015-05-08,93
2015-05-09,88
2015-05-10,88
2015-05-11,88
2015-05-12,84
2015-05-13,84
2015-05-14,84
2015-05-15,79
2015-05-16,79
2015-05-17,75
2015-05-18,75
2015-05-19,73
2015-05-20,73
2015-05-21,73
2015-05-22,73
2015-05-23,73
2015-05-24,73
2015-05-25,73
2015-05-26,73
2015-05-27,73
2015-05-28,75
2015-05-29,75
2015-05-30,78
2015-05-31,78
2015-06-01,80
2015-06-02,80
2015-06-03,80
2015-06-04,83
2015-06-05,83
2015-06-06,87
2015-06-07,87
2015-06-08,86
2015-06-09,86
2015-06-10,88
2015-06-11,88
2015-06-12,88
2015-06-13,92
2015-06-14,92
2015-06-15,94
2015-06-16,94
2015-06-17,94
2015-06-18,94
2015-06-19,95
2015-06-20,95
2015-06-21,92
2015-06-22,92
2015-06-23,87
2015-06-24,87
2015-06-25,83
2015-06-26,81
2015-06-27,81
2015-06-28,76
2015-06-29,76
2015-06-30,73
2015-07-01,73
2015-07-02,70
2015-07-03,67
2015-07-04,67
2015-07-05,66
2015-07-06,66
2015-07-07,62
2015-07-08,62
2015-07-09,59
2015-07-10,59
2015-07-11,57
2015-07-12,57
2015-07-13,57
2015-07-14,57
2015-07-15,58
2015-07-16,58
2015-07-17,60
2015-07-18,60
2015-07-19,62
2015-07-20,62
2015-07-21,62
2015-07-22,60
2015-07-23,60
2015-07-24,60
2015-07-25,60
2015-07-26,60
2015-07-27,60
2015-07-28,59
2015-07-29,59
2015-07-30,59
2015-07-31,59
2015-08-01,60
2015-08-02,60
2015-08-03,62
2015-08-04,62
2015-08-05,65
2015-08-06,65
2015-08-07,65
2015-08-08,65
2015-08-09,64
2015-08-10,64
2015-08-11,65
2015-08-12,65
2015-08-13,65
2015-08-14,65
2015-08-15,65
2015-08-16,64
2015-08-17,64
2015-08-18,62
2015-08-19,62
2015-08-20,60
2015-08-21,60
2015-08-22,60
2015-08-23,60
2015-08-24,60
2015-08-25,60
2015-08-26,60
2015-08-27,60
2015-08-28,60
2015-08-29,58
2015-08-30,58
2015-08-31,55
2015-09-01,55
2015-09-02,55
2015-09-03,57
2015-09-04,57
2015-09-05,55
2015-09-06,55
2015-09-07,53
2015-09-08,53
2015-09-09,50
2015-09-10,50
2015-09-11,48
2015-09-12,48
2015-09-13,47
2015-09-14,47
2015-09-15,49
2015-09-16,49
2015-09-17,49
2015-09-18,49
2015-09-19,49
2015-09-20,46
2015-09-21,46
2015-09-22,45
2015-09-23,45
2015-09-24,45
2015-09-25,44
2015-09-27,46
2015-09-28,46
2015-09-29,46
2015-09-30,47
2015-10-05,51
2015-10-06,51
2015-10-07,51
2015-10-08,52
2015-10-09,52
2015-10-10,52
2015-10-11,50
2015-10-12,50
2015-10-13,50
2015-10-14,51
2015-10-15,51
2015-10-16,53
2015-10-17,53
2015-10-18,53
2015-10-19,51
2015-10-20,51
2015-10-22,52
2015-10-23,52
2015-10-24,53
2015-10-25,53
2015-10-26,52
2015-10-27,52
2015-10-29,52
2015-10-30,52
