date_obj,Mind%20tiara price
2015-03-26,8954
2015-03-27,8954
2015-03-28,8532
2015-03-29,8532
2015-03-30,8532
2015-03-31,8532
2015-04-01,8532
2015-04-02,8118
2015-04-03,8118
2015-04-04,8118
2015-04-05,8118
2015-04-06,8118
2015-04-07,7737
2015-04-08,7737
2015-04-09,7737
2015-04-10,7737
2015-04-11,7737
2015-04-12,7737
2015-04-13,7358
2015-04-14,7358
2015-04-15,7358
2015-04-16,7358
2015-04-17,7358
2015-04-18,6998
2015-04-19,6998
2015-04-20,6998
2015-04-21,6998
2015-04-22,6998
2015-04-23,6998
2015-04-24,6652
2015-04-25,6652
2015-04-26,6652
2015-04-27,6652
2015-04-28,6652
2015-04-29,6340
2015-04-30,6340
2015-05-01,6340
2015-05-02,6340
2015-05-03,6340
2015-05-04,6031
2015-05-05,6031
2015-05-06,6031
2015-05-07,6031
2015-05-08,6031
2015-05-09,5735
2015-05-10,5735
2015-05-11,5735
2015-05-12,5735
2015-05-13,5735
2015-05-14,5735
2015-05-15,5453
2015-05-16,5453
2015-05-17,5453
2015-05-18,5453
2015-05-19,5453
2015-05-20,5453
2015-05-21,5188
2015-05-22,5188
2015-05-23,5188
2015-05-24,5188
2015-05-25,5188
2015-05-26,4946
2015-05-27,4946
2015-05-28,4946
2015-05-29,4946
2015-05-30,4698
2015-05-31,4698
2015-06-01,4698
2015-06-02,4698
2015-06-03,4472
2015-06-04,4472
2015-06-05,4472
2015-06-06,4472
2015-06-07,4253
2015-06-08,4253
2015-06-09,4253
2015-06-10,4253
2015-06-11,4047
2015-06-12,4047
2015-06-13,4047
2015-06-14,4047
2015-06-15,3857
2015-06-16,3857
2015-06-17,3857
2015-06-18,3857
2015-06-19,3669
2015-06-20,3669
2015-06-21,3669
2015-06-22,3669
2015-06-23,3487
2015-06-24,3487
2015-06-25,3487
2015-06-26,3487
2015-06-27,3487
2015-06-28,3312
2015-06-29,3312
2015-06-30,3312
2015-07-01,3312
2015-07-02,3312
2015-07-03,3146
2015-07-04,3146
2015-07-05,3146
2015-07-06,3146
2015-07-07,2996
2015-07-08,2996
2015-07-09,2996
2015-07-10,2996
2015-07-11,2871
2015-07-12,2871
2015-07-13,2871
2015-07-14,2871
2015-07-15,2731
2015-07-16,2731
2015-07-17,2731
2015-07-18,2731
2015-07-19,2601
2015-07-20,2601
2015-07-21,2601
2015-07-22,2483
2015-07-23,2483
2015-07-24,2483
2015-07-25,2483
2015-07-26,2363
2015-07-27,2363
2015-07-28,2363
2015-07-29,2252
2015-07-30,2252
2015-07-31,2252
2015-08-01,2252
2015-08-02,2140
2015-08-03,2140
2015-08-04,2140
2015-08-05,2140
2015-08-06,2038
2015-08-07,2038
2015-08-08,2038
2015-08-09,1941
2015-08-10,1941
2015-08-11,1941
2015-08-12,1846
2015-08-13,1846
2015-08-14,1846
2015-08-15,1846
2015-08-16,1758
2015-08-17,1758
2015-08-18,1758
2015-08-19,1676
2015-08-20,1676
2015-08-21,1676
2015-08-22,1598
2015-08-23,1598
2015-08-24,1598
2015-08-25,1598
2015-08-26,1521
2015-08-27,1521
2015-08-28,1521
2015-08-29,1448
2015-08-30,1448
2015-08-31,1448
2015-09-01,1448
2015-09-02,1380
2015-09-03,1380
2015-09-04,1380
2015-09-05,1380
2015-09-06,1317
2015-09-07,1317
2015-09-08,1317
2015-09-09,1317
2015-09-10,1255
2015-09-11,1255
2015-09-12,1255
2015-09-13,1255
2015-09-14,1194
2015-09-15,1194
2015-09-16,1194
2015-09-17,1194
2015-09-18,1139
2015-09-19,1139
2015-09-20,1139
2015-09-21,1139
2015-09-22,1087
2015-09-23,1087
2015-09-24,1087
2015-09-25,1087
2015-09-27,1035
2015-09-28,1035
2015-09-29,1035
2015-09-30,1035
2015-10-05,986
2015-10-06,938
2015-10-07,938
2015-10-08,938
2015-10-09,938
2015-10-10,938
2015-10-11,891
2015-10-12,891
2015-10-13,891
2015-10-14,891
2015-10-15,849
2015-10-16,849
2015-10-17,849
2015-10-18,849
2015-10-19,809
2015-10-20,809
2015-10-22,809
2015-10-23,770
2015-10-24,770
2015-10-25,770
2015-10-26,736
2015-10-27,736
2015-10-29,736
2015-10-30,736
2015-10-31,701
2015-11-01,701
2015-11-02,701
2015-11-03,701
2015-11-04,701
2015-11-05,669
2015-11-06,669
2015-11-07,669
2015-11-08,669
2015-11-09,640
2015-11-10,640
2015-11-11,640
2015-11-12,640
2015-11-13,640
2015-11-14,612
2015-11-15,612
2015-11-16,612
2015-11-17,612
2015-11-18,601
2015-11-19,601
2015-11-20,601
2015-11-21,601
2015-11-22,590
2015-11-23,590
2015-11-24,590
2015-11-25,590
2015-11-26,590
2015-11-27,565
2015-11-28,565
2015-11-29,565
2015-11-30,565
2015-12-01,539
2015-12-02,539
2015-12-03,539
2015-12-04,539
2015-12-05,539
2015-12-06,512
2015-12-07,512
2015-12-08,512
2015-12-09,512
2015-12-10,487
2015-12-11,487
2015-12-12,487
2015-12-13,487
2015-12-14,487
2015-12-15,463
2015-12-16,463
2015-12-17,463
2015-12-18,463
2015-12-19,440
2015-12-20,440
2015-12-21,440
2015-12-22,440
2015-12-23,420
2015-12-24,420
2015-12-25,420
2015-12-26,420
2015-12-27,400
2015-12-28,400
2015-12-29,400
2015-12-30,381
2015-12-31,381
2016-01-01,381
2016-01-02,381
2016-01-03,362
2016-01-04,362
2016-01-05,362
2016-01-06,345
2016-01-07,345
2016-01-08,345
2016-01-09,345
2016-01-10,328
2016-01-11,328
2016-01-12,328
2016-01-13,312
2016-01-14,312
2016-01-15,312
2016-01-16,297
2016-01-17,297
2016-01-18,297
2016-01-19,286
2016-01-20,286
2016-01-21,286
2016-01-22,284
2016-01-23,284
2016-01-24,284
2016-01-25,282
2016-01-26,282
2016-01-27,282
2016-01-28,282
2016-01-29,279
2016-01-30,279
2016-01-31,279
2016-02-01,279
2016-02-02,280
2016-02-03,280
2016-02-04,280
2016-02-05,280
2016-02-06,273
2016-02-07,273
2016-02-08,273
2016-02-09,273
2016-02-10,259
2016-02-11,259
2016-02-12,259
2016-02-13,250
2016-02-14,250
2016-02-15,250
2016-02-16,250
2016-02-17,260
2016-02-18,260
2016-02-19,260
2016-02-20,260
2016-02-21,264
2016-02-22,264
2016-02-23,264
2016-02-24,264
2016-02-25,257
2016-02-26,257
2016-02-27,257
2016-02-28,257
2016-02-29,244
2016-03-01,244
2016-03-02,244
2016-03-03,235
2016-03-04,235
2016-03-05,235
2016-03-06,237
2016-03-07,237
2016-03-08,237
2016-03-09,237
2016-03-10,235
2016-03-11,235
2016-03-12,235
2016-03-13,235
2016-03-14,236
2016-03-15,236
2016-03-16,236
2016-03-17,236
2016-03-18,236
2016-03-19,236
2016-03-20,241
2016-03-21,241
2016-03-22,241
2016-03-23,241
2016-03-24,239
2016-03-25,239
2016-03-26,239
2016-03-27,245
2016-03-28,245
2016-03-29,245
2016-03-30,249
2016-03-31,249
2016-04-01,249
2016-04-02,249
2016-04-03,257
2016-04-04,257
2016-04-05,257
2016-04-06,257
2016-04-07,255
2016-04-08,255
2016-04-09,255
2016-04-10,251
2016-04-11,251
2016-04-12,251
2016-04-13,251
2016-04-14,258
2016-04-15,258
2016-04-16,258
2016-04-17,271
2016-04-18,271
2016-04-19,271
2016-04-20,277
2016-04-21,277
2016-04-22,277
2016-04-23,277
2016-04-24,265
2016-04-25,265
2016-04-26,265
2016-04-27,272
2016-04-28,272
2016-04-29,272
2016-04-30,278
2016-05-01,278
2016-05-02,278
2016-05-03,278
2016-05-04,278
2016-05-05,278
2016-05-06,278
2016-05-07,267
2016-05-08,267
2016-05-09,267
2016-05-10,264
2016-05-11,264
2016-05-12,264
2016-05-13,263
2016-05-14,263
2016-05-15,263
2016-05-16,252
2016-05-17,252
2016-05-18,252
2016-05-19,255
2016-05-22,243
2016-05-23,243
2016-05-24,243
2016-05-25,230
2016-05-26,230
2016-05-27,219
2016-05-28,219
2016-05-29,219
2016-05-30,208
2016-05-31,208
2016-06-01,208
2016-06-02,198
2016-06-03,198
2016-06-04,198
2016-06-05,192
2016-06-06,192
2016-06-07,192
2016-06-08,190
2016-06-09,190
2016-06-10,190
2016-06-11,187
2016-06-12,187
2016-06-13,187
2016-06-14,179
2016-06-15,179
