date_obj,Blue%20wizard%20hat price
2015-03-26,497
2015-03-27,473
2015-03-28,474
2015-03-29,478
2015-03-30,486
2015-03-31,486
2015-04-01,480
2015-04-02,472
2015-04-03,471
2015-04-04,473
2015-04-05,470
2015-04-06,474
2015-04-07,477
2015-04-08,484
2015-04-09,482
2015-04-10,504
2015-04-11,524
2015-04-12,544
2015-04-13,554
2015-04-14,578
2015-04-15,573
2015-04-16,547
2015-04-17,519
2015-04-18,493
2015-04-19,481
2015-04-20,488
2015-04-21,495
2015-04-22,508
2015-04-23,503
2015-04-24,481
2015-04-25,466
2015-04-26,453
2015-04-27,439
2015-04-28,448
2015-04-29,453
2015-04-30,460
2015-05-01,461
2015-05-02,461
2015-05-03,458
2015-05-04,456
2015-05-05,466
2015-05-06,472
2015-05-07,482
2015-05-08,491
2015-05-09,491
2015-05-10,497
2015-05-11,516
2015-05-12,512
2015-05-13,517
2015-05-14,511
2015-05-15,519
2015-05-16,537
2015-05-17,544
2015-05-18,556
2015-05-19,559
2015-05-20,558
2015-05-21,548
2015-05-22,543
2015-05-23,539
2015-05-24,522
2015-05-25,499
2015-05-26,479
2015-05-27,459
2015-05-28,436
2015-05-29,414
2015-05-30,400
2015-05-31,394
2015-06-01,377
2015-06-02,370
2015-06-03,359
2015-06-04,356
2015-06-05,361
2015-06-06,377
2015-06-07,383
2015-06-08,367
2015-06-09,348
2015-06-10,336
2015-06-11,339
2015-06-12,329
2015-06-13,332
2015-06-14,338
2015-06-15,341
2015-06-16,351
2015-06-17,357
2015-06-18,361
2015-06-19,376
2015-06-20,379
2015-06-21,395
2015-06-22,411
2015-06-23,424
2015-06-24,438
2015-06-25,445
2015-06-26,444
2015-06-27,432
2015-06-28,440
2015-06-29,436
2015-06-30,431
2015-07-01,430
2015-07-02,431
2015-07-03,422
2015-07-04,416
2015-07-05,425
2015-07-06,432
2015-07-07,432
2015-07-08,446
2015-07-09,458
2015-07-10,469
2015-07-11,474
2015-07-12,491
2015-07-13,499
2015-07-14,498
2015-07-15,510
2015-07-16,503
2015-07-17,496
2015-07-18,502
2015-07-19,500
2015-07-20,484
2015-07-21,462
2015-07-22,438
2015-07-23,416
2015-07-24,395
2015-07-25,375
2015-07-26,356
2015-07-27,349
2015-07-28,358
2015-07-29,367
2015-07-30,378
2015-07-31,369
2015-08-01,356
2015-08-02,350
2015-08-03,347
2015-08-04,341
2015-08-05,350
2015-08-06,360
2015-08-07,367
2015-08-08,373
2015-08-09,387
2015-08-10,404
2015-08-11,420
2015-08-12,440
2015-08-13,457
2015-08-14,467
2015-08-15,478
2015-08-16,484
2015-08-17,488
