date_obj,Raw%20anchovies price
2015-03-26,39
2015-03-27,39
2015-03-28,37
2015-03-29,37
2015-03-30,35
2015-03-31,35
2015-04-01,35
2015-04-02,33
2015-04-03,33
2015-04-04,31
2015-04-05,31
2015-04-06,29
2015-04-07,29
2015-04-08,29
2015-04-09,27
2015-04-10,27
2015-04-11,25
2015-04-12,25
2015-04-13,25
2015-04-14,23
2015-04-15,23
2015-04-16,23
2015-04-17,21
2015-04-18,21
2015-04-19,21
2015-04-20,19
2015-04-21,19
2015-04-22,19
2015-04-23,18
2015-04-24,18
2015-04-25,18
2015-04-26,17
2015-04-27,17
2015-04-28,17
2015-04-29,16
2015-04-30,16
2015-05-01,16
2015-05-02,15
2015-05-03,15
2015-05-04,15
2015-05-05,15
2015-05-06,15
2015-05-07,15
2015-05-08,15
2015-05-09,15
2015-05-10,14
2015-05-11,14
2015-05-12,14
2015-05-13,14
2015-05-14,13
2015-05-15,13
2015-05-16,13
2015-05-17,13
2015-05-18,13
2015-05-19,13
2015-05-20,13
2015-05-21,13
2015-05-22,14
2015-05-23,14
2015-05-24,14
2015-05-25,14
2015-05-26,14
2015-05-27,14
2015-05-28,15
2015-05-29,15
2015-05-30,16
2015-05-31,16
2015-06-01,16
2015-06-02,17
2015-06-03,17
2015-06-04,17
2015-06-05,18
2015-06-06,18
2015-06-07,19
2015-06-08,19
2015-06-09,19
2015-06-10,20
2015-06-11,20
2015-06-12,20
2015-06-13,21
2015-06-14,21
2015-06-15,21
2015-06-16,22
2015-06-17,22
2015-06-18,22
2015-06-19,23
2015-06-20,23
2015-06-21,23
2015-06-22,25
2015-06-23,25
2015-06-24,27
2015-06-25,27
2015-06-26,27
2015-06-27,29
2015-06-28,29
2015-06-29,29
2015-06-30,31
2015-07-01,31
2015-07-02,31
2015-07-03,33
2015-07-04,33
2015-07-05,33
2015-07-06,35
2015-07-07,35
2015-07-08,37
2015-07-09,37
2015-07-10,37
2015-07-11,39
2015-07-12,39
2015-07-13,39
2015-07-14,41
2015-07-15,41
2015-07-16,41
2015-07-17,43
2015-07-18,43
2015-07-19,43
2015-07-20,44
2015-07-21,44
2015-07-22,44
2015-07-23,44
2015-07-24,44
2015-07-25,44
2015-07-26,44
2015-07-27,44
2015-07-28,46
2015-07-29,46
2015-07-30,46
2015-07-31,43
2015-08-01,43
2015-08-02,43
2015-08-03,41
2015-08-04,41
2015-08-05,41
2015-08-06,41
2015-08-07,41
2015-08-08,41
2015-08-09,41
2015-08-10,41
2015-08-11,39
2015-08-12,39
2015-08-13,39
2015-08-14,38
2015-08-15,38
2015-08-16,38
2015-08-17,40
2015-08-18,40
2015-08-19,40
2015-08-20,41
2015-08-21,41
2015-08-22,41
2015-08-23,41
2015-08-24,41
2015-08-25,43
2015-08-26,43
2015-08-27,43
2015-08-28,44
2015-08-29,44
2015-08-30,44
2015-08-31,44
2015-09-01,44
2015-09-02,44
2015-09-03,46
2015-09-04,46
2015-09-05,46
2015-09-06,47
2015-09-07,47
2015-09-08,47
2015-09-09,47
2015-09-10,47
2015-09-11,47
2015-09-12,48
2015-09-13,48
2015-09-14,48
2015-09-15,48
2015-09-16,48
2015-09-17,48
2015-09-18,47
2015-09-19,47
2015-09-20,47
2015-09-21,46
2015-09-22,46
2015-09-23,44
2015-09-24,44
2015-09-25,44
2015-09-27,43
2015-09-28,43
2015-09-29,44
2015-09-30,44
2015-10-05,48
2015-10-06,48
2015-10-07,50
2015-10-08,50
2015-10-09,51
2015-10-10,51
2015-10-11,51
2015-10-12,53
2015-10-13,53
2015-10-14,53
2015-10-15,56
2015-10-16,56
2015-10-17,56
2015-10-18,59
2015-10-19,59
2015-10-20,59
2015-10-22,61
2015-10-23,61
2015-10-24,61
2015-10-25,65
2015-10-26,65
