date_obj,Choc-ice price
2015-03-26,30
2015-03-27,30
2015-03-28,30
2015-03-29,30
2015-03-30,30
2015-03-31,30
2015-04-01,30
2015-04-02,30
2015-04-03,30
2015-04-04,30
2015-04-05,30
2015-04-06,30
2015-04-07,30
2015-04-08,30
2015-04-09,30
2015-04-10,30
2015-04-11,30
2015-04-12,30
2015-04-13,30
2015-04-14,30
2015-04-15,30
2015-04-16,30
2015-04-17,30
2015-04-18,30
2015-04-19,30
2015-04-20,30
2015-04-21,30
2015-04-22,30
2015-04-23,30
2015-04-24,30
2015-04-25,30
2015-04-26,30
2015-04-27,30
2015-04-28,30
2015-04-29,30
2015-04-30,30
2015-05-01,30
2015-05-02,30
2015-05-03,30
2015-05-04,30
2015-05-05,30
2015-05-06,30
2015-05-07,31
2015-05-08,31
2015-05-09,31
2015-05-10,31
2015-05-11,31
2015-05-12,31
2015-05-13,31
2015-05-14,31
2015-05-15,31
2015-05-16,31
2015-05-17,31
2015-05-18,31
2015-05-19,31
2015-05-20,31
2015-05-21,31
2015-05-22,31
2015-05-23,31
2015-05-24,31
2015-05-25,31
2015-05-26,31
2015-05-27,31
2015-05-28,31
2015-05-29,31
2015-05-30,31
2015-05-31,31
2015-06-01,31
2015-06-02,31
2015-06-03,31
2015-06-04,31
2015-06-05,31
2015-06-06,31
2015-06-07,31
2015-06-08,31
2015-06-09,31
2015-06-10,31
2015-06-11,31
2015-06-12,31
2015-06-13,31
2015-06-14,31
2015-06-15,31
2015-06-16,31
2015-06-17,31
2015-06-18,31
2015-06-19,31
2015-06-20,31
2015-06-21,31
2015-06-22,31
2015-06-23,31
2015-06-24,31
2015-06-25,31
2015-06-26,31
2015-06-27,31
2015-06-28,31
2015-06-29,31
2015-06-30,31
2015-07-01,31
2015-07-02,31
2015-07-03,31
2015-07-04,31
2015-07-05,31
2015-07-06,31
2015-07-07,31
2015-07-08,31
2015-07-09,31
2015-07-10,31
2015-07-11,31
2015-07-12,31
2015-07-13,31
