date_obj,Assorted%20flowers price
2015-03-04,2050
2015-03-05,1956
2015-03-06,1956
2015-03-07,1956
2015-03-08,1956
2015-03-09,1956
2015-03-10,1863
2015-03-11,1863
2015-03-12,1863
2015-03-13,1863
2015-03-14,1863
2015-03-15,1775
2015-03-16,1775
2015-03-17,1775
2015-03-18,1775
2015-03-19,1775
2015-03-20,1775
2015-03-21,1693
2015-03-22,1693
2015-03-23,1693
2015-03-24,1693
2015-03-25,1693
2015-03-26,1613
2015-03-27,1613
2015-03-28,1613
2015-03-29,1613
2015-03-30,1613
2015-03-31,1536
2015-04-01,1536
2015-04-02,1536
2015-04-03,1536
2015-04-04,1536
2015-04-05,1463
2015-04-06,1463
2015-04-07,1463
2015-04-08,1463
2015-04-09,1463
2015-04-10,1391
2015-04-11,1391
2015-04-12,1391
2015-04-13,1391
2015-04-14,1391
2015-04-15,1324
2015-04-16,1324
2015-04-17,1324
2015-04-18,1324
2015-04-19,1324
2015-04-20,1324
2015-04-21,1258
2015-04-22,1258
2015-04-23,1258
2015-04-24,1258
2015-04-25,1258
2015-04-26,1258
2015-04-27,1197
2015-04-28,1197
2015-04-29,1197
2015-04-30,1197
2015-05-01,1197
2015-05-02,1141
2015-05-03,1141
2015-05-04,1141
2015-05-05,1141
2015-05-06,1141
2015-05-07,1141
2015-05-08,1141
2015-05-09,1085
2015-05-10,1085
2015-05-11,1085
2015-05-12,1085
2015-05-13,1085
2015-05-14,1085
2015-05-15,1085
2015-05-16,1032
2015-05-17,1032
2015-05-18,1032
2015-05-19,1032
2015-05-20,1032
2015-05-21,1032
2015-05-22,1032
2015-05-23,982
2015-05-24,982
2015-05-25,982
2015-05-26,982
2015-05-27,982
2015-05-28,935
2015-05-29,935
2015-05-30,935
2015-05-31,935
2015-06-01,935
2015-06-02,935
2015-06-03,893
2015-06-04,893
2015-06-05,893
2015-06-06,893
2015-06-07,893
2015-06-08,893
2015-06-09,850
2015-06-10,850
2015-06-11,850
2015-06-12,850
2015-06-13,850
2015-06-14,850
2015-06-15,850
2015-06-16,809
2015-06-17,809
2015-06-18,809
2015-06-19,809
2015-06-20,809
2015-06-21,809
2015-06-22,770
2015-06-23,770
2015-06-24,770
2015-06-25,770
2015-06-26,770
2015-06-27,770
2015-06-28,732
2015-06-29,732
2015-06-30,732
2015-07-01,732
2015-07-02,732
2015-07-03,732
2015-07-04,732
2015-07-05,696
2015-07-06,696
2015-07-07,696
2015-07-08,696
2015-07-09,696
2015-07-10,696
2015-07-11,696
2015-07-12,663
2015-07-13,663
2015-07-14,663
2015-07-15,663
2015-07-16,663
2015-07-17,663
2015-07-18,632
2015-07-19,632
2015-07-20,632
2015-07-21,632
2015-07-22,632
2015-07-23,632
2015-07-24,602
2015-07-25,602
2015-07-26,602
2015-07-27,602
2015-07-28,602
2015-07-29,602
2015-07-30,573
2015-07-31,573
2015-08-01,573
2015-08-02,573
2015-08-03,573
2015-08-04,573
2015-08-05,546
2015-08-06,546
2015-08-07,546
2015-08-08,546
2015-08-09,546
2015-08-10,546
2015-08-11,546
2015-08-12,520
2015-08-13,520
2015-08-14,520
2015-08-15,520
2015-08-16,520
2015-08-17,520
2015-08-18,520
2015-08-19,520
2015-08-20,520
2015-08-21,497
2015-08-22,497
2015-08-23,497
2015-08-24,497
2015-08-25,497
2015-08-26,497
2015-08-27,497
2015-08-28,497
2015-08-29,497
2015-08-30,497
2015-08-31,474
2015-09-02,474
2015-09-07,474
2015-09-08,474
2015-09-10,474
2015-09-14,451
2015-09-16,451
2015-09-22,429
2015-09-23,429
2015-09-24,429
2015-09-25,429
2015-09-27,429
2015-09-28,429
2015-09-29,429
2015-09-30,429
2015-10-05,409
2015-10-06,409
2015-10-07,409
2015-10-08,409
2015-10-09,409
2015-10-10,409
2015-10-11,409
2015-10-12,409
2015-10-13,409
2015-10-14,409
2015-10-15,409
2015-10-16,409
2015-10-17,409
2015-10-18,390
2015-10-19,390
2015-10-20,390
2015-10-22,390
2015-10-23,390
2015-10-24,390
2015-10-25,390
2015-10-26,390
2015-10-27,390
2015-10-28,390
2015-10-29,390
2015-10-30,371
2015-10-31,371
2015-11-01,371
2015-11-02,371
2015-11-03,371
2015-11-04,371
2015-11-05,371
2015-11-06,371
2015-11-07,371
2015-11-08,371
2015-11-09,371
2015-11-10,371
2015-11-11,371
2015-11-12,371
2015-11-13,354
2015-11-14,354
2015-11-15,354
2015-11-16,354
2015-11-17,354
2015-11-18,354
2015-11-19,354
2015-11-20,354
2015-11-21,354
2015-11-22,354
2015-11-23,354
2015-11-24,354
2015-11-25,354
2015-11-26,338
2015-11-27,338
2015-11-28,338
2015-11-29,338
2015-11-30,338
2015-12-01,338
2015-12-02,338
2015-12-03,338
2015-12-04,338
2015-12-05,338
2015-12-06,338
2015-12-07,338
2015-12-08,338
2015-12-09,322
2015-12-10,322
2015-12-11,322
2015-12-12,322
2015-12-13,322
2015-12-14,322
2015-12-15,322
2015-12-16,322
2015-12-17,322
2015-12-18,322
2015-12-19,322
2015-12-20,322
2015-12-21,307
2015-12-22,307
2015-12-23,307
2015-12-24,307
2015-12-25,307
2015-12-26,307
2015-12-27,307
2015-12-28,307
2015-12-29,307
2015-12-30,307
2015-12-31,307
2016-01-01,307
2016-01-02,292
2016-01-03,292
2016-01-04,292
2016-01-05,292
2016-01-06,292
2016-01-07,292
2016-01-08,292
2016-01-09,292
2016-01-10,292
2016-01-11,292
2016-01-12,292
2016-01-13,278
2016-01-14,278
2016-01-15,278
2016-01-16,278
2016-01-17,278
2016-01-18,278
2016-01-19,278
2016-01-20,278
2016-01-21,278
2016-01-22,278
2016-01-23,278
2016-01-24,265
2016-01-25,265
2016-01-26,265
2016-01-27,265
2016-01-28,265
2016-01-29,265
2016-01-30,265
2016-01-31,265
2016-02-01,265
2016-02-02,265
2016-02-03,265
2016-02-04,252
2016-02-05,252
2016-02-06,252
2016-02-07,252
2016-02-08,252
2016-02-09,252
2016-02-10,252
2016-02-11,252
2016-02-12,252
2016-02-13,252
2016-02-14,252
2016-02-15,240
2016-02-16,240
2016-02-17,240
2016-02-18,240
2016-02-19,240
2016-02-20,240
2016-02-21,240
2016-02-22,240
2016-02-23,240
2016-02-24,240
2016-02-25,240
