date_obj,Iron%20crossbow price
2015-03-26,15208
2015-03-27,15208
2015-03-28,15208
2015-03-29,14450
2015-03-30,14450
2015-03-31,14450
2015-04-01,14450
2015-04-02,14450
2015-04-03,14450
2015-04-04,14450
2015-04-05,14450
2015-04-06,14450
2015-04-07,14450
2015-04-08,14450
2015-04-09,14450
2015-04-10,13734
2015-04-11,13734
2015-04-12,13734
2015-04-13,13734
2015-04-14,13734
2015-04-15,13734
2015-04-16,13734
2015-04-17,13734
2015-04-18,13734
2015-04-19,13734
2015-04-20,13734
2015-04-21,13734
2015-04-22,13085
2015-04-23,13085
2015-04-24,13085
2015-04-25,13085
2015-04-26,13085
2015-04-27,13085
2015-04-28,13085
2015-04-29,13085
2015-04-30,13085
2015-05-01,13085
2015-05-02,13085
2015-05-03,12437
2015-05-04,12437
2015-05-05,12437
2015-05-06,12437
2015-05-07,12437
2015-05-08,12437
2015-05-09,12437
2015-05-10,12437
2015-05-11,12437
2015-05-12,12437
2015-05-13,12437
2015-05-14,12437
2015-05-15,12437
2015-05-16,12437
2015-05-17,11830
2015-05-18,11830
2015-05-19,11830
2015-05-20,11830
2015-05-21,11830
2015-05-22,11830
2015-05-23,11830
2015-05-24,11830
2015-05-25,11830
2015-05-26,11830
2015-05-27,11830
2015-05-28,11238
2015-05-29,11238
2015-05-30,11238
2015-05-31,11238
2015-06-01,11238
2015-06-02,11238
2015-06-03,11238
2015-06-04,11238
2015-06-05,11238
2015-06-06,10698
2015-06-07,10698
2015-06-08,10698
2015-06-09,10698
2015-06-10,10698
2015-06-11,10698
2015-06-12,10698
2015-06-13,10698
2015-06-14,10698
2015-06-15,10172
2015-06-16,10172
2015-06-17,10172
2015-06-18,10172
2015-06-19,10172
2015-06-20,10172
2015-06-21,10172
2015-06-22,10172
2015-06-23,10172
2015-06-24,9682
2015-06-25,9682
2015-06-26,9682
2015-06-27,9682
2015-06-28,9682
2015-06-29,9682
2015-06-30,9682
2015-07-01,9682
2015-07-02,9682
2015-07-03,9225
2015-07-04,9225
2015-07-05,9225
2015-07-06,9225
2015-07-07,9225
