date_obj,Marrentill%20potion%20(unf) price
2015-03-26,62
2015-03-27,62
2015-03-28,62
2015-03-29,58
2015-03-30,58
2015-03-31,58
2015-04-01,58
2015-04-02,58
2015-04-03,58
2015-04-04,56
2015-04-05,56
2015-04-06,56
2015-04-07,56
2015-04-08,56
2015-04-09,56
2015-04-10,56
2015-04-11,53
2015-04-12,53
2015-04-13,53
2015-04-14,53
2015-04-15,53
2015-04-16,53
2015-04-17,53
2015-04-18,50
2015-04-19,50
2015-04-20,50
2015-04-21,50
2015-04-22,50
2015-04-23,50
2015-04-24,50
2015-04-25,50
2015-04-26,47
2015-04-27,47
2015-04-28,47
2015-04-29,47
2015-04-30,47
2015-05-01,47
2015-05-02,47
2015-05-03,44
2015-05-04,44
2015-05-05,44
2015-05-06,44
2015-05-07,44
2015-05-08,44
2015-05-09,44
2015-05-10,43
2015-05-11,43
2015-05-12,43
2015-05-13,43
2015-05-14,43
2015-05-15,43
2015-05-16,43
2015-05-17,43
2015-05-18,41
2015-05-19,41
2015-05-20,41
2015-05-21,41
2015-05-22,41
2015-05-23,41
2015-05-24,41
2015-05-25,41
2015-05-26,41
2015-05-27,41
2015-05-28,40
2015-05-29,40
2015-05-30,40
2015-05-31,40
2015-06-01,40
2015-06-02,40
2015-06-03,39
2015-06-04,39
2015-06-05,39
2015-06-06,39
2015-06-07,39
2015-06-08,39
2015-06-09,38
2015-06-10,38
2015-06-11,38
2015-06-12,38
2015-06-13,38
2015-06-14,38
2015-06-15,38
2015-06-16,37
2015-06-17,37
2015-06-18,37
2015-06-19,37
2015-06-20,37
2015-06-21,37
2015-06-22,35
2015-06-23,35
2015-06-24,35
2015-06-25,35
2015-06-26,35
2015-06-27,35
2015-06-28,35
2015-06-29,33
2015-06-30,33
2015-07-01,33
2015-07-02,33
2015-07-03,33
2015-07-04,33
2015-07-05,33
2015-07-06,33
2015-07-07,33
2015-07-08,33
2015-07-09,33
2015-07-10,33
2015-07-11,33
2015-07-12,33
2015-07-13,32
2015-07-14,32
