date_obj,Soft%20clay price
2015-03-26,260
2015-03-27,260
2015-03-28,255
2015-03-29,255
2015-03-30,265
2015-03-31,266
2015-04-01,270
2015-04-02,270
2015-04-03,273
2015-04-04,265
2015-04-05,255
2015-04-06,244
2015-04-07,231
2015-04-08,220
2015-04-09,216
2015-04-10,212
2015-04-11,204
2015-04-12,193
2015-04-13,185
2015-04-14,181
2015-04-15,185
2015-04-16,188
2015-04-17,190
2015-04-18,189
2015-04-19,187
2015-04-20,181
2015-04-21,178
2015-04-22,181
2015-04-23,185
2015-04-24,187
2015-04-25,191
2015-04-26,193
2015-04-27,194
2015-04-28,195
2015-04-29,196
2015-04-30,199
2015-05-01,203
2015-05-02,209
2015-05-03,209
2015-05-04,204
2015-05-05,196
2015-05-06,190
2015-05-07,188
2015-05-08,183
2015-05-09,179
2015-05-10,180
2015-05-11,177
2015-05-12,173
2015-05-13,169
2015-05-14,163
2015-05-15,158
2015-05-16,157
2015-05-17,154
2015-05-18,148
2015-05-19,150
2015-05-20,147
2015-05-21,147
2015-05-22,143
2015-05-23,135
2015-05-24,128
2015-05-25,123
2015-05-26,125
2015-05-27,132
2015-05-28,139
2015-05-29,140
2015-05-30,145
2015-05-31,152
2015-06-01,159
2015-06-02,165
2015-06-03,171
2015-06-04,172
2015-06-05,178
2015-06-06,183
2015-06-07,190
2015-06-08,199
2015-06-09,207
2015-06-10,215
2015-06-11,226
2015-06-12,235
2015-06-13,246
2015-06-14,259
2015-06-15,264
2015-06-16,258
2015-06-17,268
2015-06-18,261
2015-06-19,257
2015-06-20,260
2015-06-21,263
2015-06-22,267
2015-06-23,277
2015-06-24,281
2015-06-25,285
2015-06-26,292
2015-06-27,288
2015-06-28,293
2015-06-29,287
2015-06-30,295
2015-07-01,304
2015-07-02,301
2015-07-03,298
2015-07-04,296
2015-07-05,294
2015-07-06,284
2015-07-07,273
2015-07-08,261
2015-07-09,247
2015-07-10,235
2015-07-11,223
2015-07-12,213
2015-07-13,208
2015-07-14,206
2015-07-15,207
2015-07-16,200
2015-07-17,200
2015-07-18,194
2015-07-19,190
2015-07-20,184
2015-07-21,178
2015-07-22,171
2015-07-23,175
2015-07-24,177
2015-07-25,183
2015-07-26,184
2015-07-27,180
2015-07-28,180
2015-07-29,181
2015-07-30,172
2015-07-31,176
2015-08-01,177
2015-08-02,175
2015-08-03,172
2015-08-04,171
2015-08-05,171
2015-08-06,170
2015-08-07,168
2015-08-08,166
2015-08-09,163
2015-08-10,157
2015-08-11,154
2015-08-12,154
2015-08-13,153
2015-08-14,151
2015-08-15,152
2015-08-16,149
2015-08-17,149
2015-08-18,152
2015-08-19,148
2015-08-20,146
2015-08-21,148
2015-08-22,151
2015-08-23,155
2015-08-24,155
2015-08-25,151
2015-08-26,156
2015-08-27,156
2015-08-28,160
2015-08-29,160
2015-08-30,156
2015-08-31,152
2015-09-01,151
2015-09-02,144
2015-09-03,140
2015-09-04,139
2015-09-05,139
2015-09-06,138
2015-09-07,137
2015-09-08,137
2015-09-09,141
2015-09-10,141
2015-09-11,145
2015-09-12,147
2015-09-13,151
2015-09-14,147
2015-09-15,148
2015-09-16,143
2015-09-17,144
2015-09-18,141
2015-09-19,144
2015-09-20,142
2015-09-21,149
2015-09-22,144
2015-09-23,142
2015-09-24,142
2015-09-25,144
2015-09-27,140
2015-09-28,140
2015-09-29,144
2015-09-30,146
2015-10-05,142
2015-10-06,137
2015-10-07,138
2015-10-08,136
2015-10-09,136
2015-10-10,136
2015-10-11,138
2015-10-12,139
2015-10-13,136
