date_obj,Mithril%20dart%20tip price
2015-03-26,106
2015-03-27,106
2015-03-28,106
2015-03-29,106
2015-03-30,104
2015-03-31,104
2015-04-01,104
2015-04-02,104
2015-04-03,104
2015-04-04,104
2015-04-05,104
2015-04-06,104
2015-04-07,104
2015-04-08,104
2015-04-09,104
2015-04-10,103
2015-04-11,103
2015-04-12,103
2015-04-13,104
2015-04-14,104
2015-04-15,104
2015-04-16,105
2015-04-17,105
2015-04-18,105
2015-04-19,105
2015-04-20,105
2015-04-21,105
2015-04-22,105
2015-04-23,103
2015-04-24,103
2015-04-25,103
2015-04-26,103
2015-04-27,104
2015-04-28,104
2015-04-29,104
2015-04-30,106
2015-05-01,106
2015-05-02,106
2015-05-03,104
2015-05-04,104
2015-05-05,104
2015-05-06,103
2015-05-07,103
2015-05-08,103
2015-05-09,102
2015-05-10,102
2015-05-11,102
2015-05-12,101
2015-05-13,101
2015-05-14,101
2015-05-15,101
2015-05-16,101
2015-05-17,101
2015-05-18,101
2015-05-19,101
2015-05-20,101
2015-05-21,101
2015-05-22,103
2015-05-23,103
2015-05-24,103
2015-05-25,102
2015-05-26,102
2015-05-27,102
2015-05-28,99
2015-05-29,99
2015-05-30,100
2015-05-31,100
2015-06-01,101
2015-06-02,101
2015-06-03,101
2015-06-04,100
2015-06-05,100
2015-06-06,102
2015-06-07,102
2015-06-08,102
2015-06-09,101
2015-06-10,101
2015-06-11,104
2015-06-12,104
2015-06-13,108
2015-06-14,108
2015-06-15,109
2015-06-16,109
2015-06-17,109
2015-06-18,109
2015-06-19,107
2015-06-20,107
2015-06-21,106
2015-06-22,106
2015-06-23,103
2015-06-24,103
2015-06-25,103
2015-06-26,106
2015-06-27,106
2015-06-28,105
2015-06-29,105
2015-06-30,105
2015-07-01,108
2015-07-02,108
2015-07-03,110
2015-07-04,110
2015-07-05,111
2015-07-06,111
2015-07-07,114
2015-07-08,114
2015-07-09,117
2015-07-10,117
2015-07-11,117
2015-07-12,117
2015-07-13,113
2015-07-14,113
2015-07-15,108
2015-07-16,108
2015-07-17,105
2015-07-18,105
2015-07-19,101
2015-07-20,101
2015-07-21,101
2015-07-22,99
2015-07-23,99
2015-07-24,102
2015-07-25,102
2015-07-26,104
2015-07-27,104
2015-07-28,103
2015-07-29,101
2015-07-30,101
2015-07-31,100
2015-08-01,100
2015-08-02,102
2015-08-03,102
2015-08-04,103
2015-08-05,104
2015-08-06,104
2015-08-07,101
2015-08-08,101
2015-08-09,102
2015-08-10,102
2015-08-11,101
2015-08-12,101
2015-08-13,99
2015-08-14,99
2015-08-15,99
2015-08-16,99
2015-08-17,102
2015-08-18,103
2015-08-19,104
2015-08-20,104
2015-08-21,106
2015-08-22,106
2015-08-23,107
2015-08-24,107
2015-08-25,107
2015-08-26,108
2015-08-27,109
2015-08-28,109
2015-08-29,110
2015-08-30,110
2015-08-31,107
2015-09-01,107
2015-09-02,104
2015-09-03,104
2015-09-04,104
2015-09-05,104
2015-09-06,104
2015-09-07,106
2015-09-08,106
2015-09-09,109
2015-09-10,109
2015-09-11,112
2015-09-12,112
2015-09-13,109
2015-09-14,109
2015-09-15,111
2015-09-16,111
2015-09-17,113
2015-09-18,113
2015-09-19,115
2015-09-20,115
2015-09-21,114
2015-09-22,114
2015-09-23,115
2015-09-24,115
2015-09-25,115
2015-09-27,111
2015-09-28,110
2015-09-29,110
2015-09-30,112
2015-10-05,110
2015-10-06,110
2015-10-07,114
2015-10-08,114
2015-10-09,115
2015-10-10,115
2015-10-11,116
2015-10-12,116
2015-10-13,114
2015-10-14,114
2015-10-15,109
2015-10-16,109
2015-10-17,111
2015-10-18,111
2015-10-19,113
2015-10-20,113
2015-10-22,114
2015-10-23,116
2015-10-24,116
2015-10-25,117
2015-10-26,117
2015-10-27,117
2015-10-29,114
2015-10-30,114
2015-10-31,115
2015-11-01,115
2015-11-02,114
2015-11-03,114
2015-11-04,114
2015-11-05,115
2015-11-06,115
2015-11-07,114
2015-11-08,114
2015-11-09,114
2015-11-10,116
2015-11-11,116
2015-11-12,117
2015-11-13,117
2015-11-14,117
2015-11-15,120
2015-11-16,120
2015-11-17,120
2015-11-18,119
2015-11-19,119
2015-11-20,119
2015-11-21,119
2015-11-22,118
2015-11-23,118
2015-11-24,118
2015-11-25,119
2015-11-26,119
2015-11-27,119
2015-11-28,120
2015-11-29,120
2015-11-30,119
2015-12-01,119
2015-12-02,118
2015-12-03,118
2015-12-04,117
2015-12-05,117
2015-12-06,117
2015-12-07,117
2015-12-08,116
2015-12-09,113
2015-12-10,113
2015-12-11,114
2015-12-12,114
2015-12-13,114
2015-12-14,114
2015-12-15,114
2015-12-16,114
2015-12-17,113
