date_obj,Garlic%20powder price
2015-03-04,10
2015-03-05,10
2015-03-06,10
2015-03-07,10
2015-03-08,10
2015-03-09,10
2015-03-10,10
2015-03-11,10
2015-03-12,10
2015-03-13,10
2015-03-14,10
2015-03-15,10
2015-03-16,10
2015-03-17,10
2015-03-18,10
2015-03-19,10
2015-03-20,10
2015-03-21,10
2015-03-22,10
2015-03-23,10
2015-03-24,10
2015-03-25,10
2015-03-26,10
2015-03-27,10
2015-03-28,10
2015-03-29,10
2015-03-30,10
2015-03-31,10
2015-04-01,10
2015-04-02,10
2015-04-03,11
2015-04-04,11
2015-04-05,11
2015-04-06,11
2015-04-07,11
2015-04-08,11
2015-04-09,11
2015-04-10,11
2015-04-11,12
2015-04-12,12
2015-04-13,12
2015-04-14,12
2015-04-15,12
2015-04-16,12
2015-04-17,12
2015-04-18,12
2015-04-19,12
2015-04-20,12
2015-04-21,13
2015-04-22,13
2015-04-23,13
2015-04-24,13
2015-04-25,13
2015-04-26,13
2015-04-27,13
2015-04-28,13
2015-04-29,13
2015-04-30,14
2015-05-01,14
2015-05-02,14
2015-05-03,14
2015-05-04,14
2015-05-05,14
2015-05-06,14
2015-05-07,14
2015-05-08,14
2015-05-09,14
2015-05-10,15
2015-05-11,15
2015-05-12,15
2015-05-13,15
2015-05-14,15
2015-05-15,15
2015-05-16,15
2015-05-17,15
2015-05-18,15
2015-05-19,15
2015-05-20,15
2015-05-21,16
2015-05-22,16
2015-05-23,16
2015-05-24,16
2015-05-25,16
2015-05-26,16
2015-05-27,16
2015-05-28,16
2015-05-29,16
2015-05-30,16
2015-05-31,16
2015-06-01,16
2015-06-02,16
2015-06-03,16
2015-06-04,16
2015-06-05,16
2015-06-06,16
2015-06-07,16
2015-06-08,16
2015-06-09,16
2015-06-10,16
2015-06-11,16
2015-06-12,16
2015-06-13,16
2015-06-14,16
2015-06-15,16
2015-06-16,16
2015-06-17,17
2015-06-18,17
2015-06-19,17
2015-06-20,17
2015-06-21,17
2015-06-22,17
2015-06-23,17
2015-06-24,17
2015-06-25,17
2015-06-26,18
2015-06-27,18
2015-06-28,18
2015-06-29,18
2015-06-30,18
2015-07-01,18
2015-07-02,18
2015-07-03,18
2015-07-04,18
2015-07-05,18
2015-07-06,18
2015-07-07,19
2015-07-08,19
2015-07-09,19
2015-07-10,19
2015-07-11,19
2015-07-12,19
2015-07-13,19
2015-07-14,19
2015-07-15,19
2015-07-16,19
2015-07-17,20
2015-07-18,20
2015-07-19,20
2015-07-20,20
2015-07-21,20
2015-07-22,20
2015-07-23,20
2015-07-24,20
2015-07-25,20
2015-07-26,20
2015-07-27,20
2015-07-28,21
2015-07-29,21
2015-07-30,21
2015-07-31,21
2015-08-01,21
2015-08-02,21
2015-08-03,21
2015-08-04,21
2015-08-05,23
2015-08-06,23
2015-08-07,23
2015-08-08,23
2015-08-09,23
2015-08-10,23
2015-08-11,23
2015-08-12,23
2015-08-13,23
2015-08-14,23
2015-08-15,23
2015-08-16,24
2015-08-17,24
2015-08-18,24
2015-08-19,24
2015-08-20,24
2015-08-21,24
2015-08-22,24
2015-08-23,24
2015-08-24,25
2015-08-25,25
2015-08-26,25
2015-08-27,25
2015-08-28,25
2015-08-29,25
2015-08-30,25
2015-09-02,25
2015-09-07,26
2015-09-08,26
2015-09-10,26
2015-09-14,26
2015-09-16,27
2015-09-22,29
2015-09-23,29
2015-09-24,29
2015-09-25,29
2015-09-27,31
2015-09-28,31
2015-09-29,31
2015-09-30,31
2015-10-05,32
2015-10-06,32
2015-10-07,32
2015-10-08,34
2015-10-09,34
2015-10-10,34
2015-10-11,34
2015-10-12,34
2015-10-13,34
2015-10-14,34
2015-10-15,34
2015-10-16,34
2015-10-17,34
2015-10-18,36
2015-10-19,36
2015-10-20,36
2015-10-22,36
2015-10-23,38
2015-10-24,38
2015-10-25,38
2015-10-26,38
2015-10-27,38
2015-10-29,40
2015-10-30,40
2015-10-31,40
2015-11-01,40
2015-11-02,40
2015-11-03,40
2015-11-04,40
2015-11-05,41
2015-11-06,41
2015-11-07,41
2015-11-08,41
2015-11-09,41
2015-11-10,41
2015-11-11,44
2015-11-12,44
2015-11-13,44
2015-11-14,44
2015-11-15,44
2015-11-16,44
2015-11-17,44
2015-11-18,44
2015-11-19,44
2015-11-20,44
2015-11-21,44
2015-11-22,46
2015-11-23,46
2015-11-24,46
2015-11-25,46
2015-11-26,46
2015-11-27,46
2015-11-28,48
2015-11-29,48
2015-11-30,48
2015-12-01,48
2015-12-02,50
2015-12-03,50
2015-12-04,50
2015-12-05,50
2015-12-06,50
2015-12-07,52
2015-12-08,52
2015-12-09,52
2015-12-10,52
2015-12-11,52
2015-12-12,52
2015-12-13,53
2015-12-14,53
2015-12-15,53
2015-12-16,53
2015-12-17,53
2015-12-18,56
2015-12-19,56
2015-12-20,56
2015-12-21,56
2015-12-22,58
2015-12-23,58
2015-12-24,58
2015-12-25,58
2015-12-26,58
2015-12-27,61
2015-12-28,61
2015-12-29,61
2015-12-30,64
2015-12-31,64
2016-01-01,64
2016-01-02,64
2016-01-03,67
2016-01-04,67
2016-01-05,67
2016-01-06,67
2016-01-07,70
2016-01-08,70
2016-01-09,70
2016-01-10,70
2016-01-11,70
2016-01-12,72
2016-01-13,72
2016-01-14,72
2016-01-15,72
2016-01-16,75
2016-01-17,75
2016-01-18,75
2016-01-19,75
2016-01-20,78
2016-01-21,78
2016-01-22,78
2016-01-23,78
2016-01-24,78
2016-01-25,81
2016-01-26,81
2016-01-27,81
2016-01-28,81
2016-01-29,81
2016-01-30,81
2016-01-31,81
2016-02-01,81
2016-02-02,81
2016-02-03,82
2016-02-04,82
2016-02-05,82
2016-02-06,82
2016-02-07,82
2016-02-08,82
2016-02-09,86
2016-02-10,86
2016-02-11,86
2016-02-12,86
2016-02-13,89
2016-02-14,89
2016-02-15,89
2016-02-16,89
2016-02-17,89
2016-02-18,92
2016-02-19,92
2016-02-20,92
2016-02-21,92
2016-02-22,92
2016-02-23,96
2016-02-24,96
2016-02-25,96
2016-02-26,96
2016-02-27,96
2016-02-28,96
2016-02-29,101
2016-03-01,101
2016-03-02,101
2016-03-03,101
2016-03-04,101
2016-03-05,99
2016-03-06,99
2016-03-07,99
2016-03-08,99
2016-03-09,99
2016-03-10,99
2016-03-11,102
2016-03-12,102
2016-03-13,102
2016-03-14,102
2016-03-15,102
