date_obj,Pearl%20bolts price
2015-03-26,105
2015-03-27,105
2015-03-28,105
2015-03-29,105
2015-03-30,105
2015-03-31,105
2015-04-01,105
2015-04-02,105
2015-04-03,105
2015-04-04,105
2015-04-05,105
2015-04-06,105
2015-04-07,105
2015-04-08,105
2015-04-09,105
2015-04-10,105
2015-04-11,105
2015-04-12,100
2015-04-13,100
2015-04-14,100
2015-04-15,100
2015-04-16,100
2015-04-17,100
2015-04-18,100
2015-04-19,100
2015-04-20,100
2015-04-21,100
2015-04-22,100
2015-04-23,100
2015-04-24,100
2015-04-25,100
2015-04-26,99
2015-04-27,99
2015-04-28,99
2015-04-29,99
2015-04-30,99
2015-05-01,99
2015-05-02,99
2015-05-03,99
2015-05-04,99
2015-05-05,99
2015-05-06,99
2015-05-07,99
2015-05-08,99
2015-05-09,99
2015-05-10,99
2015-05-11,99
2015-05-12,99
2015-05-13,99
2015-05-14,99
2015-05-15,99
2015-05-16,99
2015-05-17,99
2015-05-18,99
2015-05-19,99
2015-05-20,99
2015-05-21,99
2015-05-22,99
2015-05-23,99
2015-05-24,99
2015-05-25,99
2015-05-26,99
2015-05-27,99
2015-05-28,95
2015-05-29,95
2015-05-30,95
2015-05-31,95
2015-06-01,95
2015-06-02,95
2015-06-03,95
2015-06-04,95
2015-06-05,95
2015-06-06,95
2015-06-07,95
2015-06-08,95
2015-06-09,95
2015-06-10,95
2015-06-11,95
2015-06-12,95
2015-06-13,95
2015-06-14,95
2015-06-15,95
2015-06-16,95
2015-06-17,95
2015-06-18,95
2015-06-19,91
2015-06-20,91
2015-06-21,91
2015-06-22,91
2015-06-23,91
2015-06-24,91
2015-06-25,91
2015-06-26,91
2015-06-27,91
2015-06-28,91
2015-06-29,91
2015-06-30,91
2015-07-01,91
2015-07-02,91
2015-07-03,91
2015-07-04,91
2015-07-05,91
2015-07-06,91
2015-07-07,91
2015-07-08,91
2015-07-09,91
2015-07-10,88
2015-07-11,88
2015-07-12,88
2015-07-13,88
2015-07-14,88
2015-07-15,88
2015-07-16,88
2015-07-17,88
2015-07-18,88
2015-07-19,88
2015-07-20,88
2015-07-21,88
2015-07-22,88
2015-07-23,88
2015-07-24,88
2015-07-25,88
2015-07-26,88
2015-07-27,88
2015-07-28,88
2015-07-29,88
2015-07-30,88
2015-07-31,88
2015-08-01,88
2015-08-02,88
2015-08-03,85
2015-08-04,85
2015-08-05,85
2015-08-06,85
2015-08-07,85
2015-08-08,85
2015-08-09,85
2015-08-10,85
2015-08-11,85
2015-08-12,85
2015-08-13,85
2015-08-14,85
2015-08-15,85
2015-08-16,85
2015-08-17,85
2015-08-18,85
2015-08-19,85
2015-08-20,85
2015-08-21,85
2015-08-22,85
2015-08-23,85
2015-08-24,85
2015-08-25,83
2015-08-26,83
2015-08-27,83
2015-08-28,83
2015-08-29,83
2015-08-30,83
2015-08-31,83
2015-09-01,83
2015-09-02,83
2015-09-03,83
2015-09-04,83
2015-09-05,83
2015-09-06,83
2015-09-07,83
2015-09-08,83
2015-09-09,83
2015-09-10,83
2015-09-11,83
2015-09-12,83
2015-09-13,83
2015-09-14,83
2015-09-15,83
2015-09-16,83
2015-09-17,83
2015-09-18,83
2015-09-19,81
2015-09-20,81
2015-09-21,81
2015-09-22,81
2015-09-23,81
2015-09-24,81
2015-09-25,81
2015-09-27,81
2015-09-28,81
2015-09-29,81
2015-09-30,81
2015-10-05,81
2015-10-06,81
2015-10-07,81
2015-10-08,81
2015-10-09,81
2015-10-10,81
2015-10-11,81
2015-10-12,81
2015-10-13,81
2015-10-14,81
2015-10-15,81
2015-10-16,78
2015-10-17,78
