date_obj,Ham%20shirt price
2015-03-26,3580
2015-03-27,3580
2015-03-28,3409
2015-03-29,3245
2015-03-30,3245
2015-03-31,3082
2015-04-01,3082
2015-04-02,2936
2015-04-03,2936
2015-04-04,2789
2015-04-05,2789
2015-04-06,2652
2015-04-07,2652
2015-04-08,2523
2015-04-09,2523
2015-04-10,2396
2015-04-11,2396
2015-04-12,2276
2015-04-13,2276
2015-04-14,2165
2015-04-15,2165
2015-04-16,2060
2015-04-17,2060
2015-04-18,1957
2015-04-19,1957
2015-04-20,1867
2015-04-21,1867
2015-04-22,1776
2015-04-23,1776
2015-04-24,1690
2015-04-25,1690
2015-04-26,1608
2015-04-27,1608
2015-04-28,1527
2015-04-29,1527
2015-04-30,1453
2015-05-01,1453
2015-05-02,1380
2015-05-03,1380
2015-05-04,1315
2015-05-05,1315
2015-05-06,1249
2015-05-07,1249
2015-05-08,1188
2015-05-09,1188
2015-05-10,1128
2015-05-11,1128
2015-05-12,1074
2015-05-13,1074
2015-05-14,1023
2015-05-15,1023
2015-05-16,976
2015-05-17,930
2015-05-18,930
2015-05-19,886
2015-05-20,886
2015-05-21,886
2015-05-22,841
2015-05-23,841
2015-05-24,801
2015-05-25,801
2015-05-26,760
2015-05-27,760
2015-05-28,722
2015-05-29,722
2015-05-30,685
2015-05-31,685
2015-06-01,650
2015-06-02,650
2015-06-03,618
2015-06-04,618
2015-06-05,587
2015-06-06,587
2015-06-07,557
2015-06-08,557
2015-06-09,531
2015-06-10,531
2015-06-11,507
2015-06-12,507
2015-06-13,481
2015-06-14,481
2015-06-15,458
2015-06-16,458
2015-06-17,437
2015-06-18,437
2015-06-19,415
2015-06-20,415
2015-06-21,394
2015-06-22,394
2015-06-23,374
2015-06-24,356
2015-06-25,356
2015-06-26,338
2015-06-27,338
2015-06-28,321
2015-06-29,321
2015-06-30,305
2015-07-01,305
2015-07-02,293
2015-07-03,285
2015-07-04,285
2015-07-05,277
2015-07-06,277
2015-07-07,264
2015-07-08,264
2015-07-09,251
2015-07-10,251
2015-07-11,239
2015-07-12,239
2015-07-13,233
2015-07-14,233
2015-07-15,226
2015-07-16,226
2015-07-17,220
2015-07-18,220
2015-07-19,214
2015-07-20,214
2015-07-21,208
2015-07-22,200
2015-07-23,200
2015-07-24,191
2015-07-25,191
2015-07-26,185
2015-07-27,185
2015-07-28,180
2015-07-29,180
2015-07-30,175
2015-07-31,175
2015-08-01,171
2015-08-02,164
2015-08-03,164
2015-08-04,160
2015-08-05,160
2015-08-06,157
2015-08-07,157
2015-08-08,153
2015-08-09,153
2015-08-10,147
2015-08-11,147
2015-08-12,141
2015-08-13,141
2015-08-14,137
2015-08-15,137
2015-08-16,135
2015-08-17,135
2015-08-18,132
2015-08-19,132
2015-08-20,130
2015-08-21,130
2015-08-22,125
2015-08-23,125
2015-08-24,123
2015-08-25,123
2015-08-26,123
2015-08-27,119
2015-08-28,119
2015-08-29,117
2015-08-30,117
2015-08-31,117
2015-09-01,114
2015-09-02,114
2015-09-03,114
2015-09-04,110
2015-09-05,110
2015-09-06,110
2015-09-07,107
2015-09-08,107
2015-09-09,105
2015-09-10,105
2015-09-11,105
2015-09-12,105
2015-09-13,103
2015-09-14,103
2015-09-15,101
2015-09-16,101
2015-09-17,99
2015-09-18,99
2015-09-19,99
2015-09-20,98
2015-09-21,98
2015-09-22,97
2015-09-23,97
2015-09-24,97
2015-09-25,95
2015-09-27,93
2015-09-28,93
2015-09-29,92
2015-09-30,92
2015-10-05,85
2015-10-06,85
2015-10-07,82
2015-10-08,82
2015-10-09,80
2015-10-10,80
2015-10-11,79
2015-10-12,79
2015-10-13,79
2015-10-14,78
2015-10-15,78
2015-10-16,76
2015-10-17,76
2015-10-18,76
2015-10-19,72
2015-10-20,72
2015-10-22,68
2015-10-23,68
2015-10-24,64
2015-10-25,60
2015-10-26,60
2015-10-27,60
2015-10-29,58
2015-10-30,58
2015-10-31,55
2015-11-01,55
2015-11-02,55
2015-11-03,55
2015-11-04,55
2015-11-05,55
2015-11-06,57
2015-11-07,57
2015-11-08,58
2015-11-09,58
2015-11-10,58
2015-11-11,58
2015-11-12,58
2015-11-13,58
2015-11-14,57
2015-11-15,57
2015-11-16,57
2015-11-17,57
2015-11-18,57
2015-11-19,56
2015-11-20,56
2015-11-21,56
2015-11-22,54
2015-11-23,54
2015-11-24,54
2015-11-25,52
2015-11-26,52
2015-11-27,52
2015-11-28,51
2015-11-29,51
2015-11-30,50
2015-12-01,50
2015-12-02,50
2015-12-03,47
2015-12-04,47
2015-12-05,47
2015-12-06,45
2015-12-07,45
2015-12-08,45
2015-12-09,45
2015-12-10,45
2015-12-11,45
2015-12-12,46
2015-12-13,46
2015-12-14,46
2015-12-15,46
2015-12-16,46
2015-12-17,46
2015-12-18,46
2015-12-19,46
2015-12-20,47
2015-12-21,47
2015-12-22,46
2015-12-23,46
2015-12-24,46
2015-12-25,46
2015-12-26,45
2015-12-27,45
2015-12-28,46
2015-12-29,46
2015-12-30,47
2015-12-31,47
2016-01-01,48
2016-01-02,48
2016-01-03,49
2016-01-04,49
2016-01-05,50
2016-01-06,50
2016-01-07,50
2016-01-08,50
2016-01-09,49
2016-01-10,49
2016-01-11,49
2016-01-12,49
2016-01-13,50
2016-01-14,50
2016-01-15,52
