date_obj,Raw%20chicken price
2015-03-04,190
2015-03-05,195
2015-03-06,198
2015-03-07,191
2015-03-08,186
2015-03-09,184
2015-03-10,178
2015-03-11,172
2015-03-12,167
2015-03-13,165
2015-03-14,158
2015-03-15,150
2015-03-16,142
2015-03-17,135
2015-03-18,128
2015-03-19,123
2015-03-20,121
2015-03-21,115
2015-03-22,109
2015-03-23,103
2015-03-24,99
2015-03-25,98
2015-03-26,101
2015-03-27,101
2015-03-28,105
2015-03-29,108
2015-03-30,113
2015-03-31,112
2015-04-01,108
2015-04-02,102
2015-04-03,96
2015-04-04,91
2015-04-05,86
2015-04-06,81
2015-04-07,76
2015-04-08,73
2015-04-09,75
2015-04-10,72
2015-04-11,70
2015-04-12,69
2015-04-13,69
2015-04-14,71
2015-04-15,70
2015-04-16,69
2015-04-17,66
2015-04-18,62
2015-04-19,58
2015-04-20,57
2015-04-21,59
2015-04-22,62
2015-04-23,65
2015-04-24,65
2015-04-25,69
2015-04-26,73
2015-04-27,73
2015-04-28,70
2015-04-29,70
2015-04-30,66
2015-05-01,62
2015-05-02,58
2015-05-03,56
2015-05-04,53
2015-05-05,50
2015-05-06,50
2015-05-07,51
2015-05-08,50
2015-05-09,48
2015-05-10,49
2015-05-11,49
2015-05-12,49
2015-05-13,49
2015-05-14,49
2015-05-15,50
2015-05-16,50
2015-05-17,51
2015-05-18,51
2015-05-19,52
2015-05-20,52
2015-05-21,53
2015-05-22,50
2015-05-23,51
2015-05-24,53
2015-05-25,56
2015-05-26,57
2015-05-27,58
2015-05-28,61
2015-05-29,61
2015-05-30,64
2015-05-31,67
2015-06-01,70
2015-06-02,73
2015-06-03,73
2015-06-04,72
2015-06-05,71
2015-06-06,71
2015-06-07,71
2015-06-08,69
2015-06-09,67
2015-06-10,67
2015-06-11,66
2015-06-12,66
2015-06-13,65
2015-06-14,65
2015-06-15,61
2015-06-16,57
2015-06-17,57
2015-06-18,59
2015-06-19,60
2015-06-20,61
2015-06-21,60
2015-06-22,59
2015-06-23,58
2015-06-24,58
2015-06-25,59
2015-06-26,58
2015-06-27,57
2015-06-28,57
2015-06-29,57
2015-06-30,56
2015-07-01,56
2015-07-02,56
2015-07-03,56
2015-07-04,56
2015-07-05,55
2015-07-06,54
2015-07-07,55
2015-07-08,55
2015-07-09,55
2015-07-10,55
2015-07-11,55
2015-07-12,56
2015-07-13,56
2015-07-14,57
2015-07-15,60
2015-07-16,61
2015-07-17,58
2015-07-18,60
2015-07-19,60
2015-07-20,59
2015-07-21,58
2015-07-22,60
2015-07-23,60
2015-07-24,57
2015-07-25,54
2015-07-26,51
2015-07-27,49
2015-07-28,48
2015-07-29,48
2015-07-30,49
2015-07-31,47
2015-08-01,49
2015-08-02,49
2015-08-03,49
2015-08-04,48
2015-08-05,48
2015-08-06,49
2015-08-07,49
2015-08-08,48
2015-08-09,48
2015-08-10,47
2015-08-11,46
2015-08-12,45
2015-08-13,44
2015-08-14,45
2015-08-15,46
2015-08-16,44
2015-08-17,44
2015-08-18,45
2015-08-19,45
2015-08-20,45
2015-08-21,45
2015-08-22,43
2015-08-23,43
2015-08-24,46
2015-08-25,46
2015-08-26,49
2015-08-27,49
2015-08-28,50
2015-08-29,51
2015-08-30,51
2015-08-31,53
2015-09-02,56
2015-09-07,67
2015-09-08,69
2015-09-10,69
2015-09-14,81
2015-09-16,91
2015-09-22,102
2015-09-23,102
2015-09-24,98
2015-09-25,97
2015-09-27,103
2015-09-28,107
2015-09-29,112
2015-09-30,116
2015-10-05,134
2015-10-06,133
2015-10-07,135
2015-10-08,140
2015-10-09,142
2015-10-10,142
2015-10-11,149
2015-10-12,155
2015-10-13,161
2015-10-14,164
2015-10-15,161
2015-10-16,157
2015-10-17,149
2015-10-18,141
2015-10-19,135
2015-10-20,132
2015-10-22,128
2015-10-23,127
2015-10-24,128
2015-10-25,127
2015-10-26,123
2015-10-27,122
2015-10-29,113
2015-10-30,107
2015-10-31,102
2015-11-01,102
2015-11-02,98
2015-11-03,94
2015-11-04,89
2015-11-05,84
2015-11-06,80
2015-11-07,78
2015-11-08,77
2015-11-09,77
2015-11-10,76
2015-11-11,73
2015-11-12,69
2015-11-13,68
2015-11-14,67
2015-11-15,65
2015-11-16,63
2015-11-17,60
2015-11-18,58
2015-11-19,59
2015-11-20,59
2015-11-21,59
2015-11-22,57
2015-11-23,57
2015-11-24,54
2015-11-25,51
2015-11-26,51
2015-11-27,53
2015-11-28,54
2015-11-29,53
2015-11-30,53
2015-12-01,52
2015-12-02,52
2015-12-03,52
2015-12-04,51
2015-12-05,50
2015-12-06,48
2015-12-07,47
2015-12-08,46
2015-12-09,46
2015-12-10,47
2015-12-11,48
2015-12-12,49
2015-12-13,50
2015-12-14,50
2015-12-15,51
2015-12-16,51
2015-12-17,51
2015-12-18,52
2015-12-19,50
2015-12-20,52
2015-12-21,53
2015-12-22,52
2015-12-23,52
2015-12-24,51
2015-12-25,48
2015-12-26,45
2015-12-27,44
2015-12-28,42
2015-12-29,42
2015-12-30,41
2015-12-31,42
2016-01-01,42
2016-01-02,42
2016-01-03,41
2016-01-04,40
2016-01-05,41
2016-01-06,42
2016-01-07,43
2016-01-08,44
2016-01-09,46
2016-01-10,45
2016-01-11,45
2016-01-12,47
2016-01-13,50
2016-01-14,53
2016-01-15,56
2016-01-16,59
2016-01-17,62
2016-01-18,66
2016-01-19,70
2016-01-20,74
2016-01-21,78
2016-01-22,82
2016-01-23,87
2016-01-24,90
2016-01-25,94
2016-01-26,99
2016-01-27,103
2016-01-28,103
2016-01-29,109
2016-01-30,115
2016-01-31,121
2016-02-01,128
2016-02-02,135
2016-02-03,142
2016-02-04,138
2016-02-05,138
2016-02-06,134
2016-02-07,129
2016-02-08,124
2016-02-09,117
2016-02-10,115
2016-02-11,111
2016-02-12,105
2016-02-13,103
2016-02-14,106
2016-02-15,106
2016-02-16,108
2016-02-17,105
2016-02-18,105
2016-02-19,100
2016-02-20,97
2016-02-21,93
2016-02-22,89
2016-02-23,88
2016-02-24,87
2016-02-25,86
2016-02-26,83
2016-02-27,81
2016-02-28,79
2016-02-29,77
2016-03-01,78
2016-03-02,75
2016-03-03,74
2016-03-04,71
2016-03-05,72
2016-03-06,71
2016-03-07,71
2016-03-08,70
2016-03-09,71
2016-03-10,69
2016-03-11,68
2016-03-12,67
