date_obj,Bread price
2015-03-26,71
2015-03-27,71
2015-03-28,75
2015-03-29,78
2015-03-30,82
2015-03-31,84
2015-04-01,81
2015-04-02,79
2015-04-03,75
2015-04-04,76
2015-04-05,79
2015-04-06,75
2015-04-07,72
2015-04-08,73
2015-04-09,76
2015-04-10,77
2015-04-11,81
2015-04-12,81
2015-04-13,83
2015-04-14,87
2015-04-15,92
2015-04-16,94
2015-04-17,92
2015-04-18,96
2015-04-19,98
2015-04-20,98
2015-04-21,93
2015-04-22,89
2015-04-23,85
2015-04-24,80
2015-04-25,76
2015-04-26,74
2015-04-27,71
2015-04-28,69
2015-04-29,69
2015-04-30,69
2015-05-01,67
2015-05-02,66
2015-05-03,70
2015-05-04,74
2015-05-05,74
2015-05-06,74
2015-05-07,75
2015-05-08,71
2015-05-09,67
2015-05-10,66
2015-05-11,66
2015-05-12,63
2015-05-13,59
2015-05-14,56
2015-05-15,53
2015-05-16,50
2015-05-17,49
2015-05-18,47
2015-05-19,45
2015-05-20,45
2015-05-21,43
2015-05-22,40
2015-05-23,38
2015-05-24,37
2015-05-25,35
2015-05-26,34
2015-05-27,33
2015-05-28,31
2015-05-29,29
2015-05-30,30
2015-05-31,30
2015-06-01,28
2015-06-02,27
2015-06-03,28
2015-06-04,30
2015-06-05,32
2015-06-06,34
2015-06-07,33
2015-06-08,32
2015-06-09,33
2015-06-10,34
2015-06-11,36
2015-06-12,38
2015-06-13,40
2015-06-14,40
2015-06-15,41
2015-06-16,42
2015-06-17,43
2015-06-18,44
2015-06-19,46
2015-06-20,48
2015-06-21,50
2015-06-22,52
2015-06-23,54
2015-06-24,54
2015-06-25,57
2015-06-26,59
2015-06-27,61
2015-06-28,64
2015-06-29,67
2015-06-30,70
2015-07-01,74
2015-07-02,78
2015-07-03,82
2015-07-04,87
2015-07-05,92
2015-07-06,97
2015-07-07,102
2015-07-08,107
2015-07-09,113
2015-07-10,116
2015-07-11,116
2015-07-12,121
2015-07-13,128
2015-07-14,134
2015-07-15,138
2015-07-16,145
2015-07-17,153
2015-07-18,161
2015-07-19,170
2015-07-20,179
2015-07-21,188
2015-07-22,198
2015-07-23,208
2015-07-24,219
2015-07-25,220
2015-07-26,219
2015-07-27,216
2015-07-28,214
2015-07-29,219
2015-07-30,230
2015-07-31,233
2015-08-01,223
2015-08-02,219
2015-08-03,223
2015-08-04,220
2015-08-05,216
2015-08-06,214
2015-08-07,214
2015-08-08,211
2015-08-09,211
2015-08-10,205
2015-08-11,197
2015-08-12,189
2015-08-13,189
2015-08-14,184
2015-08-15,179
2015-08-16,176
2015-08-17,176
