date_obj,Jug%20of%20water price
2015-03-26,177
2015-03-27,177
2015-03-28,168
2015-03-29,168
2015-03-30,172
2015-03-31,172
2015-04-01,171
2015-04-02,171
2015-04-03,176
2015-04-04,180
2015-04-05,180
2015-04-06,186
2015-04-07,186
2015-04-08,188
2015-04-09,188
2015-04-10,182
2015-04-11,182
2015-04-12,172
2015-04-13,172
2015-04-14,167
2015-04-15,167
2015-04-16,174
2015-04-17,174
2015-04-18,175
2015-04-19,175
2015-04-20,167
2015-04-21,167
2015-04-22,159
2015-04-23,152
2015-04-24,152
2015-04-25,144
2015-04-26,144
2015-04-27,141
2015-04-28,144
2015-04-29,144
2015-04-30,143
2015-05-01,143
2015-05-02,136
2015-05-03,136
2015-05-04,131
2015-05-05,131
2015-05-06,129
2015-05-07,129
2015-05-08,130
2015-05-09,130
2015-05-10,129
2015-05-11,129
2015-05-12,125
2015-05-13,125
2015-05-14,129
2015-05-15,129
2015-05-16,132
2015-05-17,127
2015-05-18,127
2015-05-19,124
2015-05-20,124
2015-05-21,124
2015-05-22,123
2015-05-23,123
2015-05-24,119
2015-05-25,113
2015-05-26,113
2015-05-27,115
2015-05-28,117
2015-05-29,120
2015-05-30,123
2015-05-31,128
2015-06-01,125
2015-06-02,125
2015-06-03,128
2015-06-04,134
2015-06-05,140
2015-06-06,147
2015-06-07,154
2015-06-08,161
2015-06-09,162
2015-06-10,164
2015-06-11,165
2015-06-12,172
2015-06-13,164
2015-06-14,158
2015-06-15,151
2015-06-16,155
2015-06-17,162
2015-06-18,168
2015-06-19,175
2015-06-20,174
2015-06-21,166
2015-06-22,161
2015-06-23,160
2015-06-24,157
2015-06-25,157
2015-06-26,155
2015-06-27,155
2015-06-28,151
2015-06-29,159
2015-06-30,162
2015-07-01,159
2015-07-02,159
2015-07-03,153
2015-07-04,148
2015-07-05,141
2015-07-06,138
2015-07-07,137
2015-07-08,131
2015-07-09,131
2015-07-10,129
2015-07-11,124
2015-07-12,117
2015-07-13,111
2015-07-14,111
2015-07-15,109
2015-07-16,111
2015-07-17,109
2015-07-18,106
2015-07-19,102
2015-07-20,100
2015-07-21,103
2015-07-22,100
2015-07-23,100
2015-07-24,97
2015-07-25,95
2015-07-26,92
2015-07-27,90
2015-07-28,85
2015-07-29,80
2015-07-30,77
2015-07-31,76
2015-08-01,74
2015-08-02,70
2015-08-03,68
2015-08-04,67
2015-08-05,65
2015-08-06,64
2015-08-07,65
2015-08-08,66
2015-08-09,64
2015-08-10,65
2015-08-11,63
2015-08-12,63
2015-08-13,63
2015-08-14,67
2015-08-15,69
2015-08-16,66
2015-08-17,62
2015-08-18,61
2015-08-19,62
2015-08-20,65
2015-08-21,68
2015-08-22,71
2015-08-23,70
2015-08-24,70
2015-08-25,70
2015-08-26,73
2015-08-27,74
2015-08-28,77
2015-08-29,77
2015-08-30,79
2015-08-31,82
2015-09-01,86
2015-09-02,86
2015-09-03,90
2015-09-04,87
2015-09-05,82
2015-09-06,77
2015-09-07,73
2015-09-08,70
2015-09-09,68
2015-09-10,68
2015-09-11,65
2015-09-12,65
2015-09-13,61
2015-09-14,57
2015-09-15,58
2015-09-16,58
2015-09-17,58
2015-09-18,61
2015-09-19,59
2015-09-20,61
2015-09-21,65
2015-09-22,69
2015-09-23,73
2015-09-24,77
2015-09-25,81
2015-09-27,90
2015-09-28,95
2015-09-29,92
2015-09-30,88
2015-10-05,98
2015-10-06,100
2015-10-07,105
2015-10-08,111
2015-10-09,116
2015-10-10,118
2015-10-11,115
2015-10-12,113
2015-10-13,108
2015-10-14,112
2015-10-15,110
2015-10-16,112
2015-10-17,106
2015-10-18,100
2015-10-19,95
2015-10-20,90
2015-10-22,88
2015-10-23,89
2015-10-24,88
2015-10-25,85
2015-10-26,85
2015-10-27,85
2015-10-29,89
2015-10-30,92
