date_obj,Orange%20sapling price
2015-03-26,1246
2015-03-27,1246
2015-03-28,1246
2015-03-29,1246
2015-03-30,1246
2015-03-31,1185
2015-04-01,1185
2015-04-02,1185
2015-04-03,1185
2015-04-04,1185
2015-04-05,1185
2015-04-06,1185
2015-04-07,1185
2015-04-08,1185
2015-04-09,1185
2015-04-10,1185
2015-04-11,1185
2015-04-12,1131
2015-04-13,1131
2015-04-14,1131
2015-04-15,1131
2015-04-16,1131
2015-04-17,1131
2015-04-18,1131
2015-04-19,1131
2015-04-20,1131
2015-04-21,1131
2015-04-22,1131
2015-04-23,1131
2015-04-24,1076
2015-04-25,1076
2015-04-26,1076
2015-04-27,1076
2015-04-28,1076
2015-04-29,1076
2015-04-30,1076
2015-05-01,1076
2015-05-02,1076
2015-05-03,1076
2015-05-04,1076
2015-05-05,1076
2015-05-06,1033
2015-05-07,1033
2015-05-08,1033
2015-05-09,1033
2015-05-10,1033
2015-05-11,1033
2015-05-12,1033
2015-05-13,1033
2015-05-14,1033
2015-05-15,1033
2015-05-16,1033
2015-05-17,1033
2015-05-18,1033
2015-05-19,982
2015-05-20,982
2015-05-21,982
2015-05-22,982
2015-05-23,982
2015-05-24,982
2015-05-25,982
2015-05-26,982
2015-05-27,982
2015-05-28,937
2015-05-29,937
2015-05-30,937
2015-05-31,937
2015-06-01,937
2015-06-02,937
2015-06-03,937
2015-06-04,937
2015-06-05,937
2015-06-06,893
2015-06-07,893
2015-06-08,893
2015-06-09,893
2015-06-10,893
2015-06-11,893
2015-06-12,893
2015-06-13,893
2015-06-14,893
2015-06-15,893
2015-06-16,867
2015-06-17,867
2015-06-18,867
2015-06-19,867
2015-06-20,867
2015-06-21,867
2015-06-22,867
2015-06-23,867
2015-06-24,867
2015-06-25,847
2015-06-26,847
2015-06-27,847
2015-06-28,847
2015-06-29,847
2015-06-30,847
2015-07-01,847
2015-07-02,847
2015-07-03,847
2015-07-04,847
2015-07-05,847
2015-07-06,823
2015-07-07,823
2015-07-08,823
2015-07-09,823
2015-07-10,823
2015-07-11,823
2015-07-12,823
2015-07-13,823
2015-07-14,823
2015-07-15,799
2015-07-16,799
2015-07-17,799
2015-07-18,799
2015-07-19,799
2015-07-20,799
2015-07-21,799
2015-07-22,799
2015-07-23,799
2015-07-24,799
2015-07-25,799
2015-07-26,775
2015-07-27,775
2015-07-28,775
2015-07-29,775
2015-07-30,775
2015-07-31,775
2015-08-01,775
2015-08-02,775
2015-08-03,775
2015-08-04,775
2015-08-05,747
2015-08-06,747
2015-08-07,747
2015-08-08,747
2015-08-09,747
2015-08-10,747
2015-08-11,747
2015-08-12,747
2015-08-13,747
2015-08-14,747
2015-08-15,721
2015-08-16,721
2015-08-17,721
2015-08-18,721
2015-08-19,721
2015-08-20,721
2015-08-21,721
2015-08-22,721
2015-08-23,721
2015-08-24,700
2015-08-25,700
2015-08-26,700
2015-08-27,700
2015-08-28,700
2015-08-29,700
2015-08-30,700
2015-08-31,700
2015-09-01,700
2015-09-02,700
2015-09-03,676
2015-09-04,676
2015-09-05,676
2015-09-06,676
2015-09-07,676
2015-09-08,676
2015-09-09,676
2015-09-10,676
2015-09-11,676
2015-09-12,676
2015-09-13,676
2015-09-14,654
2015-09-15,654
2015-09-16,654
2015-09-17,654
2015-09-18,654
2015-09-19,654
2015-09-20,654
2015-09-21,654
2015-09-22,654
2015-09-23,654
