date_obj,Bronze%20kiteshield price
2015-03-26,278
2015-03-27,278
2015-03-28,265
2015-03-29,265
2015-03-30,252
2015-03-31,252
2015-04-01,252
2015-04-02,240
2015-04-03,240
2015-04-04,229
2015-04-05,229
2015-04-06,218
2015-04-07,218
2015-04-08,218
2015-04-09,208
2015-04-10,208
2015-04-11,198
2015-04-12,198
2015-04-13,198
2015-04-14,189
2015-04-15,189
2015-04-16,180
2015-04-17,180
2015-04-18,172
2015-04-19,172
2015-04-20,164
2015-04-21,164
2015-04-22,156
2015-04-23,156
2015-04-24,149
2015-04-25,149
2015-04-26,142
2015-04-27,142
2015-04-28,135
2015-04-29,135
2015-04-30,129
2015-05-01,129
2015-05-02,122
2015-05-03,122
2015-05-04,122
2015-05-05,116
2015-05-06,116
2015-05-07,110
2015-05-08,110
2015-05-09,105
2015-05-10,105
2015-05-11,100
2015-05-12,100
2015-05-13,96
2015-05-14,96
2015-05-15,92
2015-05-16,92
2015-05-17,87
2015-05-18,87
2015-05-19,83
2015-05-20,83
2015-05-21,83
2015-05-22,79
2015-05-23,79
2015-05-24,75
2015-05-25,75
2015-05-26,71
2015-05-27,71
2015-05-28,67
2015-05-29,67
2015-05-30,63
2015-05-31,63
2015-06-01,59
2015-06-02,59
2015-06-03,56
2015-06-04,56
2015-06-05,53
2015-06-06,50
2015-06-07,50
2015-06-08,47
2015-06-09,44
2015-06-10,41
2015-06-11,41
2015-06-12,38
2015-06-13,38
2015-06-14,36
2015-06-15,36
2015-06-16,34
2015-06-17,34
2015-06-18,32
2015-06-19,32
2015-06-20,30
2015-06-21,28
2015-06-22,26
2015-06-23,26
2015-06-24,24
2015-06-25,24
2015-06-26,22
2015-06-27,22
2015-06-28,20
2015-06-29,20
2015-06-30,19
2015-07-01,19
2015-07-02,18
2015-07-03,17
2015-07-04,17
2015-07-05,16
2015-07-06,16
2015-07-07,15
2015-07-08,15
2015-07-09,14
2015-07-10,13
2015-07-11,13
2015-07-12,12
2015-07-13,12
2015-07-14,11
2015-07-15,11
2015-07-16,10
2015-07-17,9
2015-07-18,9
2015-07-19,8
2015-07-20,8
2015-07-21,7
2015-07-22,6
2015-07-23,6
2015-07-24,5
2015-07-25,5
2015-07-26,5
2015-07-27,5
2015-07-28,5
2015-07-29,5
2015-07-30,5
2015-07-31,5
2015-08-01,5
2015-08-02,5
2015-08-03,5
2015-08-04,5
2015-08-05,4
2015-08-06,4
2015-08-07,4
2015-08-08,4
2015-08-09,3
2015-08-10,3
2015-08-11,2
2015-08-12,2
2015-08-13,2
2015-08-14,2
2015-08-15,2
2015-08-16,2
2015-08-17,2
2015-08-18,3
2015-08-19,3
2015-08-20,3
2015-08-21,4
2015-08-22,4
2015-08-23,5
2015-08-24,5
2015-08-25,6
2015-08-26,6
2015-08-27,6
2015-08-28,6
2015-08-29,6
2015-08-30,6
2015-08-31,6
2015-09-01,6
2015-09-02,6
2015-09-03,6
2015-09-04,6
2015-09-05,6
2015-09-06,6
2015-09-07,6
2015-09-08,6
2015-09-09,6
2015-09-10,6
2015-09-11,6
2015-09-12,6
2015-09-13,5
2015-09-14,5
2015-09-15,5
2015-09-16,5
2015-09-17,5
2015-09-18,4
2015-09-19,4
2015-09-20,4
2015-09-21,4
2015-09-22,4
2015-09-23,4
2015-09-24,4
2015-09-25,4
2015-09-27,4
2015-09-28,4
2015-09-29,4
