date_obj,Amulet%20mould price
2015-03-26,781
2015-03-27,781
2015-03-28,781
2015-03-29,781
2015-03-30,761
2015-03-31,761
2015-04-01,761
2015-04-02,761
2015-04-03,730
2015-04-04,730
2015-04-05,730
2015-04-06,703
2015-04-07,703
2015-04-08,703
2015-04-09,703
2015-04-10,679
2015-04-11,679
2015-04-12,679
2015-04-13,679
2015-04-14,684
2015-04-15,684
2015-04-16,684
2015-04-17,684
2015-04-18,649
2015-04-19,649
2015-04-20,649
2015-04-21,649
2015-04-22,619
2015-04-23,619
2015-04-24,619
2015-04-25,589
2015-04-26,589
2015-04-27,589
2015-04-28,560
2015-04-29,560
2015-04-30,560
2015-05-01,555
2015-05-02,555
2015-05-03,555
2015-05-04,555
2015-05-05,539
2015-05-06,539
2015-05-07,539
2015-05-08,516
2015-05-09,516
2015-05-10,516
2015-05-11,516
2015-05-12,503
2015-05-13,503
2015-05-14,503
2015-05-15,503
2015-05-16,503
2015-05-17,490
2015-05-18,490
2015-05-19,490
2015-05-20,490
2015-05-21,490
2015-05-22,480
2015-05-23,480
2015-05-24,480
2015-05-25,480
2015-05-26,479
2015-05-27,479
2015-05-28,479
2015-05-29,485
2015-05-30,485
2015-05-31,488
2015-06-01,488
2015-06-02,488
2015-06-03,465
2015-06-04,465
2015-06-05,465
2015-06-06,448
2015-06-07,448
2015-06-08,448
2015-06-09,437
2015-06-10,437
2015-06-11,437
2015-06-12,427
2015-06-13,427
2015-06-14,427
2015-06-15,434
2015-06-16,434
2015-06-17,434
2015-06-18,427
2015-06-19,427
2015-06-20,427
2015-06-21,418
2015-06-22,418
2015-06-23,418
2015-06-24,418
2015-06-25,418
2015-06-26,418
2015-06-27,418
2015-06-28,407
2015-06-29,407
2015-06-30,407
2015-07-01,406
2015-07-02,406
2015-07-03,406
2015-07-04,404
2015-07-05,404
2015-07-06,404
2015-07-07,396
2015-07-08,396
2015-07-09,396
2015-07-10,390
2015-07-11,390
2015-07-12,390
2015-07-13,389
2015-07-14,389
2015-07-15,389
2015-07-16,373
2015-07-17,373
2015-07-18,373
2015-07-19,354
2015-07-20,354
2015-07-21,354
2015-07-22,342
2015-07-23,342
2015-07-24,342
2015-07-25,325
2015-07-26,325
2015-07-27,325
2015-07-28,308
2015-07-29,308
2015-07-30,308
2015-07-31,292
2015-08-01,292
2015-08-02,277
2015-08-03,277
2015-08-04,277
2015-08-05,263
2015-08-06,263
2015-08-07,263
2015-08-08,249
2015-08-09,249
2015-08-10,237
2015-08-11,237
2015-08-12,237
2015-08-13,225
2015-08-14,225
2015-08-15,225
2015-08-16,213
2015-08-17,213
2015-08-18,213
2015-08-19,202
2015-08-20,202
2015-08-21,202
2015-08-22,192
2015-08-23,192
2015-08-24,192
2015-08-25,192
2015-08-26,191
2015-08-27,191
2015-08-28,191
2015-08-29,193
2015-08-30,193
2015-08-31,193
2015-09-01,192
2015-09-02,192
2015-09-03,192
2015-09-04,196
2015-09-05,196
2015-09-06,196
2015-09-07,196
2015-09-08,196
2015-09-09,196
2015-09-10,196
2015-09-11,201
2015-09-12,201
2015-09-13,201
2015-09-14,206
2015-09-15,206
2015-09-16,206
2015-09-17,197
2015-09-18,197
2015-09-19,197
2015-09-20,194
2015-09-21,194
2015-09-22,194
2015-09-23,190
2015-09-24,190
2015-09-25,190
2015-09-27,188
2015-09-28,188
2015-09-29,188
2015-09-30,191
2015-10-05,200
2015-10-06,200
2015-10-07,210
2015-10-08,210
2015-10-09,220
2015-10-10,220
2015-10-11,220
2015-10-12,222
2015-10-13,222
2015-10-14,222
2015-10-15,232
2015-10-16,232
2015-10-17,232
2015-10-18,238
2015-10-19,238
2015-10-20,238
2015-10-22,231
2015-10-23,231
2015-10-24,231
2015-10-25,230
2015-10-26,230
2015-10-27,230
2015-10-28,234
2015-10-29,234
2015-10-30,234
2015-10-31,228
2015-11-01,228
2015-11-02,228
2015-11-03,216
2015-11-04,216
2015-11-05,216
2015-11-06,205
2015-11-07,205
2015-11-08,205
2015-11-09,199
2015-11-10,199
2015-11-11,199
2015-11-12,189
2015-11-13,189
2015-11-14,189
2015-11-15,179
2015-11-16,179
2015-11-17,179
2015-11-18,170
2015-11-19,170
2015-11-20,171
2015-11-21,171
2015-11-22,171
2015-11-23,171
2015-11-24,175
2015-11-25,175
2015-11-26,175
2015-11-27,175
2015-11-28,175
2015-11-29,175
2015-11-30,178
2015-12-01,178
2015-12-02,178
2015-12-03,186
