date_obj,Meat%20pie price
2015-03-26,609
2015-03-27,609
2015-03-28,609
2015-03-29,583
2015-03-30,583
2015-03-31,554
2015-04-01,554
2015-04-02,554
2015-04-03,527
2015-04-04,527
2015-04-05,501
2015-04-06,501
2015-04-07,480
2015-04-08,480
2015-04-09,480
2015-04-10,457
2015-04-11,457
2015-04-12,446
2015-04-13,446
2015-04-14,446
2015-04-15,424
2015-04-16,424
2015-04-17,424
2015-04-18,403
2015-04-19,403
2015-04-20,403
2015-04-21,383
2015-04-22,383
2015-04-23,383
2015-04-24,363
2015-04-25,363
2015-04-26,363
2015-04-27,347
2015-04-28,347
2015-04-29,347
2015-04-30,334
2015-05-01,334
2015-05-02,330
2015-05-03,330
2015-05-04,330
2015-05-05,320
2015-05-06,320
2015-05-07,320
2015-05-08,311
2015-05-09,311
2015-05-10,311
2015-05-11,306
2015-05-12,306
2015-05-13,306
2015-05-14,308
2015-05-15,308
2015-05-16,308
2015-05-17,305
2015-05-18,305
2015-05-19,305
2015-05-20,305
2015-05-21,302
2015-05-22,302
2015-05-23,302
2015-05-24,294
2015-05-25,294
2015-05-26,294
2015-05-27,298
2015-05-28,298
2015-05-29,288
2015-05-30,274
2015-05-31,274
2015-06-01,266
2015-06-02,266
2015-06-03,253
2015-06-04,253
2015-06-05,243
2015-06-06,243
2015-06-07,239
2015-06-08,239
2015-06-09,244
2015-06-10,244
2015-06-11,239
2015-06-12,239
2015-06-13,239
2015-06-14,233
2015-06-15,233
2015-06-16,231
2015-06-17,231
2015-06-18,229
2015-06-19,229
2015-06-20,226
2015-06-21,226
2015-06-22,226
2015-06-23,228
2015-06-24,228
2015-06-25,228
2015-06-26,225
2015-06-27,225
2015-06-28,220
2015-06-29,220
2015-06-30,220
2015-07-01,209
2015-07-02,209
2015-07-03,198
2015-07-04,198
2015-07-05,198
2015-07-06,190
2015-07-07,190
2015-07-08,194
2015-07-09,194
2015-07-10,194
2015-07-11,186
2015-07-12,186
2015-07-13,184
2015-07-14,184
2015-07-15,179
2015-07-16,179
2015-07-17,177
2015-07-18,177
2015-07-19,177
2015-07-20,175
2015-07-21,175
2015-07-22,174
2015-07-23,174
2015-07-24,172
2015-07-25,172
2015-07-26,172
2015-07-27,168
2015-07-28,168
2015-07-29,160
2015-07-30,160
2015-07-31,160
2015-08-01,158
2015-08-02,158
2015-08-03,153
2015-08-04,153
2015-08-05,156
2015-08-06,156
2015-08-07,161
2015-08-08,161
2015-08-09,161
2015-08-10,161
2015-08-11,162
2015-08-12,162
2015-08-13,162
2015-08-14,169
2015-08-15,169
2015-08-16,169
2015-08-17,177
2015-08-18,177
2015-08-19,183
2015-08-20,183
2015-08-21,190
2015-08-22,190
2015-08-23,190
2015-08-24,195
2015-08-25,195
2015-08-26,195
2015-08-27,201
2015-08-28,201
2015-08-29,205
2015-08-30,205
2015-08-31,205
2015-09-01,213
2015-09-02,213
2015-09-03,213
2015-09-04,218
2015-09-05,218
2015-09-06,218
2015-09-07,224
2015-09-08,224
2015-09-09,224
2015-09-10,222
2015-09-11,222
2015-09-12,222
2015-09-13,219
2015-09-14,219
2015-09-15,219
2015-09-16,228
2015-09-17,228
2015-09-18,228
2015-09-19,227
2015-09-20,227
2015-09-21,227
2015-09-22,224
2015-09-23,224
2015-09-24,224
2015-09-25,213
2015-09-27,213
2015-09-28,210
2015-09-29,210
2015-09-30,206
2015-10-05,196
2015-10-06,196
2015-10-07,196
2015-10-08,196
2015-10-09,191
2015-10-10,191
2015-10-11,191
2015-10-12,193
2015-10-13,193
2015-10-14,193
2015-10-15,189
2015-10-16,189
2015-10-17,189
2015-10-18,183
2015-10-19,183
2015-10-20,183
2015-10-22,180
2015-10-23,180
2015-10-24,179
2015-10-25,179
2015-10-26,178
2015-10-27,178
2015-10-29,176
2015-10-30,176
2015-10-31,167
2015-11-01,167
2015-11-02,163
2015-11-03,163
2015-11-04,163
2015-11-05,166
2015-11-06,166
2015-11-07,166
2015-11-08,163
2015-11-09,163
2015-11-10,163
2015-11-11,158
2015-11-12,158
2015-11-13,158
2015-11-14,150
2015-11-15,150
2015-11-16,150
2015-11-17,150
2015-11-18,150
2015-11-19,149
2015-11-20,149
2015-11-21,149
2015-11-22,144
2015-11-23,144
2015-11-24,144
2015-11-25,140
2015-11-26,140
2015-11-27,140
2015-11-28,140
2015-11-29,140
2015-11-30,140
2015-12-01,140
2015-12-02,140
2015-12-03,141
2015-12-04,141
2015-12-05,141
2015-12-06,141
2015-12-07,141
2015-12-08,141
2015-12-09,133
2015-12-10,133
2015-12-11,133
2015-12-12,127
2015-12-13,127
2015-12-14,127
2015-12-15,122
2015-12-16,122
2015-12-17,122
2015-12-18,120
2015-12-19,120
2015-12-20,119
2015-12-21,119
2015-12-22,119
2015-12-23,121
2015-12-24,121
2015-12-25,121
2015-12-26,123
2015-12-27,123
2015-12-28,125
2015-12-29,125
2015-12-30,131
2015-12-31,131
2016-01-01,137
2016-01-02,137
2016-01-03,143
2016-01-04,143
2016-01-05,149
2016-01-06,149
2016-01-07,149
2016-01-08,157
2016-01-09,157
2016-01-10,157
2016-01-11,165
