date_obj,Bronze%20warhammer price
2015-03-26,3699
2015-03-27,3699
2015-03-28,3699
2015-03-29,3525
2015-03-30,3525
2015-03-31,3525
2015-04-01,3525
2015-04-02,3525
2015-04-03,3525
2015-04-04,3525
2015-04-05,3358
2015-04-06,3358
2015-04-07,3358
2015-04-08,3358
2015-04-09,3358
2015-04-10,3358
2015-04-11,3200
2015-04-12,3200
2015-04-13,3200
2015-04-14,3200
2015-04-15,3200
2015-04-16,3200
2015-04-17,3052
2015-04-18,3052
2015-04-19,3052
2015-04-20,3052
2015-04-21,3052
2015-04-22,2911
2015-04-23,2911
2015-04-24,2911
2015-04-25,2911
2015-04-26,2911
2015-04-27,2778
2015-04-28,2778
2015-04-29,2778
2015-04-30,2778
2015-05-01,2778
2015-05-02,2647
2015-05-03,2647
2015-05-04,2647
2015-05-05,2647
2015-05-06,2647
2015-05-07,2521
2015-05-08,2521
2015-05-09,2521
2015-05-10,2521
2015-05-11,2521
2015-05-12,2406
2015-05-13,2406
2015-05-14,2406
2015-05-15,2406
2015-05-16,2406
2015-05-17,2292
2015-05-18,2292
2015-05-19,2292
2015-05-20,2292
2015-05-21,2292
2015-05-22,2292
2015-05-23,2185
2015-05-24,2185
2015-05-25,2185
2015-05-26,2185
2015-05-27,2185
2015-05-28,2081
2015-05-29,2081
2015-05-30,2081
2015-05-31,1982
2015-06-01,1982
2015-06-02,1982
2015-06-03,1982
2015-06-04,1892
2015-06-05,1892
2015-06-06,1892
2015-06-07,1807
2015-06-08,1807
2015-06-09,1807
2015-06-10,1723
2015-06-11,1723
2015-06-12,1723
2015-06-13,1723
2015-06-14,1642
2015-06-15,1642
2015-06-16,1642
2015-06-17,1642
2015-06-18,1563
2015-06-19,1563
2015-06-20,1563
2015-06-21,1492
2015-06-22,1492
2015-06-23,1492
2015-06-24,1422
2015-06-25,1422
2015-06-26,1422
2015-06-27,1422
2015-06-28,1354
2015-06-29,1354
2015-06-30,1354
2015-07-01,1354
2015-07-02,1292
2015-07-03,1292
2015-07-04,1292
2015-07-05,1233
2015-07-06,1233
2015-07-07,1233
2015-07-08,1179
2015-07-09,1179
2015-07-10,1179
2015-07-11,1179
2015-07-12,1127
2015-07-13,1127
2015-07-14,1127
2015-07-15,1074
2015-07-16,1074
2015-07-17,1074
2015-07-18,1023
2015-07-19,1023
2015-07-20,1023
2015-07-21,977
2015-07-22,977
2015-07-23,977
2015-07-24,932
2015-07-25,932
2015-07-26,932
2015-07-27,889
2015-07-28,889
2015-07-29,889
2015-07-30,847
2015-07-31,847
2015-08-01,847
2015-08-02,807
2015-08-03,807
2015-08-04,807
2015-08-05,770
2015-08-06,770
2015-08-07,770
2015-08-08,735
2015-08-09,735
2015-08-10,701
2015-08-11,701
2015-08-12,701
2015-08-13,668
2015-08-14,668
2015-08-15,668
2015-08-16,637
2015-08-17,637
2015-08-18,609
2015-08-19,609
2015-08-20,609
2015-08-21,580
2015-08-22,580
2015-08-23,580
2015-08-24,553
2015-08-25,553
2015-08-26,553
2015-08-27,527
2015-08-28,527
2015-08-29,502
2015-08-30,502
2015-08-31,478
2015-09-01,478
2015-09-02,478
2015-09-03,456
2015-09-04,456
2015-09-05,456
2015-09-06,435
2015-09-07,435
2015-09-08,435
2015-09-09,415
2015-09-10,415
2015-09-11,415
2015-09-12,396
2015-09-13,396
2015-09-14,396
2015-09-15,377
2015-09-16,377
2015-09-17,377
2015-09-18,377
2015-09-19,360
2015-09-20,360
2015-09-21,360
2015-09-22,343
2015-09-23,343
2015-09-24,343
2015-09-25,327
2015-09-27,327
2015-09-28,312
2015-09-29,312
2015-09-30,298
2015-10-05,284
2015-10-06,271
2015-10-07,271
2015-10-08,271
2015-10-09,258
2015-10-10,258
2015-10-11,258
2015-10-12,246
2015-10-13,246
2015-10-14,246
2015-10-15,235
2015-10-16,235
2015-10-17,235
2015-10-18,224
2015-10-19,224
2015-10-20,224
2015-10-22,213
2015-10-23,213
2015-10-24,203
2015-10-25,203
2015-10-26,193
2015-10-27,193
2015-10-29,184
2015-10-30,184
2015-10-31,184
2015-11-01,175
2015-11-02,175
2015-11-03,175
