date_obj,Ashes price
2015-03-26,52
2015-03-27,50
2015-03-28,47
2015-03-29,44
2015-03-30,44
2015-03-31,43
2015-04-01,40
2015-04-02,39
2015-04-03,38
2015-04-04,39
2015-04-05,40
2015-04-06,40
2015-04-07,38
2015-04-08,36
2015-04-09,36
2015-04-10,35
2015-04-11,36
2015-04-12,36
2015-04-13,35
2015-04-14,34
2015-04-15,33
2015-04-16,32
2015-04-17,30
2015-04-18,30
2015-04-19,29
2015-04-20,31
2015-04-21,32
2015-04-22,31
2015-04-23,33
2015-04-24,33
2015-04-25,32
2015-04-26,31
2015-04-27,31
2015-04-28,30
2015-04-29,31
2015-04-30,31
2015-05-01,30
2015-05-02,30
2015-05-03,32
2015-05-04,33
2015-05-05,34
2015-05-06,34
2015-05-07,34
2015-05-08,34
2015-05-09,36
2015-05-10,36
2015-05-11,35
2015-05-12,34
2015-05-13,35
2015-05-14,37
2015-05-15,39
2015-05-16,41
2015-05-17,40
2015-05-18,38
2015-05-19,36
2015-05-20,34
2015-05-21,34
2015-05-22,33
2015-05-23,31
2015-05-24,29
2015-05-25,27
2015-05-26,25
2015-05-27,24
2015-05-28,26
2015-05-29,28
2015-05-30,30
2015-05-31,32
2015-06-01,34
2015-06-02,36
2015-06-03,38
2015-06-04,40
2015-06-05,42
2015-06-06,45
2015-06-07,45
2015-06-08,45
2015-06-09,44
2015-06-10,42
2015-06-11,39
2015-06-12,38
2015-06-13,38
2015-06-14,37
2015-06-15,35
2015-06-16,34
2015-06-17,35
2015-06-18,36
2015-06-19,38
2015-06-20,40
2015-06-21,41
2015-06-22,43
2015-06-23,44
2015-06-24,42
2015-06-25,41
2015-06-26,41
2015-06-27,41
2015-06-28,41
2015-06-29,41
2015-06-30,42
2015-07-01,41
2015-07-02,41
2015-07-03,40
2015-07-04,38
2015-07-05,36
2015-07-06,35
2015-07-07,34
2015-07-08,34
2015-07-09,32
2015-07-10,31
2015-07-11,33
2015-07-12,35
2015-07-13,37
2015-07-14,38
2015-07-15,37
2015-07-16,37
2015-07-17,39
2015-07-18,39
2015-07-19,37
2015-07-20,37
2015-07-21,38
2015-07-22,40
2015-07-23,42
2015-07-24,42
2015-07-25,41
2015-07-26,39
2015-07-27,38
2015-07-28,37
2015-07-29,37
2015-07-30,37
2015-07-31,37
2015-08-01,35
2015-08-02,33
2015-08-03,31
2015-08-04,30
2015-08-05,30
2015-08-06,30
2015-08-07,29
2015-08-08,29
2015-08-09,30
2015-08-10,31
2015-08-11,29
2015-08-12,30
2015-08-13,30
2015-08-14,29
2015-08-15,27
2015-08-16,26
2015-08-17,27
2015-08-18,29
2015-08-19,31
2015-08-20,32
2015-08-21,34
2015-08-22,33
2015-08-23,34
2015-08-24,34
2015-08-25,35
2015-08-26,35
2015-08-27,34
2015-08-28,33
2015-08-29,32
2015-08-30,31
2015-08-31,31
2015-09-01,31
