date_obj,Watermelon%20seed price
2015-03-05,1425
2015-03-06,1398
2015-03-07,1388
2015-03-08,1399
2015-03-09,1442
2015-03-10,1480
2015-03-11,1529
2015-03-12,1576
2015-03-13,1613
2015-03-14,1654
2015-03-15,1686
2015-03-16,1725
2015-03-17,1773
2015-03-18,1777
2015-03-19,1801
2015-03-20,1817
2015-03-21,1825
2015-03-22,1833
2015-03-23,1857
2015-03-24,1887
2015-03-25,1903
2015-03-26,1901
2015-03-27,1900
2015-03-28,1862
2015-03-29,1793
2015-03-30,1735
2015-03-31,1682
2015-04-01,1632
2015-04-02,1601
2015-04-03,1604
2015-04-04,1574
2015-04-05,1526
2015-04-06,1481
2015-04-07,1457
2015-04-08,1413
2015-04-09,1424
2015-04-10,1447
2015-04-11,1448
2015-04-12,1424
2015-04-13,1409
2015-04-14,1405
2015-04-15,1429
2015-04-16,1479
2015-04-17,1500
2015-04-18,1495
2015-04-19,1430
2015-04-20,1409
2015-04-21,1375
2015-04-22,1351
2015-04-23,1364
2015-04-24,1387
2015-04-25,1378
2015-04-26,1350
2015-04-27,1363
2015-04-28,1373
2015-04-29,1376
2015-04-30,1401
2015-05-01,1428
2015-05-02,1442
2015-05-03,1461
2015-05-04,1416
2015-05-05,1411
2015-05-06,1370
2015-05-07,1330
2015-05-08,1309
2015-05-09,1280
2015-05-10,1283
2015-05-11,1313
2015-05-12,1331
2015-05-13,1352
2015-05-14,1375
2015-05-15,1368
2015-05-16,1361
2015-05-17,1328
2015-05-18,1317
2015-05-19,1297
2015-05-20,1272
2015-05-21,1280
2015-05-22,1278
2015-05-23,1240
2015-05-24,1209
2015-05-25,1199
2015-05-26,1188
2015-05-27,1205
2015-05-28,1220
2015-05-29,1216
2015-05-30,1199
2015-05-31,1173
2015-06-01,1166
2015-06-02,1164
2015-06-03,1173
2015-06-04,1155
2015-06-05,1168
2015-06-06,1162
2015-06-07,1170
2015-06-08,1198
2015-06-09,1182
2015-06-10,1204
2015-06-11,1205
2015-06-12,1186
2015-06-13,1157
2015-06-14,1131
2015-06-15,1087
2015-06-16,1058
2015-06-17,1033
2015-06-18,998
2015-06-19,1006
2015-06-20,999
2015-06-21,1004
2015-06-22,992
2015-06-23,993
2015-06-24,1028
2015-06-25,1063
2015-06-26,1089
2015-06-27,1072
2015-06-28,1049
2015-06-29,1040
2015-06-30,1024
2015-07-01,1022
2015-07-02,1008
2015-07-03,987
2015-07-04,976
2015-07-05,969
2015-07-06,967
2015-07-07,974
2015-07-08,970
2015-07-09,979
2015-07-10,969
2015-07-11,946
2015-07-12,934
2015-07-13,913
2015-07-14,894
2015-07-15,889
2015-07-16,865
2015-07-17,855
2015-07-18,845
2015-07-19,822
2015-07-20,813
2015-07-21,831
2015-07-22,822
2015-07-23,826
2015-07-24,843
2015-07-25,853
2015-07-26,878
2015-07-27,904
2015-07-28,929
2015-07-29,963
2015-07-30,1000
2015-07-31,1040
2015-08-01,1080
2015-08-02,1109
2015-08-03,1119
2015-08-04,1126
2015-08-05,1129
2015-08-06,1145
2015-08-07,1173
2015-08-08,1164
2015-08-09,1135
2015-08-10,1136
2015-08-11,1102
2015-08-12,1072
2015-08-13,1047
2015-08-14,1023
2015-08-15,1014
2015-08-16,991
2015-08-17,986
2015-08-18,987
2015-08-19,1001
2015-08-20,1010
2015-08-21,997
2015-08-22,985
2015-08-23,964
2015-08-24,942
2015-08-25,915
2015-08-26,885
2015-08-27,848
2015-08-28,830
2015-08-29,835
2015-08-30,835
2015-08-31,835
2015-09-02,876
2015-09-07,885
2015-09-08,915
2015-09-10,922
2015-09-14,986
2015-09-16,1003
