date_obj,Dynamite price
2016-01-08,513
2016-01-09,513
2016-01-10,513
2016-01-11,513
2016-01-12,530
2016-01-13,530
2016-01-14,530
2016-01-15,557
2016-01-16,557
2016-01-17,557
2016-01-18,557
2016-01-19,557
2016-01-20,585
2016-01-21,585
2016-01-22,585
2016-01-23,585
2016-01-24,585
2016-01-25,615
2016-01-26,615
2016-01-27,615
2016-01-28,615
2016-01-29,615
2016-01-30,615
2016-01-31,615
2016-02-01,645
2016-02-02,645
2016-02-03,645
2016-02-04,645
2016-02-05,645
2016-02-06,645
2016-02-07,645
2016-02-08,645
2016-02-09,645
2016-02-10,645
2016-02-11,645
2016-02-12,645
2016-02-13,678
2016-02-14,678
2016-02-15,678
2016-02-16,678
2016-02-17,678
2016-02-18,678
2016-02-19,678
2016-02-20,678
2016-02-21,678
2016-02-22,678
2016-02-23,678
2016-02-24,678
2016-02-25,678
2016-02-26,678
2016-02-27,678
2016-02-28,712
2016-02-29,712
2016-03-01,712
2016-03-02,712
2016-03-03,712
2016-03-04,712
2016-03-05,712
2016-03-06,748
2016-03-07,748
2016-03-08,748
2016-03-09,748
2016-03-10,748
2016-03-11,748
2016-03-12,786
2016-03-13,786
2016-03-14,786
2016-03-15,786
2016-03-16,786
2016-03-17,786
2016-03-18,786
2016-03-19,826
2016-03-20,826
2016-03-21,826
2016-03-22,826
2016-03-23,826
2016-03-24,826
2016-03-25,826
2016-03-26,826
2016-03-27,868
2016-03-28,868
2016-03-29,868
2016-03-30,868
2016-03-31,868
2016-04-01,868
2016-04-02,868
2016-04-03,897
2016-04-04,897
2016-04-05,897
2016-04-06,897
2016-04-07,897
2016-04-08,897
2016-04-09,897
2016-04-10,939
2016-04-11,939
2016-04-12,939
2016-04-13,939
2016-04-14,939
2016-04-15,939
2016-04-16,939
2016-04-17,939
2016-04-18,985
2016-04-19,985
2016-04-20,985
2016-04-21,985
2016-04-22,985
2016-04-23,985
2016-04-24,985
2016-04-25,985
2016-04-26,985
2016-04-27,1028
2016-04-28,1028
2016-04-29,1028
2016-04-30,1028
2016-05-01,1028
2016-05-02,1028
2016-05-03,1028
2016-05-04,1028
2016-05-05,1028
2016-05-06,1052
2016-05-07,1052
2016-05-08,1052
2016-05-09,1052
2016-05-10,1052
2016-05-11,1052
2016-05-12,1052
2016-05-13,1052
2016-05-14,1010
2016-05-15,1010
2016-05-16,1010
2016-05-17,1010
2016-05-18,1010
2016-05-19,1010
2016-05-22,975
2016-05-23,975
2016-05-24,975
2016-05-25,975
2016-05-26,975
2016-05-27,930
2016-05-28,930
2016-05-29,930
2016-05-30,930
2016-05-31,930
2016-06-01,930
2016-06-02,910
2016-06-03,910
2016-06-04,910
2016-06-05,910
2016-06-06,910
2016-06-07,915
2016-06-08,915
2016-06-09,915
2016-06-10,915
2016-06-11,879
2016-06-12,879
2016-06-13,879
2016-06-14,879
2016-06-15,879
2016-06-16,850
2016-06-17,850
2016-06-18,850
2016-06-19,850
2016-06-20,812
2016-06-21,812
2016-06-22,812
2016-06-23,812
2016-06-24,812
2016-06-25,776
2016-06-26,776
2016-06-27,776
2016-06-28,776
2016-06-29,776
2016-06-30,774
2016-07-01,774
2016-07-02,774
2016-07-03,774
2016-07-04,765
2016-07-05,765
2016-07-06,765
2016-07-07,765
2016-07-08,755
2016-07-09,755
2016-07-10,755
2016-07-11,735
2016-07-12,735
2016-07-13,735
2016-07-14,705
2016-07-15,705
2016-07-16,705
2016-07-17,673
2016-07-18,673
2016-07-23,704
2016-07-24,704
2016-07-25,704
2016-07-26,736
2016-07-27,736
2016-07-28,736
2016-07-29,773
2016-07-30,773
2016-07-31,773
2016-08-01,812
2016-08-02,812
2016-08-03,853
2016-08-04,853
2016-08-05,853
2016-08-06,896
2016-08-07,896
2016-08-08,896
2016-08-09,941
2016-08-10,941
2016-08-11,941
2016-08-12,987
2016-08-13,987
2016-08-14,987
2016-08-15,1037
2016-08-16,1037
2016-08-17,1037
2016-08-18,1083
2016-08-19,1083
2016-08-20,1083
2016-08-21,1125
2016-08-22,1125
2016-08-23,1181
2016-08-24,1181
2016-08-25,1181
2016-08-26,1196
2016-08-28,1232
2016-08-31,1284
2016-09-01,1284
2016-09-02,1284
2016-09-03,1266
2016-09-04,1266
2016-09-05,1266
2016-09-06,1204
2016-09-07,1144
2016-09-08,1086
2016-09-09,1031
2016-09-10,979
2016-09-11,930
2016-09-12,883
2016-09-13,838
2016-09-14,796
2016-09-15,756
2016-09-16,718
2016-09-17,682
2016-09-18,647
2016-09-19,614
2016-09-20,585
2016-09-21,580
2016-09-22,560
2016-09-23,532
2016-09-24,505
2016-09-25,479
2016-09-26,455
2016-09-27,439
2016-09-28,418
2016-09-29,397
2016-09-30,377
2016-10-01,358
2016-10-02,340
2016-10-03,323
2016-10-04,332
2016-10-05,348
2016-10-06,366
2016-10-07,385
2016-10-08,405
2016-10-09,426
2016-10-10,448
2016-10-11,471
2016-10-12,495
2016-10-13,520
2016-10-14,527
2016-10-15,501
2016-10-16,480
2016-10-17,457
2016-10-18,434
2016-10-19,412
2016-10-20,405
2016-10-21,391
2016-10-22,400
2016-10-23,404
2016-10-24,418
2016-10-25,439
2016-10-26,455
2016-10-27,459
2016-10-28,467
2016-10-29,446
2016-10-30,431
2016-10-31,421
2016-11-01,421
2016-11-02,402
2016-11-03,407
2016-11-04,417
2016-11-05,410
2016-11-06,401
2016-11-07,395
2016-11-08,394
2016-11-09,387
2016-11-10,373
2016-11-11,365
2016-11-12,379
2016-11-13,395
2016-11-14,413
2016-11-15,432
2016-12-07,409
2016-12-08,404
2016-12-09,400
2016-12-10,407
2016-12-11,410
2016-12-12,414
2016-12-13,411
2016-12-14,423
2016-12-15,437
2016-12-16,445
2016-12-17,447
2016-12-18,446
2016-12-19,430
2016-12-20,426
2016-12-21,438
2016-12-22,456
2016-12-23,465
2016-12-24,442
2016-12-25,437
2016-12-26,441
2016-12-27,456
2016-12-28,455
2016-12-29,468
2016-12-30,453
2016-12-31,460
2017-01-01,473
2017-01-02,470
2017-01-03,463
2017-01-04,450
2017-01-05,444
2017-01-06,438
2017-01-07,416
2017-01-08,395
2017-01-09,389
2017-01-10,379
2017-01-11,361
2017-01-12,343
2017-01-13,325
2017-01-14,308
2017-01-15,292
2017-01-16,282
2017-01-17,276
2017-01-18,264
2017-01-19,263
2017-01-20,251
2017-01-21,246
2017-01-22,235
2017-01-23,234
2017-01-27,262
2017-01-28,274
2017-01-29,272
2017-01-30,274
2017-01-31,274
2017-02-01,273
2017-02-02,270
2017-02-03,259
2017-02-04,247
2017-02-05,246
2017-02-06,240
2017-02-07,232
2017-02-08,231
2017-02-09,231
2017-02-10,236
2017-02-11,245
2017-02-12,253
2017-02-13,254
2017-02-14,244
2017-02-15,241
2017-02-16,230
2017-02-18,222
2017-02-19,211
2017-02-20,200
2017-02-21,191
2017-02-22,181
2017-02-23,173
2017-02-24,169
2017-02-25,178
2017-02-26,185
2017-02-27,195
2017-02-28,204
2017-03-01,210
2017-03-02,208
2017-03-03,203
2017-03-04,204
2017-03-05,196
2017-03-06,189
2017-03-07,179
2017-03-08,171
2017-03-09,165
2017-03-10,162
2017-03-11,155
2017-03-12,147
2017-03-13,141
2017-03-14,136
2017-03-15,131
2017-03-16,128
2017-03-17,123
2017-03-18,117
2017-03-19,112
2017-03-20,106
2017-03-21,102
2017-03-22,101
2017-03-23,98
2017-03-24,96
2017-03-25,93
2017-03-26,91
2017-03-27,86
2017-03-28,82
2017-03-29,79
2017-03-30,81
2017-03-31,84
2017-04-01,87
2017-04-02,89
2017-04-03,94
2017-04-04,97
2017-04-12,103
2017-04-13,107
2017-04-14,109
2017-04-15,105
2017-04-16,102
2017-04-17,97
2017-04-18,94
2017-04-19,90
2017-04-20,85
2017-04-21,81
2017-04-22,76
2017-04-23,73
2017-04-24,75
2017-04-25,73
2017-04-26,73
2017-04-27,71
2017-04-28,70
2017-04-29,71
2017-04-30,71
2017-05-01,70
2017-05-02,68
2017-05-03,69
2017-05-04,70
2017-05-05,71
2017-05-06,71
2017-05-07,72
2017-05-08,74
2017-05-09,76
2017-05-10,78
2017-05-11,79
2017-05-12,82
2017-05-13,82
2017-05-14,81
2017-05-15,79
2017-05-16,82
2017-05-17,83
2017-05-18,84
2017-05-19,84
2017-05-20,88
2017-05-21,91
2017-05-22,91
2017-05-23,91
2017-05-24,92
2017-05-25,90
2017-05-26,88
2017-05-27,86
2017-05-28,89
2017-05-29,93
2017-05-30,91
2017-05-31,87
2017-06-01,82
2017-06-02,78
2017-06-03,75
2017-06-04,73
2017-06-05,69
2017-06-06,65
2017-06-07,63
2017-06-08,62
2017-06-09,62
2017-06-10,62
2017-06-11,64
2017-06-12,61
2017-06-13,61
2017-06-14,61
2017-06-15,62
2017-06-16,61
2017-06-17,63
2017-06-18,66
2017-06-19,68
2017-06-20,68
2017-06-21,67
2017-06-22,68
2017-06-23,71
2017-06-24,72
2017-06-25,71
2017-06-26,71
2017-06-27,73
2017-06-28,75
2017-06-29,78
2017-06-30,82
2017-07-01,86
2017-07-02,89
2017-07-03,90
2017-07-04,93
2017-07-05,94
2017-07-06,97
2017-07-07,100
2017-07-08,102
2017-07-13,110
2017-07-14,116
2017-07-15,120
2017-07-16,126
2017-07-17,128
2017-07-18,133
2017-07-19,139
2017-07-20,145
2017-07-21,152
2017-07-22,157
2017-07-23,161
2017-07-24,167
2017-07-25,175
2017-07-26,184
2017-07-27,194
2017-07-28,193
2017-07-29,188
2017-07-30,185
2017-07-31,176
2017-08-01,170
2017-08-02,169
2017-08-03,172
2017-08-04,169
2017-08-05,166
2017-08-06,164
2017-08-09,141
2017-08-10,137
2017-08-11,136
2017-08-12,131
2017-08-13,131
2017-08-14,130
2017-08-15,125
2017-08-16,121
2017-08-17,120
2017-08-18,123
2017-08-19,120
