date_obj,Iron%202h%20sword price
2015-03-26,729
2015-03-27,729
2015-03-28,693
2015-03-29,660
2015-03-30,660
2015-03-31,627
2015-04-01,627
2015-04-02,596
2015-04-03,567
2015-04-04,540
2015-04-05,540
2015-04-06,513
2015-04-07,488
2015-04-08,488
2015-04-09,464
2015-04-10,442
2015-04-11,442
2015-04-12,419
2015-04-13,419
2015-04-14,400
2015-04-15,382
2015-04-16,365
2015-04-17,347
2015-04-18,330
2015-04-19,315
2015-04-20,315
2015-04-21,299
2015-04-22,299
2015-04-23,284
2015-04-24,284
2015-04-25,269
2015-04-26,269
2015-04-27,255
2015-04-28,242
2015-04-29,242
2015-04-30,229
2015-05-01,217
2015-05-02,206
2015-05-03,206
2015-05-04,195
2015-05-05,186
2015-05-06,176
2015-05-07,168
2015-05-08,159
2015-05-09,151
2015-05-10,143
2015-05-11,143
2015-05-12,135
2015-05-13,135
2015-05-14,128
2015-05-15,128
2015-05-16,121
2015-05-17,114
2015-05-18,109
2015-05-19,109
2015-05-20,103
2015-05-21,103
2015-05-22,97
2015-05-23,97
2015-05-24,92
2015-05-25,87
2015-05-26,87
2015-05-27,82
2015-05-28,77
2015-05-29,73
2015-05-30,69
2015-05-31,69
2015-06-01,65
2015-06-02,65
2015-06-03,61
2015-06-04,57
2015-06-05,54
2015-06-06,51
2015-06-07,48
2015-06-08,48
2015-06-09,45
2015-06-10,42
2015-06-11,42
2015-06-12,39
2015-06-13,37
2015-06-14,35
2015-06-15,35
2015-06-16,35
2015-06-17,35
2015-06-18,34
2015-06-19,34
2015-06-20,35
2015-06-21,35
2015-06-22,34
2015-06-23,34
2015-06-24,33
2015-06-25,33
2015-06-26,32
2015-06-27,32
2015-06-28,31
2015-06-29,31
2015-06-30,32
2015-07-01,32
2015-07-02,32
2015-07-03,32
2015-07-04,32
2015-07-05,33
2015-07-06,33
2015-07-07,34
2015-07-08,34
2015-07-09,34
2015-07-10,33
2015-07-11,33
2015-07-12,32
2015-07-13,31
2015-07-14,31
2015-07-15,30
2015-07-16,30
2015-07-17,29
2015-07-18,29
2015-07-19,27
2015-07-20,25
2015-07-21,25
2015-07-22,23
2015-07-23,23
2015-07-24,22
2015-07-25,22
2015-07-26,22
2015-07-27,22
2015-07-28,22
2015-07-29,21
2015-07-30,21
2015-07-31,20
2015-08-01,20
2015-08-02,19
2015-08-03,19
2015-08-04,18
2015-08-05,17
2015-08-06,17
2015-08-07,16
2015-08-08,15
2015-08-09,15
2015-08-10,15
2015-08-11,14
2015-08-12,14
2015-08-13,13
2015-08-14,12
2015-08-15,12
2015-08-16,11
2015-08-17,11
2015-08-18,11
2015-08-19,11
2015-08-20,11
2015-08-21,11
2015-08-22,11
2015-08-23,11
2015-08-24,11
2015-08-25,11
2015-08-26,10
2015-08-27,11
2015-08-28,11
2015-08-29,12
2015-08-30,12
2015-08-31,13
2015-09-01,14
2015-09-02,14
2015-09-03,15
2015-09-04,16
2015-09-05,16
2015-09-06,16
2015-09-07,16
2015-09-08,16
2015-09-09,16
2015-09-10,17
2015-09-11,17
2015-09-12,18
2015-09-13,19
2015-09-14,19
2015-09-15,19
2015-09-16,19
2015-09-17,19
2015-09-18,19
2015-09-19,19
2015-09-20,19
2015-09-21,19
2015-09-22,19
2015-09-23,20
2015-09-24,20
2015-09-25,21
2015-09-27,21
2015-09-28,21
2015-09-29,20
2015-09-30,20
2015-10-05,20
2015-10-06,20
2015-10-07,20
2015-10-08,19
2015-10-09,19
2015-10-10,19
2015-10-11,19
2015-10-12,19
2015-10-13,20
2015-10-14,20
2015-10-15,21
2015-10-16,21
2015-10-17,21
2015-10-18,21
2015-10-19,20
2015-10-20,20
2015-10-22,21
2015-10-23,21
2015-10-24,21
2015-10-25,21
2015-10-26,21
2015-10-27,22
2015-10-29,21
2015-10-30,21
2015-10-31,20
2015-11-01,20
2015-11-02,20
2015-11-03,20
2015-11-04,20
2015-11-05,20
2015-11-06,20
2015-11-07,21
2015-11-08,21
2015-11-09,22
2015-11-10,22
2015-11-11,23
2015-11-12,23
2015-11-13,24
2015-11-14,24
2015-11-15,25
2015-11-16,25
2015-11-17,26
2015-11-18,26
2015-11-19,28
2015-11-20,28
2015-11-21,29
2015-11-22,31
2015-11-23,31
2015-11-24,32
2015-11-25,31
2015-11-26,31
2015-11-27,30
2015-11-28,30
2015-11-29,31
2015-11-30,31
2015-12-01,31
2015-12-02,31
2015-12-03,31
2015-12-04,31
2015-12-05,32
2015-12-06,31
2015-12-07,31
2015-12-08,31
2015-12-09,32
2015-12-10,32
2015-12-11,33
2015-12-12,33
2015-12-13,34
2015-12-14,34
2015-12-15,36
2015-12-16,36
2015-12-17,38
2015-12-18,38
2015-12-19,39
2015-12-20,37
2015-12-21,37
2015-12-22,38
2015-12-23,38
2015-12-24,39
2015-12-25,39
2015-12-26,40
2015-12-27,39
2015-12-28,39
2015-12-29,39
2015-12-30,39
2015-12-31,40
2016-01-01,40
2016-01-02,41
2016-01-03,42
2016-01-04,41
2016-01-05,41
2016-01-06,39
2016-01-07,39
2016-01-08,39
2016-01-09,39
2016-01-10,39
2016-01-11,39
2016-01-12,39
2016-01-13,39
2016-01-14,39
2016-01-15,39
2016-01-16,38
2016-01-17,38
2016-01-18,38
2016-01-19,38
2016-01-20,39
2016-01-21,39
2016-01-22,40
2016-01-23,40
2016-01-24,39
2016-01-25,39
2016-01-26,39
2016-01-27,39
2016-01-28,39
2016-01-29,39
2016-01-30,39
2016-01-31,38
2016-02-01,38
2016-02-02,38
2016-02-03,39
2016-02-04,39
2016-02-05,39
2016-02-06,40
2016-02-07,40
2016-02-08,41
2016-02-09,41
2016-02-10,42
2016-02-11,42
2016-02-12,41
2016-02-13,41
2016-02-14,41
2016-02-15,42
2016-02-16,42
2016-02-17,41
2016-02-18,41
2016-02-19,39
2016-02-20,37
2016-02-21,35
2016-02-22,35
2016-02-23,34
2016-02-24,34
2016-02-25,36
2016-02-26,36
2016-02-27,38
2016-02-28,38
2016-02-29,39
2016-03-01,40
2016-03-02,40
2016-03-03,40
2016-03-04,40
2016-03-05,41
2016-03-06,39
2016-03-07,39
2016-03-08,40
2016-03-09,42
2016-03-10,44
2016-03-11,44
2016-03-12,46
2016-03-13,46
2016-03-14,45
2016-03-15,43
2016-03-16,43
2016-03-17,43
2016-03-18,44
2016-03-19,44
2016-03-20,44
2016-03-22,44
2016-03-23,44
2016-03-24,44
2016-03-25,44
2016-03-26,44
2016-03-27,44
2016-03-28,43
2016-03-29,42
2016-03-30,42
2016-03-31,43
2016-04-01,43
2016-04-02,45
2016-04-03,47
2016-04-04,45
2016-04-05,45
2016-04-06,43
2016-04-07,43
2016-04-08,44
2016-04-09,42
2016-04-10,39
2016-04-11,39
2016-04-12,37
2016-04-13,36
2016-04-14,35
2016-04-15,34
2016-04-16,33
2016-04-17,32
2016-04-18,31
2016-04-19,31
2016-04-20,30
2016-04-21,30
2016-04-22,31
2016-04-23,30
2016-04-24,29
2016-04-25,29
2016-04-26,29
2016-04-27,29
2016-04-28,29
2016-04-29,30
2016-04-30,29
2016-05-01,29
2016-05-02,29
2016-05-03,28
2016-05-04,28
2016-05-05,27
2016-05-06,27
2016-05-07,28
2016-05-08,28
2016-05-09,29
2016-05-10,29
2016-05-11,29
2016-05-12,29
2016-05-13,29
2016-05-14,29
2016-05-15,29
2016-05-16,29
2016-05-17,29
2016-05-18,30
2016-05-19,30
2016-05-22,29
2016-05-23,29
2016-05-24,29
2016-05-25,29
2016-05-26,29
2016-05-27,30
2016-05-28,30
2016-05-29,31
2016-05-30,31
2016-05-31,33
2016-06-01,34
2016-06-02,34
2016-06-03,35
2016-06-04,35
2016-06-05,35
2016-06-06,33
2016-06-07,33
2016-06-08,32
2016-06-09,31
2016-06-10,30
2016-06-11,30
2016-06-12,29
2016-06-13,29
2016-06-14,28
2016-06-15,28
2016-06-16,27
2016-06-17,26
2016-06-18,26
2016-06-19,25
2016-06-20,25
2016-06-21,25
2016-06-22,26
2016-06-23,27
2016-06-24,27
2016-06-25,27
2016-06-26,27
2016-06-27,26
2016-06-28,27
2016-06-29,27
2016-06-30,28
2016-07-01,29
2016-07-02,29
2016-07-03,29
2016-07-04,30
2016-07-05,30
2016-07-06,30
2016-07-07,30
2016-07-08,30
2016-07-09,32
2016-07-10,34
2016-07-11,34
2016-07-12,36
2016-07-13,37
2016-07-14,38
2016-07-15,38
2016-07-16,39
2016-07-17,39
2016-07-18,39
2016-07-23,41
2016-07-24,42
2016-07-25,42
2016-07-26,45
2016-07-27,45
2016-07-28,46
2016-07-29,45
2016-07-30,47
2016-07-31,47
2016-08-01,50
2016-08-02,50
2016-08-03,50
2016-08-04,50
2016-08-05,50
2016-08-06,50
2016-08-07,50
2016-08-08,50
2016-08-09,52
2016-08-10,52
2016-08-11,51
2016-08-12,51
2016-08-13,52
2016-08-14,52
2016-08-15,51
2016-08-16,51
2016-08-17,49
2016-08-18,49
2016-08-19,48
2016-08-20,47
2016-08-21,47
2016-08-22,46
2016-08-23,46
2016-08-24,44
2016-08-25,44
2016-08-26,42
2016-08-28,40
2016-08-31,36
2016-09-01,34
2016-09-02,34
2016-09-03,32
2016-09-04,30
2016-09-05,30
2016-09-06,28
2016-09-07,28
2016-09-08,26
2016-09-09,26
2016-09-10,24
2016-09-11,24
2016-09-12,22
2016-09-13,22
2016-09-14,22
2016-09-15,22
2016-09-16,22
2016-09-17,23
2016-09-18,23
2016-09-19,24
2016-09-20,24
2016-09-21,23
2016-09-22,22
2016-09-23,22
2016-09-24,21
2016-09-25,21
2016-09-26,22
2016-09-27,22
2016-09-28,22
2016-09-29,22
2016-09-30,21
2016-10-01,21
2016-10-02,19
2016-10-03,19
2016-10-04,19
2016-10-05,19
2016-10-06,19
2016-10-07,19
2016-10-08,19
2016-10-09,19
2016-10-10,19
2016-10-11,19
2016-10-12,18
2016-10-13,18
2016-10-14,17
2016-10-15,17
2016-10-16,17
2016-10-17,18
2016-10-18,18
2016-10-19,19
2016-10-20,19
2016-10-21,20
2016-10-22,20
2016-10-23,20
2016-10-24,20
2016-10-25,20
2016-10-26,20
2016-10-27,20
2016-10-28,20
2016-10-29,21
2016-10-30,21
2016-10-31,21
2016-11-01,21
2016-11-02,20
2016-11-03,20
2016-11-04,20
2016-11-05,20
2016-11-06,20
2016-11-07,20
2016-11-08,21
