date_obj,Mithril%20bolts%20(unf) price
2015-03-26,99
2015-03-27,99
2015-03-28,99
2015-03-29,99
2015-03-30,98
2015-03-31,98
2015-04-01,98
2015-04-02,98
2015-04-03,98
2015-04-04,96
2015-04-05,96
2015-04-06,96
2015-04-07,96
2015-04-08,96
2015-04-09,96
2015-04-10,96
2015-04-11,96
2015-04-12,97
2015-04-13,97
2015-04-14,97
2015-04-15,97
2015-04-16,98
2015-04-17,98
2015-04-18,98
2015-04-19,98
2015-04-20,98
2015-04-21,98
2015-04-22,98
2015-04-23,98
2015-04-24,98
2015-04-25,98
2015-04-26,98
2015-04-27,98
2015-04-28,98
2015-04-29,98
2015-04-30,98
2015-05-01,98
2015-05-02,99
2015-05-03,99
2015-05-04,99
2015-05-05,99
2015-05-06,99
2015-05-07,98
2015-05-08,98
2015-05-09,98
2015-05-10,98
2015-05-11,98
2015-05-12,98
2015-05-13,98
2015-05-14,98
2015-05-15,98
2015-05-16,98
2015-05-17,97
2015-05-18,97
2015-05-19,97
2015-05-20,97
2015-05-21,97
2015-05-22,97
2015-05-23,96
2015-05-24,96
2015-05-25,96
2015-05-26,96
2015-05-27,96
2015-05-28,95
2015-05-29,95
2015-05-30,95
2015-05-31,91
2015-06-01,91
2015-06-02,91
2015-06-03,91
2015-06-04,94
2015-06-05,94
2015-06-06,94
2015-06-07,94
2015-06-08,98
2015-06-09,98
2015-06-10,98
2015-06-11,98
2015-06-12,100
2015-06-13,100
2015-06-14,100
2015-06-15,100
2015-06-16,101
2015-06-17,101
2015-06-18,101
2015-06-19,101
2015-06-20,104
2015-06-21,104
2015-06-22,104
2015-06-23,104
2015-06-24,103
2015-06-25,103
2015-06-26,103
2015-06-27,103
2015-06-28,103
2015-06-29,103
2015-06-30,103
2015-07-01,103
2015-07-02,106
2015-07-03,106
2015-07-04,106
2015-07-05,108
2015-07-06,108
2015-07-07,108
2015-07-08,108
2015-07-09,110
2015-07-10,110
2015-07-11,110
2015-07-12,110
2015-07-13,112
2015-07-14,112
2015-07-15,112
2015-07-16,108
2015-07-17,108
2015-07-18,108
2015-07-19,103
2015-07-20,103
2015-07-21,103
2015-07-22,99
2015-07-23,99
2015-07-24,99
2015-07-25,99
2015-07-26,98
2015-07-27,98
2015-07-28,98
2015-07-29,98
2015-07-30,98
2015-07-31,98
2015-08-01,98
2015-08-02,100
2015-08-03,100
2015-08-04,100
2015-08-05,100
2015-08-06,99
2015-08-07,99
2015-08-08,99
2015-08-09,100
2015-08-10,100
2015-08-11,100
2015-08-12,99
2015-08-13,99
2015-08-14,99
2015-08-15,98
2015-08-16,98
2015-08-17,98
2015-08-18,99
2015-08-19,99
2015-08-20,99
2015-08-21,98
2015-08-22,98
2015-08-23,98
2015-08-24,98
2015-08-25,98
2015-08-26,99
2015-08-27,99
2015-08-28,99
2015-08-29,99
2015-08-30,99
2015-08-31,99
2015-09-01,99
2015-09-02,99
2015-09-03,99
2015-09-04,99
2015-09-05,100
2015-09-06,100
2015-09-07,100
2015-09-08,100
2015-09-09,104
2015-09-10,104
2015-09-11,104
2015-09-12,104
2015-09-13,107
2015-09-14,107
2015-09-15,107
2015-09-16,107
2015-09-17,111
2015-09-18,111
2015-09-19,111
2015-09-20,111
2015-09-21,111
2015-09-22,113
2015-09-23,113
2015-09-24,113
2015-09-25,113
2015-09-27,110
2015-09-28,110
2015-09-29,110
2015-09-30,110
2015-10-05,108
2015-10-06,106
2015-10-07,106
2015-10-08,106
2015-10-09,106
2015-10-10,106
2015-10-11,106
2015-10-12,106
2015-10-13,106
2015-10-14,106
2015-10-15,106
2015-10-16,104
2015-10-17,104
2015-10-18,104
2015-10-19,104
2015-10-20,104
2015-10-22,103
2015-10-23,103
2015-10-24,103
2015-10-25,103
2015-10-26,104
2015-10-27,104
2015-10-29,104
2015-10-30,104
2015-10-31,104
2015-11-01,104
2015-11-02,104
2015-11-03,104
2015-11-04,104
2015-11-05,104
2015-11-06,104
2015-11-07,104
2015-11-08,104
2015-11-09,104
2015-11-10,107
2015-11-11,107
2015-11-12,107
2015-11-13,107
2015-11-14,107
2015-11-15,107
2015-11-16,107
2015-11-17,107
2015-11-18,107
2015-11-19,107
2015-11-20,108
2015-11-21,108
2015-11-22,108
2015-11-23,108
2015-11-24,108
2015-11-25,108
2015-11-26,108
2015-11-27,108
2015-11-28,108
