date_obj,Priest%20gown%20(top) price
2015-02-25,4200
2015-02-26,4200
2015-02-27,3996
2015-02-28,3996
2015-03-01,3796
2015-03-02,3796
2015-03-03,3613
2015-03-04,3613
2015-03-05,3434
2015-03-06,3434
2015-03-07,3262
2015-03-08,3262
2015-03-09,3098
2015-03-10,3098
2015-03-11,2947
2015-03-12,2947
2015-03-13,2799
2015-03-14,2799
2015-03-15,2659
2015-03-16,2659
2015-03-17,2526
2015-03-18,2526
2015-03-19,2526
2015-03-20,2401
2015-03-21,2401
2015-03-22,2280
2015-03-23,2280
2015-03-24,2167
2015-03-25,2167
2015-03-26,2058
2015-03-27,2058
2015-03-28,1957
2015-03-29,1957
2015-03-30,1859
2015-03-31,1859
2015-04-01,1767
2015-04-02,1767
2015-04-03,1678
2015-04-04,1595
2015-04-05,1595
2015-04-06,1515
2015-04-07,1515
2015-04-08,1440
2015-04-09,1440
2015-04-10,1368
2015-04-11,1368
2015-04-12,1299
2015-04-13,1299
2015-04-14,1235
2015-04-15,1235
2015-04-16,1173
2015-04-17,1173
2015-04-18,1114
2015-04-19,1114
2015-04-20,1059
2015-04-21,1059
2015-04-22,1007
2015-04-23,958
2015-04-24,958
2015-04-25,926
2015-04-26,926
2015-04-27,904
2015-04-28,904
2015-04-29,871
2015-04-30,871
2015-05-01,827
2015-05-02,827
2015-05-03,786
2015-05-04,786
2015-05-05,753
2015-05-06,753
2015-05-07,715
2015-05-08,715
2015-05-09,679
2015-05-10,679
2015-05-11,646
2015-05-12,614
2015-05-13,614
2015-05-14,585
2015-05-15,585
2015-05-16,585
2015-05-17,556
2015-05-18,556
2015-05-19,529
2015-05-20,529
2015-05-21,529
2015-05-22,504
2015-05-23,504
2015-05-24,490
2015-05-25,490
2015-05-26,472
2015-05-27,472
2015-05-28,448
2015-05-29,448
2015-05-30,425
2015-05-31,425
2015-06-01,403
2015-06-02,403
2015-06-03,382
2015-06-04,382
2015-06-05,362
2015-06-06,344
2015-06-07,344
2015-06-08,326
2015-06-09,326
2015-06-10,309
2015-06-11,309
2015-06-12,294
2015-06-13,294
2015-06-14,279
2015-06-15,279
2015-06-16,269
2015-06-17,269
2015-06-18,255
2015-06-19,255
2015-06-20,242
2015-06-21,242
2015-06-22,232
2015-06-23,232
2015-06-24,226
2015-06-25,226
2015-06-26,226
2015-06-27,226
2015-06-28,227
2015-06-29,227
2015-06-30,215
2015-07-01,215
2015-07-02,207
2015-07-03,208
2015-07-04,208
2015-07-05,207
2015-07-06,207
2015-07-07,205
2015-07-08,205
2015-07-09,200
2015-07-10,200
2015-07-11,200
2015-07-12,200
2015-07-13,199
2015-07-14,199
2015-07-15,189
2015-07-16,189
2015-07-17,184
2015-07-18,184
2015-07-19,186
2015-07-20,188
2015-07-21,188
2015-07-22,184
2015-07-23,184
2015-07-24,185
2015-07-25,185
2015-07-26,184
2015-07-27,184
2015-07-28,187
2015-07-29,190
2015-07-30,190
2015-07-31,192
2015-08-01,192
2015-08-02,197
2015-08-03,197
2015-08-04,189
2015-08-05,180
2015-08-06,180
2015-08-07,171
2015-08-08,168
2015-08-09,167
2015-08-10,167
2015-08-11,160
2015-08-12,160
2015-08-13,152
2015-08-14,146
2015-08-15,146
2015-08-16,138
2015-08-17,138
2015-08-18,132
2015-08-19,132
2015-08-20,130
2015-08-21,131
2015-08-22,131
2015-08-23,131
2015-08-24,131
2015-08-25,131
2015-08-26,132
2015-08-27,130
2015-08-28,130
2015-08-29,132
2015-08-30,132
2015-08-31,132
2015-09-01,132
2015-09-02,128
2015-09-03,128
2015-09-04,123
2015-09-05,123
2015-09-06,125
2015-09-07,125
2015-09-08,129
2015-09-09,129
2015-09-10,135
2015-09-11,135
2015-09-12,139
2015-09-13,139
2015-09-14,142
2015-09-15,142
2015-09-16,143
2015-09-17,143
2015-09-18,143
2015-09-19,143
2015-09-20,143
2015-09-21,143
2015-09-22,146
2015-09-23,146
2015-09-24,146
2015-09-25,146
2015-09-26,149
2015-09-27,149
2015-09-28,148
2015-09-29,148
2015-09-30,149
2015-10-01,149
2015-10-02,149
2015-10-03,150
2015-10-04,150
2015-10-05,143
2015-10-06,143
2015-10-07,136
2015-10-08,136
2015-10-09,138
2015-10-10,138
