date_obj,Beer%20glass price
2015-03-26,69
2015-03-27,69
2015-03-28,70
2015-03-29,70
2015-03-30,72
2015-03-31,72
2015-04-01,72
2015-04-02,74
2015-04-03,74
2015-04-04,77
2015-04-05,77
2015-04-06,79
2015-04-07,79
2015-04-08,79
2015-04-09,80
2015-04-10,80
2015-04-11,82
2015-04-12,82
2015-04-13,83
2015-04-14,83
2015-04-15,83
2015-04-16,85
2015-04-17,85
2015-04-18,85
2015-04-19,85
2015-04-20,85
2015-04-21,86
2015-04-22,86
2015-04-23,88
2015-04-24,88
2015-04-25,88
2015-04-26,88
2015-04-27,91
2015-04-28,91
2015-04-29,91
2015-04-30,92
2015-05-01,92
2015-05-02,96
2015-05-03,96
2015-05-04,101
2015-05-05,101
2015-05-06,106
2015-05-07,106
2015-05-08,108
2015-05-09,108
2015-05-10,110
2015-05-11,110
2015-05-12,111
2015-05-13,111
2015-05-14,110
2015-05-15,110
2015-05-16,110
2015-05-17,111
2015-05-18,111
2015-05-19,109
2015-05-20,109
2015-05-21,109
2015-05-22,112
2015-05-23,112
2015-05-24,111
2015-05-25,111
2015-05-26,110
2015-05-27,110
2015-05-28,112
2015-05-29,112
2015-05-30,111
2015-05-31,111
2015-06-01,107
2015-06-02,107
2015-06-03,104
2015-06-04,104
2015-06-05,106
2015-06-06,106
2015-06-07,104
2015-06-08,104
2015-06-09,103
2015-06-10,105
2015-06-11,105
2015-06-12,107
2015-06-13,105
2015-06-14,105
2015-06-15,108
2015-06-16,109
2015-06-17,109
2015-06-18,109
2015-06-19,109
2015-06-20,105
2015-06-21,105
2015-06-22,103
2015-06-23,103
2015-06-24,98
2015-06-25,98
2015-06-26,96
2015-06-27,96
2015-06-28,95
2015-06-29,95
2015-06-30,92
2015-07-01,90
2015-07-02,90
2015-07-03,88
2015-07-04,88
2015-07-05,87
2015-07-06,87
2015-07-07,88
2015-07-08,87
2015-07-09,87
2015-07-10,88
2015-07-11,88
2015-07-12,89
2015-07-13,89
2015-07-14,89
2015-07-15,91
2015-07-16,91
2015-07-17,93
2015-07-18,93
2015-07-19,94
2015-07-20,96
2015-07-21,96
2015-07-22,98
2015-07-23,98
2015-07-24,97
2015-07-25,97
2015-07-26,96
2015-07-27,96
2015-07-28,99
2015-07-29,99
2015-07-30,99
2015-07-31,101
2015-08-01,101
2015-08-02,104
2015-08-03,104
2015-08-04,104
2015-08-05,106
2015-08-06,106
2015-08-07,108
2015-08-08,109
2015-08-09,115
2015-08-10,113
2015-08-11,116
2015-08-12,116
2015-08-13,110
2015-08-14,105
2015-08-15,105
2015-08-16,108
2015-08-17,105
2015-08-18,105
2015-08-19,104
2015-08-20,104
2015-08-21,98
2015-08-22,96
2015-08-23,96
2015-08-24,97
2015-08-25,97
2015-08-26,93
2015-08-27,94
2015-08-28,94
2015-08-29,98
2015-08-30,98
2015-08-31,100
2015-09-01,104
2015-09-02,104
2015-09-03,110
2015-09-04,112
2015-09-05,112
2015-09-06,117
2015-09-07,122
2015-09-08,122
2015-09-09,121
2015-09-10,121
2015-09-11,114
2015-09-12,114
2015-09-13,108
2015-09-14,108
2015-09-15,102
2015-09-16,102
2015-09-17,100
2015-09-18,100
2015-09-19,103
2015-09-20,103
2015-09-21,106
2015-09-22,107
2015-09-23,107
2015-09-24,111
2015-09-25,111
2015-09-27,113
2015-09-28,115
2015-09-29,115
2015-09-30,119
2015-10-05,129
2015-10-06,133
2015-10-07,133
2015-10-08,136
2015-10-09,137
2015-10-10,137
2015-10-11,132
2015-10-12,132
2015-10-13,133
2015-10-14,133
2015-10-15,135
2015-10-16,135
2015-10-17,131
2015-10-18,131
2015-10-19,131
2015-10-20,131
2015-10-22,128
2015-10-23,121
2015-10-24,121
2015-10-25,114
2015-10-26,108
2015-10-27,108
2015-10-28,102
2015-10-29,102
2015-10-30,96
2015-10-31,91
2015-11-01,91
2015-11-02,88
2015-11-03,88
2015-11-04,86
2015-11-05,88
2015-11-06,88
2015-11-07,90
2015-11-08,90
2015-11-09,93
2015-11-10,93
2015-11-11,96
2015-11-12,96
2015-11-13,99
2015-11-14,99
2015-11-15,100
2015-11-16,100
2015-11-17,102
2015-11-18,102
2015-11-19,103
2015-11-20,107
2015-11-21,107
2015-11-22,107
2015-11-23,107
2015-11-24,105
2015-11-25,105
2015-11-26,105
2015-11-27,107
2015-11-28,110
2015-11-29,109
2015-11-30,112
2015-12-01,112
2015-12-02,113
2015-12-03,115
2015-12-04,115
2015-12-05,115
2015-12-06,118
2015-12-07,118
2015-12-08,118
2015-12-09,121
2015-12-10,121
2015-12-11,118
2015-12-12,118
2015-12-13,121
2015-12-14,121
2015-12-15,128
2015-12-16,131
2015-12-17,131
2015-12-18,133
2015-12-19,133
2015-12-20,138
2015-12-21,138
2015-12-22,139
2015-12-23,140
2015-12-24,140
2015-12-25,139
2015-12-26,138
2015-12-27,137
2015-12-28,137
2015-12-29,131
2015-12-30,125
2015-12-31,125
2016-01-01,121
2016-01-02,121
2016-01-03,123
2016-01-04,126
2016-01-05,126
2016-01-06,122
2016-01-07,122
2016-01-08,116
2016-01-09,116
2016-01-10,110
2016-01-11,105
2016-01-12,99
2016-01-13,99
2016-01-14,94
2016-01-15,89
2016-01-16,85
2016-01-17,80
2016-01-18,78
2016-01-19,78
2016-01-20,78
2016-01-21,78
2016-01-22,77
2016-01-23,78
2016-01-24,79
2016-01-25,80
2016-01-26,80
2016-01-27,78
2016-01-28,78
2016-01-29,80
2016-01-30,80
2016-01-31,81
2016-02-01,78
2016-02-02,78
2016-02-03,80
2016-02-04,80
2016-02-05,82
