date_obj,Bluegill price
2019-01-10,50
2019-01-10,52
2019-01-11,52
2019-01-12,55
2019-01-13,55
2019-01-14,55
2019-01-15,57
2019-01-16,57
2019-01-17,57
2019-01-18,57
2019-01-19,55
2019-01-20,55
2019-01-21,55
2019-01-22,55
2019-01-23,55
2019-01-24,52
2019-01-25,52
2019-01-26,52
2019-01-27,52
2019-01-28,52
2019-01-29,52
2019-01-30,51
2019-01-31,51
2019-02-01,51
2019-02-02,51
2019-02-03,51
2019-02-04,51
2019-02-05,52
2019-02-06,52
2019-02-07,52
2019-02-08,52
2019-02-09,52
2019-02-10,52
2019-02-11,52
2019-02-12,52
2019-02-13,52
2019-02-14,52
2019-02-15,52
2019-02-16,52
2019-02-17,52
2019-02-18,52
2019-02-19,52
2019-02-20,49
2019-02-21,49
2019-02-22,49
2019-02-23,49
2019-02-24,49
2019-02-25,49
2019-02-26,49
2019-02-27,49
2019-02-28,49
2019-03-01,49
2019-03-02,49
2019-03-03,49
2019-03-04,49
2019-03-05,49
2019-03-06,49
2019-03-07,51
2019-03-08,51
2019-03-09,51
2019-03-10,51
2019-03-11,51
2019-03-12,51
2019-03-13,51
2019-03-14,51
2019-03-15,51
2019-03-16,51
2019-03-17,54
2019-03-18,54
2019-03-19,54
2019-03-20,54
2019-03-21,54
2019-03-22,54
2019-03-23,54
2019-03-24,54
2019-03-25,54
2019-03-26,54
2019-03-27,54
2019-03-28,53
2019-03-29,53
2019-03-30,53
2019-03-31,53
2019-04-01,53
2019-04-02,53
2019-04-03,53
2019-04-04,53
2019-04-05,53
2019-04-06,53
2019-04-07,53
2019-04-08,51
2019-04-09,51
2019-04-10,51
2019-04-11,51
2019-04-12,51
2019-04-13,51
2019-04-14,51
2019-04-15,49
2019-04-16,49
2019-04-17,49
2019-04-18,49
2019-04-19,49
2019-04-20,49
2019-04-21,49
2019-04-22,49
2019-04-23,49
2019-04-24,49
2019-04-25,48
2019-04-26,48
2019-04-27,48
2019-04-28,48
2019-04-29,48
2019-04-30,48
2019-05-01,48
2019-05-02,48
2019-05-03,48
2019-05-04,48
2019-05-05,48
2019-05-06,46
2019-05-07,46
2019-05-08,46
2019-05-09,46
2019-05-10,46
2019-05-11,46
2019-05-12,46
2019-05-13,46
2019-05-14,46
2019-05-15,46
2019-05-16,46
2019-05-17,46
2019-05-18,46
2019-05-19,46
2019-05-20,46
2019-05-21,46
2019-05-22,46
2019-05-23,46
2019-05-24,46
2019-05-25,46
2019-05-26,46
2019-05-27,46
2019-05-28,46
2019-05-29,46
2019-05-30,46
2019-05-31,44
2019-06-01,44
2019-06-02,44
2019-06-03,44
2019-06-04,44
2019-06-05,44
2019-06-06,44
2019-06-07,44
2019-06-08,44
2019-06-09,44
2019-06-10,44
2019-06-11,44
2019-06-12,44
2019-06-13,41
2019-06-14,41
2019-06-15,41
2019-06-16,41
2019-06-17,41
2019-06-18,41
2019-06-19,41
2019-06-20,41
2019-06-21,41
2019-06-22,41
2019-06-23,41
2019-06-24,41
2019-06-25,41
2019-06-26,41
2019-06-27,39
2019-06-28,39
2019-06-29,39
2019-06-30,39
2019-07-01,39
2019-07-02,39
2019-07-03,39
2019-07-04,39
2019-07-05,39
2019-07-06,39
2019-07-07,39
2019-07-08,39
2019-07-09,39
2019-07-10,39
2019-07-11,39
2019-07-12,39
2019-07-13,39
2019-07-14,39
2019-07-15,39
2019-07-16,39
2019-07-17,39
2019-07-18,39
2019-07-19,39
2019-07-20,39
2019-07-21,39
2019-07-22,39
2019-07-23,39
2019-07-24,39
2019-07-25,39
2019-07-26,38
2019-07-27,38
2019-07-28,38
2019-07-29,38
2019-07-30,38
