date_obj,Oyster price
2015-03-26,463
2015-03-27,463
2015-03-28,441
2015-03-29,441
2015-03-30,441
2015-03-31,419
2015-04-01,419
2015-04-02,419
2015-04-03,419
2015-04-04,400
2015-04-05,400
2015-04-06,400
2015-04-07,400
2015-04-08,381
2015-04-09,381
2015-04-10,381
2015-04-11,381
2015-04-12,362
2015-04-13,362
2015-04-14,362
2015-04-15,362
2015-04-16,359
2015-04-17,359
2015-04-18,359
2015-04-19,359
2015-04-20,359
2015-04-21,342
2015-04-22,342
2015-04-23,342
2015-04-24,342
2015-04-25,342
2015-04-26,326
2015-04-27,326
2015-04-28,326
2015-04-29,326
2015-04-30,311
2015-05-01,311
2015-05-02,311
2015-05-03,311
2015-05-04,311
2015-05-05,296
2015-05-06,296
2015-05-07,296
2015-05-08,296
2015-05-09,283
2015-05-10,283
2015-05-11,283
2015-05-12,283
2015-05-13,283
2015-05-14,269
2015-05-15,269
2015-05-16,269
2015-05-17,269
2015-05-18,269
2015-05-19,269
2015-05-20,256
2015-05-21,256
2015-05-22,256
2015-05-23,256
2015-05-24,256
2015-05-25,244
2015-05-26,244
2015-05-27,244
2015-05-28,244
2015-05-29,233
2015-05-30,233
2015-05-31,233
2015-06-01,222
2015-06-02,222
2015-06-03,222
2015-06-04,222
2015-06-05,212
2015-06-06,212
2015-06-07,212
2015-06-08,202
2015-06-09,202
2015-06-10,202
2015-06-11,193
2015-06-12,193
2015-06-13,193
2015-06-14,193
2015-06-15,184
2015-06-16,184
2015-06-17,184
2015-06-18,175
2015-06-19,175
2015-06-20,175
2015-06-21,175
2015-06-22,167
2015-06-23,167
2015-06-24,167
2015-06-25,167
2015-06-26,169
2015-06-27,169
2015-06-28,169
2015-06-29,169
2015-06-30,170
2015-07-01,170
2015-07-02,170
2015-07-03,170
2015-07-04,166
2015-07-05,166
2015-07-06,166
2015-07-07,166
2015-07-08,166
2015-07-09,161
2015-07-10,161
2015-07-11,161
2015-07-12,161
2015-07-13,159
2015-07-14,159
2015-07-15,159
2015-07-16,159
2015-07-17,152
2015-07-18,152
2015-07-19,152
2015-07-20,152
2015-07-21,145
2015-07-22,145
2015-07-23,145
2015-07-24,137
2015-07-25,137
2015-07-26,137
2015-07-27,137
2015-07-28,137
2015-07-29,135
2015-07-30,135
2015-07-31,135
2015-08-01,135
2015-08-02,129
2015-08-03,129
2015-08-04,129
2015-08-05,129
2015-08-06,122
2015-08-07,122
2015-08-08,122
2015-08-09,122
2015-08-10,122
2015-08-11,115
2015-08-12,115
2015-08-13,115
2015-08-14,115
2015-08-15,111
2015-08-16,111
2015-08-17,111
2015-08-18,111
2015-08-19,111
2015-08-20,106
2015-08-21,106
2015-08-22,106
2015-08-23,106
2015-08-24,100
2015-08-25,100
2015-08-26,100
2015-08-27,100
2015-08-28,100
2015-08-29,98
2015-08-30,98
2015-08-31,98
2015-09-01,98
2015-09-02,98
2015-09-03,98
2015-09-04,98
2015-09-05,98
2015-09-06,98
2015-09-07,98
2015-09-08,94
2015-09-09,94
2015-09-10,94
2015-09-11,94
2015-09-12,94
2015-09-13,90
2015-09-14,90
2015-09-15,90
2015-09-16,90
2015-09-17,86
2015-09-18,86
2015-09-19,86
2015-09-20,83
2015-09-21,83
2015-09-22,83
2015-09-23,79
2015-09-24,79
2015-09-25,79
2015-09-27,79
2015-09-28,75
2015-09-29,75
2015-09-30,75
2015-10-05,72
